fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-600000,-28200000,-57400000,100000,-133600000,-145600000,-100000,119500000,60000000,10700000,213700000,None,65600000,-11900000,0,41500000,None,153700000,56900000,None,None,10700000
2020-03-31,USD,-2500000,-32700000,-62700000,400000,559800000,476700000,-16000000,-173100000,66300000,-21300000,-435300000,None,66600000,-12100000,-55000000,-252100000,None,-501600000,60600000,None,None,-21300000
2019-12-31,USD,-3100000,39800000,-84400000,4000000,-506200000,-548500000,-600000,134400000,-89600000,143200000,776100000,None,67200000,-12100000,-29600000,287100000,148900000,865700000,85300000,None,None,143200000
2019-09-30,USD,-72400000,-87200000,-72400000,800000,-4700000,-47500000,-800000,50500000,6300000,12800000,132700000,None,67000000,-12200000,-29800000,10300000,58400000,126400000,73200000,None,None,13900000
2019-06-30,USD,-53900000,-44400000,-53900000,100000,-20600000,-76100000,-3700000,94800000,140400000,-13000000,117000000,None,69500000,-12200000,-39600000,-95100000,-77800000,-23400000,54000000,None,100000,-12900000
2019-03-31,USD,-60900000,127500000,-60900000,None,422600000,358700000,-23000000,-101700000,65700000,-32100000,-329900000,None,53000000,-11500000,-29400000,-418600000,-65700000,-395600000,60900000,None,-1200000,-33300000
2018-12-31,USD,-5800000,-5900000,-64200000,600000,-393600000,-505300000,-300000,82300000,97600000,30400000,599900000,None,70600000,-11500000,-99900000,183700000,123100000,502300000,64800000,None,3000000,33400000
2018-09-30,USD,None,-26300000,-48400000,300000,-67300000,-128500000,-200000,53200000,70700000,23400000,200300000,None,70300000,-11800000,-49200000,-1700000,23200000,129600000,48700000,None,-11300000,12100000
2018-06-30,USD,-5800000,-58500000,-48700000,800000,-119400000,-158800000,-300000,140200000,90400000,-50500000,157000000,None,74100000,-11900000,-27200000,1900000,-89200000,66600000,43700000,None,-17100000,-67600000
2018-03-31,USD,-5800000,66400000,-44200000,1900000,401500000,379300000,-3200000,-133600000,25000000,-26200000,-361300000,None,74900000,-11900000,-7100000,-398200000,6200000,-386300000,46100000,None,6700000,-19500000
2017-12-31,USD,-800000,272500000,-168400000,-103900000,-376200000,-387500000,-200000,147400000,45100000,50900000,606800000,None,279800000,-11100000,0,-196000000,-34700000,561700000,64500000,None,4100000,55000000
2017-09-30,USD,-5800000,167900000,-233800000,-186700000,195600000,182000000,-2700000,22200000,60800000,-14600000,37200000,None,0,-11200000,300000,424900000,0,-23600000,47100000,None,9500000,-5100000
2017-06-30,USD,None,130500000,-34400000,800000,-122000000,-133900000,-800000,112100000,91600000,16700000,185000000,None,0,-11100000,0,316500000,0,93400000,35200000,None,11200000,27900000
2017-03-31,USD,-800000,-20200000,-57100000,800000,176800000,162700000,-3200000,-43300000,-8200000,-145800000,-251400000,None,0,-11100000,200000,234400000,0,-243200000,57100000,None,6000000,-139800000
2016-12-31,USD,-2800000,109800000,-70100000,900000,-222800000,-275400000,-100000,-118900000,61200000,151400000,496900000,None,274600000,-10400000,-42100000,-33100000,-4500000,435700000,68200000,None,-19500000,131900000
2016-09-30,USD,-1700000,-91200000,-406900000,-344400000,502200000,441600000,-100000,-22900000,40000000,-26900000,-62800000,None,0,-10500000,-50000000,251300000,0,-102200000,60800000,None,1200000,-26900000
2016-06-30,USD,-1700000,80900000,-35200000,1100000,-103400000,-175700000,-1000000,32600000,50300000,76800000,283600000,None,0,-10800000,-60000000,263300000,0,234200000,36300000,None,4100000,76800000
2016-03-31,USD,-11800000,None,-86100000,-38600000,317500000,245900000,-800000,None,10200000,-188400000,-348200000,None,0,-10800000,-60000000,214900000,0,-358400000,35700000,None,9600000,-178800000
2015-12-31,USD,1400000,2500000,-63900000,-1000000,-279900000,-389600000,600000,-126900000,61300000,-1500000,452000000,None,260100000,-10300000,-100000000,117600000,3800000,390700000,64300000,None,2800000,1300000
2015-09-30,USD,None,23300000,-52600000,-6800000,29400000,-43700000,-200000,None,67200000,-52100000,44200000,None,0,-10400000,-62500000,140200000,0,-23000000,45800000,None,-20700000,-72800000
2015-06-30,USD,None,132100000,-56600000,-18200000,-13600000,-87000000,-300000,None,105600000,170400000,314000000,None,0,-10600000,-62500000,170900000,0,208400000,38400000,None,-11100000,159300000
