fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,2006800000,-1671400000,1574100000,432700000,97400000,69700000,75800000,None,81200000,-9700000,219500000,100000,97300000,-1991900000,6100000,31300000,None,-6100000,None,25200000,None,31300000,-35200000,None,49900000,69700000,None
2020-03-31,USD,1928300000,-1578200000,1477800000,450500000,99100000,64700000,84900000,None,84500000,1600000,247600000,-1300000,100400000,-1913300000,3400000,29400000,28700000,-3400000,None,2600000,None,29400000,-15100000,None,55100000,64700000,None
2019-12-31,USD,2513600000,-1950300000,2000100000,513500000,-60600000,-88300000,89100000,None,-73900000,-1300000,272400000,-10800000,-49800000,-2498100000,4000000,25000000,-14900000,-4000000,21800000,186300000,None,25000000,-206400000,None,-98900000,-88300000,None
2019-09-30,USD,2109400000,-1765100000,1659200000,450200000,95900000,7600000,82300000,None,78700000,-1300000,245000000,-10000000,105900000,-2094500000,6400000,83200000,19200000,-6400000,None,2100000,None,83200000,-22900000,None,-4500000,7600000,None
2019-06-30,USD,2422600000,-2058300000,1858700000,563900000,199600000,140800000,87500000,None,182000000,-400000,260700000,None,199600000,-2407200000,6000000,53200000,-9100000,-6000000,None,700000,None,53200000,-12300000,None,128800000,140800000,None
2019-03-31,USD,1995800000,-1631500000,1539100000,456700000,88600000,65100000,84500000,None,74300000,600000,262200000,-3800000,92400000,-1980500000,3500000,19400000,5300000,-3500000,None,2300000,None,19400000,-16900000,None,54900000,65100000,None
2018-12-31,USD,2592200000,-4220100000,2053500000,538700000,150000000,98700000,88000000,0,126700000,-1100000,272500000,-9100000,159100000,-4584200000,15300000,None,None,None,8500000,3600000,0,37100000,-21600000,0,89600000,98700000,None
2018-09-30,USD,2214700000,-1852300000,1741000000,473700000,101600000,71100000,83300000,0,85200000,-400000,260500000,-9700000,111300000,-2199400000,7000000,None,None,None,0,3300000,0,23900000,-18600000,0,61300000,71100000,None
2018-06-30,USD,2537600000,-2149400000,1981300000,556300000,150100000,91400000,93000000,0,119700000,-1000000,271800000,-18000000,168100000,-2519400000,21200000,None,None,None,0,5200000,0,38500000,-42300000,0,81200000,91400000,None
2018-03-31,USD,2007500000,377500000,1579500000,428000000,46700000,24300000,90900000,0,28700000,700000,264600000,-3800000,50500000,15700000,10300000,None,None,None,0,6300000,0,11400000,-20000000,0,17300000,24300000,None
2017-12-31,USD,2527400000,388700000,1996400000,531000000,125300000,44300000,93400000,0,105500000,800000,277100000,-17000000,142300000,15500000,11500000,None,None,None,0,2700000,0,68700000,-91600000,0,36800000,44300000,None
2017-09-30,USD,1986300000,331600000,1557700000,428600000,89300000,60700000,80000000,0,67000000,100000,234300000,-7700000,97000000,14300000,11600000,None,None,None,0,3000000,0,16900000,0,0,50100000,60700000,None
2017-06-30,USD,2165200000,327000000,1689800000,475400000,139800000,91500000,76700000,0,119400000,100000,236100000,-8600000,148400000,13800000,11300000,None,None,None,0,400000,0,36900000,0,0,82500000,91500000,None
2017-03-31,USD,1627600000,314700000,1297300000,330300000,13600000,-10100000,73000000,0,-8100000,1900000,223200000,-2000000,15600000,13400000,10700000,None,None,None,0,5100000,0,11100000,0,0,-19200000,-10100000,None
2016-12-31,USD,2094000000,328900000,1673700000,420300000,97100000,62000000,81800000,0,69500000,-800000,224800000,5700000,91400000,15900000,17600000,None,None,None,0,6400000,0,18300000,-47900000,0,51200000,62000000,None
2016-09-30,USD,1761600000,294500000,1353000000,353500000,71000000,40000000,66000000,0,47100000,-600000,214100000,12000000,60500000,12900000,12100000,None,None,None,0,1500000,0,19500000,0,0,27600000,40000000,None
2016-06-30,USD,1995600000,308400000,1568600000,427000000,116100000,50300000,77100000,0,90700000,-900000,217800000,-2500000,118600000,11400000,11900000,None,None,None,0,2100000,0,54800000,0,0,35900000,50300000,None
2016-03-31,USD,1559300000,295300000,1189100000,314700000,20300000,7800000,71200000,0,-2400000,2400000,211200000,900000,21300000,11000000,10500000,None,None,None,0,1900000,0,-400000,0,0,-2000000,7800000,None
2015-12-31,USD,1959000000,312100000,1561600000,397400000,81000000,62100000,71700000,0,52900000,-800000,222200000,-4300000,85300000,10500000,13300000,None,None,None,0,7700000,0,6400000,-46900000,0,46500000,62100000,None
2015-09-30,USD,1736400000,286600000,1370700000,365700000,95400000,67100000,70000000,0,70600000,100000,205800000,16300000,79100000,10800000,10600000,None,None,None,0,0,0,17600000,0,0,53000000,67100000,None
2015-06-30,USD,2069300000,299700000,1619700000,449600000,154800000,107100000,71700000,0,129100000,-1500000,213100000,4900000,149900000,10900000,11300000,None,None,None,0,4000000,0,37900000,0,0,91200000,107100000,None
