fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,185784000,11760000,None,8960000,178952000,-218622000,None,92591000,1714000,-1377147000,207958000,24276000,1454000,79171000,142272000,1532000,1532000,369000,28520000,104759000,None,-21862000,None,16628000,18813000,None,48149000,None,None,1714000,None,-1377147000,None,None,16469000,None,81025000,16987000,18813000,17867000,36680000,None,26917000,None,1156442000,185784000,79171000,None,None
2020-03-31,USD,180055000,10047000,None,7847000,150881000,-195922000,None,89169000,1633000,-1329667000,200356000,23264000,1440000,92284000,127342000,646000,646000,-97000,28211000,102774000,None,2441000,None,2643000,12584000,None,37527000,None,None,1633000,None,-1329667000,None,None,15759000,None,77281000,16228000,12584000,10955000,23539000,None,26917000,None,1132209000,180055000,92284000,None,145000000
2019-12-31,USD,155335000,10504000,None,8435000,148622000,-225356000,None,76667000,1378000,-1284993000,216146000,23188000,1417000,61808000,122209000,646000,646000,-1324000,26326000,86536000,None,-20998000,None,16293000,13380000,0,44896000,None,None,1378000,None,-1284993000,None,None,8781000,None,68799000,9367000,13380000,13033000,26413000,None,26917000,None,1059583000,155335000,61808000,None,135000000
2019-09-30,USD,174807000,10853000,None,1088000,379679000,-199687000,None,38392000,1374000,-1254938000,211569000,22757000,1298000,93274000,132948000,13847000,13847000,-1282000,32713000,107186000,None,-233297000,None,2328000,None,55000,16424000,None,None,1374000,None,-1254938000,None,None,1298000,None,67621000,9556000,None,180279000,246731000,None,26917000,None,1055159000,174807000,93274000,None,138000000
2019-06-30,USD,206707000,11416000,None,1409000,368317000,-157228000,None,34997000,1373000,-1209464000,212375000,23034000,1214000,121717000,121739000,13679000,13679000,-1079000,25505000,138938000,None,45800000,None,2205000,None,55000,19052000,None,None,1373000,None,-1209464000,None,None,1214000,None,67769000,8530000,None,186131000,246578000,None,26917000,None,1051942000,206707000,121717000,None,135000000
2019-03-31,USD,245933000,11806000,None,19966000,112095000,-116134000,0,58523000,1342000,-1158830000,220395000,22751000,1214000,158306000,105511000,13517000,13517000,-2221000,25704000,179123000,0,102430000,0,796000,5859000,55000,33471000,0,0,1342000,0,-1158830000,0,None,6549000,None,66810000,7343000,53000,6584000,6584000,None,33398000,None,1043575000,245933000,158306000,None,149000000
2018-12-31,USD,136400708,12338186,None,20760517,87085208,-172467447,0,29740935,1199964,-1177311393,189689603,22924870,1214394,53053531,68062216,146061,146061,-1539367,25115578,74807680,0,16130428,0,938141,13211547,55491,38175220,0,0,1199964,316,-1177311393,0,None,1214394,None,61593028,None,13211547,5811445,19022992,None,39879089,None,1005183033,136400708,53053531,None,111000000
2018-09-30,USD,130475239,12827224,None,15341978,77075760,-130407976,0,25232795,1183527,-1129556515,190443577,22959112,1214394,46169404,58190385,146061,146061,-1615893,25838782,67635727,0,18597469,0,6068854,13053895,55491,32811529,-102554338.12,0,1183527,316,-1129556515,0,None,1214394,None,62839512,None,13053895,5831480,18885375,None,None,None,999580589,130475239,46169404,None,115000000
2018-06-30,USD,131936152,13280795,None,13565741,70397359,-112707118,0,19945482,1111984,-1096430845,180468423,22814031,1214394,43163886,51317250,146061,146061,-1577617,26922101,67704831,0,25823406,0,10919713,12907352,55491,31225707,-85762834.07,0,1111984,316,-1096430845,0,None,1214394,None,64231321,None,12907352,6172757,19080109,None,None,None,984189044,131936152,43163886,None,105000000
2018-03-31,USD,130815696,13974560,None,11654376,57226046,-113386561,1755300,6551916,1032810,-1071759790,200851481,23398080,1214394,52347634,30162218,146061,146061,-2706425,27035584,65193078,None,36063724,0,1128827,12765588,62241,23464241,-113233591,0,1032810,316,-1071759790,0,None,1214394,None,65622618,None,12765588,12542940,27063828,None,None,None,960046528,130815696,52347634,None,103000000
