fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-2090000,9855000,-2090000,-972000,5481000,26312000,924000,3875000,-48244000,-13153000,-37375000,-11634000,1791000,None,19907000,None,-12883000,23740000,1118000,-12883000,None,-13153000
2020-03-31,USD,-644000,-7281000,-644000,None,-1714000,65613000,2204000,-5319000,-45271000,30464000,-34505000,-11879000,1700000,None,65123000,None,13649000,14577000,644000,13649000,None,30464000
2019-12-31,USD,-1056000,-1643000,-1056000,None,-88000,1268000,1356000,4124000,-30851000,-31568000,-31780000,-6569000,1661000,None,31643000,55000,-13965000,19532000,1056000,-13965000,None,-31568000
2019-09-30,USD,-839000,7205000,-839000,None,-81000,34000,287000,9842000,-45474000,-28443000,-27785000,1745000,1678000,None,-172000,0,-123000,-913000,839000,-123000,None,-28590000
2019-06-30,USD,-1261000,8873000,-1261000,None,-76000,-76000,None,10164000,-50634000,-36589000,-35704000,-5295000,1683000,None,30172000,0,-1409000,12311000,1261000,-1409000,None,-37041000
2019-03-31,USD,-1501000,-3465000,-1501000,0,-75000,30097000,0,-3812000,17435000,105183000,76587000,46816000,1640000,0,30172000,0,142000,14019000,1501000,142000,None,105183000
2018-12-31,USD,0,5565624,-601535,6190,-90244,43427426,204384010,-2041480,-48848536,7014207,-35811684,-9816465,1543329,0,43517670,0,5130713,10613651,601535,5130713,None,7014207
2018-09-30,USD,0,2308147,-818998,969,-63789,28494555,15000000,-786248,-33730557,3172178,-24503379,-8670239,1635413,0,13558344,18732.44,4850859,9102998,819967,4850859,None,3172178
2018-06-30,USD,0,7611447,-680704,0,-64402,22572932,15000000,2818837,-25203780,-8637603,-30529831,-6055871,1550842,0,22637334,6750,-9790886,1351667,680704,-9790886,None,-8747922
2018-03-31,USD,None,-6814948,-1489683,5218,-161912193,33790004,189384006,-5010739,-54261143,-7949302,-40249623,-1486875,1558417,0,6318191,17250,5666,20732010,1494901,5666,110319,-7838983
2017-12-31,USD,5000000,1039286,4246072,31323000,14736238,16771146,-150000,-15630622,-35034564,-4849955,-25867173,-1332435,1444484,0,2034908,750,10218000,6958756,753928,1056550,-38785,-4888740
2017-09-30,USD,10000000,1413687,9039503,27257000,-83682,407824,-150000,-1600421,-36841708,-16698733,-26146060,-1670580,1504673,0,491506,7959,9161000,7687048,960497,1752861,-55639,-16754372
2017-06-30,USD,-4975859,-2699531,-5959789,5000,-66439,1285226,-527223,-5660196,-31713041,-32055461,-27380898,-3575219,1529394,0,1878888,0,7408000,6246421,988930,2831078,21234,-32034227
2017-03-31,USD,-4960188,-5676404,-5262190,115000,-66861,62074029,-150000,-4756441,-17103179,41980827,-14831012,-4770504,1527748,0,62140890,0,4577000,6614287,417002,4577040,435113,42415940
2016-12-31,USD,15000000,12975167,10671777,19421000,-72328,2185618,-5000000,15469752,-26123273,-3258841,-16116236,-2626037,1289304,0,2257946,8709,-1549798,-562432,4328223,-1068965,-731632,-3990473
2016-09-30,USD,30011249,-1449239,24984157,15438000,-48220,573145,None,610902,-40773520,1737586,-23819716,610902,1138610,0,621365,0,480833,17568621,5027092,-915090,303161,2040747
2016-06-30,USD,20028185,1455654,18400710,11587000,-24110,-4656877,-4667050,-11683,-28319879,-4748047,-18491880,-11683,1275456,0,34283,0,434000,6304870,1627475,803702,-184777,-4932824
2016-03-31,USD,-34923535,1774447,-36460483,7903000,None,-562926,-1000000,None,-31778503,-58556388,-21532979,-779370,1244417,0,437074,0,369445,8375475,1536948,-369445,184081,-58372307
2015-12-31,USD,-19986370,69603,-27941345,-7182069,1,211885,200483,-2675804,-15607023,-47320554,-19591094,-1179876,554267,0,11401,8000,-9331622,-1329113,772906,-2098953,-115534,-47436087
2015-09-30,USD,-15006730,2859231,-1303658,825000,98225677,78499399,-19994457,None,-13122249,59185305,-18010436,-400370,517827,0,268179,8000,7232669,7660427,1294918,-3280072,289136,59474441
2015-06-30,USD,None,-1371664,-16197949,0,-277778,74772829,-206026,None,-40410388,45705632,-12869248,1243054,440000,0,75256633,8000,3952597,16881861,1199959,-1897341,-345320,45360312
