fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,26945000,59585000,634000,26311000,-33614000,-49008000,38550000,None,-48244000,764000,21035000,-340000,-33274000,None,14630000,None,None,-14630000,None,None,None,None,-7180000,None,-48244000,-47532000,52000
2020-03-31,USD,15128000,42592000,None,15128000,-31236000,-44674000,36363000,None,-45271000,-597000,6229000,-3772000,-27464000,None,14035000,None,-14035000,-14035000,None,None,None,None,612000,None,-45271000,-44726000,52000
2019-12-31,USD,34502000,53778000,36833000,34502000,-18998000,-30055000,36834000,None,-30851000,-796000,16944000,278000,-19276000,None,11853000,None,-11853000,-11853000,None,None,None,None,-4347000,None,-30851000,-30107000,52000
2019-09-30,USD,19940000,57644000,46132000,19940000,-33941000,-45474000,46132000,None,-46277000,-5185000,11512000,304000,-37704000,None,10658000,None,-10658000,-10658000,None,None,None,None,2085000,None,-46277000,-45526000,52000
2019-06-30,USD,15715000,56648000,45243000,15715000,-40387000,-50634000,45243000,None,-51867000,-1233000,11405000,-924000,-40933000,None,9797000,None,-9797000,-9797000,None,None,None,None,-1137000,None,-51867000,-50686000,52000
2019-03-31,USD,79891000,53683000,40130000,79891000,26578000,18506000,40130000,0,17435000,-1071000,13553000,370000,26208000,0,9143000,None,-9143000,-9143000,0,0,0,0,-2378000,0,17435000,18454000,52000
2018-12-31,USD,6450458,45875905,36031236,6450458,-40118890,-46496636,36031236,0,-48848536,-1093658,9844669,-693443,-39425447,0,8729646,None,None,None,0,0,0,0,-9544089,0,-48848536,-47806711,51833
2018-09-30,USD,12802427,38877716,29854310,12802427,-26192461,-33730557,29854310,0,-33730557,-604887,9023406,-117172,-26075289,0,7538096,None,None,None,0,0,0,0,-7475268,0,-33730557,-33177422,51752
2018-06-30,USD,15894625,32466642,29273528,15894625,-18979855,-25203780,29273528,0,-25203780,-532725,3193114,-2407838,-16572017,0,6223925,None,None,None,0,0,0,0,-2339763,0,-25203780,-24722725,51670
2018-03-31,USD,1636041,43384844,29441285,1636041,-51480253,-54261143,29441285,0,-54261143,-120630,13943559,-9731450,-41748803,0,2780890,None,None,None,0,0,0,0,-17528340,0,-54261143,-54192102,51589
2017-12-31,USD,8354271,38345810,40212000,8354271,-29931341,-35034564,31872170,0,-35034564,305940,6473640,60198,-29991539,0,5103223,None,None,None,0,0,0,24582,-13230350,0,-35059146,-35086071,51507
2017-09-30,USD,3359399,35023490,32335000,3359399,-32136836,-36841707,25788707,0,-36841707,-458910,9234783,-472745,-31664091,0,4704871,None,None,None,0,0,0,0,-2122558,0,-36841707,-36893133,51426
2017-06-30,USD,4207573,33095683,32432000,4207573,-27238299,-31713042,25824431,0,-31713042,152970,7271252,1649811,-28888110,0,4474743,None,None,None,0,0,0,0,909678,0,-31713042,-31764386,51344
2017-03-31,USD,26955843,40213499,38881000,26955843,-12517522,-17103179,32639991,0,-17103179,0,7573508,740134,-13257656,0,4585657,None,None,None,0,0,0,0,740134,0,-17103179,-17154443,51264
2016-12-31,USD,5575971,25251764,33363000,5575971,-21552782,-26123273,25983089,0,-26123273,0,-731325,-1876989,-19675793,0,4570491,None,None,None,0,0,0,153952,-21331773,0,-26277225,-26174455,51182
2016-09-30,USD,4446171,40670288,28557000,4446171,-36363753,-40773520,21588026,0,-40773520,0,19082262,-139636,-36224117,0,4409767,None,None,None,0,0,0,0,369158,0,-40773520,-40824622,51102
2016-06-30,USD,6592285,30200018,28202000,6592285,-24116527,-28319879,22361786,0,-28319879,0,7838232,-508794,-23607733,0,4203352,None,None,None,0,0,0,0,-831877,0,-28319879,-28370900,51021
2016-03-31,USD,5958876,33927999,33027000,5958876,-27646040,-31778503,25038478,0,-31778503,0,8889521,323083,-27969123,0,4132463,None,None,None,0,0,0,0,323083,0,-31778503,-31829444,50941
2015-12-31,USD,7638833,25785294,22254000,7638833,-16758493,-15607024,17948943,0,-20994091,0,7836351,1387969,-18146462,0,4235599,None,None,None,0,0,0,-5141884,-25320340,0,-15852207,-15657884,50860
2015-09-30,USD,6848194,17915965,24391000,6848194,-11721147,-13122249,18502063,0,-13122249,0,-586098,-653376,-11067771,0,1401102,None,None,None,0,0,0,0,12699205,0,-13122249,-13173029,50780
2015-06-30,USD,6376699,39571749,19149000,6376699,-39844868,-40410387,24773110,0,-40410387,0,14798639,-6649818,-33195050,0,565519,None,None,None,0,0,0,0,-6596873,0,-40410387,-40461087,50700
