fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,767437000,609545000,None,16740000,462165000,298050000,11677000,579000,5000,-219823000,13107000,6351000,16249000,35619000,46025000,4776000,4776000,-40831000,12890000,115896000,None,-317846000,None,38418000,397898000,25119000,41249000,None,None,5000,None,-219823000,-3885000,None,12191000,None,10564000,6700000,397898000,6565000,416140000,None,None,None,562584000,767437000,35619000,None,52213708
2020-03-31,USD,787176000,620225000,None,12889000,466605000,313152000,15156000,None,5000,-203269000,16867000,6246000,18948000,28300000,46656000,4966000,4966000,-41182000,12739000,122894000,None,-313319000,None,58551000,398157000,23154000,41690000,None,None,5000,None,-203269000,-3885000,None,11549000,None,13523000,6343000,398157000,6636000,419949000,None,None,None,561483000,787176000,28300000,None,51174607
2019-12-31,USD,805692000,631369000,None,3261000,471662000,326445000,None,15289000,5000,-199621000,18481000,6323000,15879000,29288000,49778000,4675000,4675000,-31060000,19776000,132345000,0,-311247000,None,68634000,398064000,22621000,15105000,None,None,None,None,None,-3885000,None,12161000,None,673347000,6832000,398064000,1907000,421884000,None,None,None,561006000,None,29288000,None,50000000
2019-09-30,USD,858926000,676938000,None,14648000,517683000,333316000,17555000,19798000,5000,-170388000,52683000,6091000,25287000,18746000,60776000,4748000,4748000,-30491000,13643000,129667000,None,-349713000,None,72074000,398619000,24199000,56028000,None,None,5000,None,-170388000,-3885000,None,22492000,None,10095000,7139000,398619000,40733000,456907000,None,None,None,538075000,858926000,18746000,None,50931578
2019-06-30,USD,866788000,688452000,None,15316000,525354000,333229000,23110000,19833000,5000,-173677000,57208000,6322000,25111000,35866000,63365000,5860000,5860000,-26473000,14453000,125150000,None,-361545000,None,49054000,399272000,24914000,11528000,None,None,5000,None,-173677000,-3885000,None,15918000,None,741638000,7054000,399272000,34098000,461989000,None,None,None,537259000,866788000,35866000,None,50959389
2019-03-31,USD,893418000,700039000,None,13947000,537420000,347701000,28757000,23320000,5000,-151408000,61673000,6649000,32329000,39995000,70877000,6836000,6836000,-33418000,14095000,140306000,None,-358987000,None,63923000,399656000,22441000,64041000,None,None,5000,None,-151408000,-3885000,None,23968000,None,8361000,7300000,399656000,38130000,466543000,None,None,None,536407000,893418000,39995000,None,50764353
2018-12-31,USD,899287000,711967000,None,15608000,526711000,364313000,30232000,29339000,5000,-138789000,62298000,6670000,24152000,34852000,64104000,6419000,6419000,-28837000,13289000,143209000,None,-354324000,None,67942000,400309000,24807000,57685000,None,None,5000,None,-138789000,-3885000,None,16820000,None,7332000,None,400309000,32066000,462607000,None,None,None,535819000,899287000,34852000,None,50410192
2018-09-30,USD,930040000,725653000,None,19247000,560870000,361169000,30806000,33451000,5000,-136611000,69324000,6528000,23877000,26022000,91586000,8717000,8717000,-33383000,13929000,160053000,None,-371012000,0,96477000,399960000,18307000,82869000,369170000,535043000,5000,0,-136611000,-3885000,None,16857000,None,7020000,None,399960000,38518000,469284000,None,None,None,535043000,930040000,26022000,None,50439210
2018-06-30,USD,915146000,736940000,None,25017000,538669000,367961000,30031000,24760000,5000,-140080000,67675000,5680000,24894000,41776000,69525000,6995000,6995000,-22834000,13645000,133987000,None,-374659000,0,39916000,401469000,27278000,62530000,376477000,534755000,5000,0,-140080000,-3885000,None,17289000,None,7605000,None,401469000,37644000,469144000,None,None,None,534755000,915146000,41776000,None,50486962
2018-03-31,USD,949556000,746977000,None,21840000,540687000,400335000,33168000,21429000,5000,-121696000,72361000,5748000,17914000,56962000,66117000,7700000,7700000,-7613000,13737000,165180000,None,-352390000,0,65766000,402209000,20612000,58417000,408869000,533524000,5000,0,-121696000,-3885000,None,11308000,None,6606000,None,402209000,39193000,474570000,None,None,None,533524000,949556000,56962000,None,50394366
2017-12-31,USD,983263000,757882000,None,18684000,567183000,407637000,31130000,60753000,5000,-108729000,38505000,9402000,792228000,64533000,94680000,7926000,7926000,-12769000,12200000,178835000,None,-359647000,0,71509000,402868000,24109000,86754000,878000,7080000,5000,0,-108729000,-3885000,None,16746000,None,8198000,None,402868000,38505000,472503000,None,None,None,533015000,983263000,64533000,None,50340853
2017-09-30,USD,953305000,748793000,None,14319000,569382000,383923000,22790000,48094000,5000,-132076000,70397000,0,758530000,75418000,73862000,5313000,5313000,-12458000,9299000,185476000,None,-364870000,0,78787000,402333000,16952000,68549000,0,0,5000,0,-132076000,-3885000,None,2043000,None,7694000,None,402333000,70397000,495520000,None,None,None,532337000,953305000,75418000,None,50340014
2017-06-30,USD,917557000,757935000,None,13782000,546144000,371413000,20455000,32946000,5000,-141622000,70857000,0,768507000,78592000,51955000,4250000,407127000,-14658000,8186000,140864000,None,-386522000,0,30270000,402877000,18220000,47705000,0,0,5000,0,-141622000,-3885000,None,2193000,None,8379000,None,402877000,70857000,494189000,None,None,None,531573000,917557000,78592000,None,50337705
2017-03-31,USD,954996000,766868000,None,13642000,633494000,321502000,0,67281000,5000,-144229000,145455000,0,777425000,84858000,84608000,4250000,4250000,-6243000,7748000,169823000,None,-445366000,0,55167000,403431000,16156000,80358000,0,0,5000,0,-144229000,-3885000,None,2330000,None,8227000,None,403431000,145455000,548886000,None,None,None,475854000,954996000,84858000,None,50280826
2016-12-31,USD,965844000,776584000,None,14047000,630699000,335145000,0,66366000,5000,-132200000,140833000,62400000,787295000,77312000,96870000,15250000,15250000,-4373000,8048000,170501000,None,-441439000,0,63675000,392996000,15467000,81620000,0,0,5000,0,-132200000,-3885000,None,2252000,None,8459000,None,392996000,140833000,533829000,None,None,None,475598000,965844000,77312000,None,50031547
2016-09-30,USD,1080670000,857619000,None,30997000,673724000,406946000,0,65515000,5000,0,182826000,62373000,902771000,44677000,84824000,4250000,4250000,-940000,9746000,0,None,-450673000,0,75259000,404557000,17220000,12070000,0,0,0,0,0,-3885000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50000000
2016-06-30,USD,1065592000,805251000,None,19123000,667058000,398534000,1575000,61299000,5000,-70941000,177706000,62373000,921711000,60313000,82654000,4250000,4250000,-826000,8778000,135103000,None,-469090000,0,37737000,405123000,17930000,78404000,0,0,5000,0,-70941000,-3885000,None,3173000,50914000,930489000,None,405123000,177706000,584404000,None,None,None,474181000,1065592000,60313000,None,49971436
2016-03-31,USD,1080357000,877233000,None,10099000,662552000,417805000,0,60408000,5000,0,170292000,62079000,912936000,64955000,85557000,None,None,None,5799000,0,None,None,0,None,405702000,23826000,18204000,0,0,0,0,0,-3885000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50000000
2015-12-31,USD,1082674000,881062000,None,7197000,638771000,443903000,0,47595000,5000,-20640000,164630000,56006000,897412000,57765000,67570000,4250000,4250000,-5559000,4606000,180656000,None,-437159000,0,70881000,406286000,44176000,13924000,0,0,0,0,0,-2397000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50000000
2015-09-30,USD,1085744000,829229000,None,4666000,639870000,445874000,9779000,38173000,5000,-20223000,169978000,41555000,873948000,28755000,52950000,4250000,None,-1428000,4507000,207289000,None,-424910000,0,84053000,407163000,89815000,48700000,0,0,5000,0,-20223000,0,None,2763000,401000,878455000,None,407163000,169978000,586920000,None,None,None,467520000,1085744000,28755000,None,49940548
2015-06-30,USD,221592039,0,None,65360,9602992,5000010,7717500,1505000,687,-1954336,7718000,0,221221000,305808,1885492,None,None,None,0,371168,220504371,211989047,0,None,0,0,1885492,0,0,687,206989000,-1954336,0,None,None,None,716500,None,None,None,7717500,None,206989037,None,6953659,221592039,305808,None,6935659
