fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-56900000,-6000000,-56900000,-2300000,-100000,-6600000,-800000,1700000,11700000,-13400000,49600000,None,28300000,-5500000,-2600000,None,None,4700000,54600000,None,None,None
2020-03-31,USD,-118100000,-16700000,-118100000,-2300000,99800000,95200000,-800000,1300000,-12300000,31900000,56600000,None,35400000,-5600000,-2900000,None,None,58600000,118100000,None,None,None
2019-12-31,USD,-75300000,100000,-75300000,-2400000,-700000,-5800000,-1200000,-2000000,38000000,-2800000,77800000,None,44200000,-3900000,0,1200000,-7200000,3500000,72900000,None,None,None
2019-09-30,USD,-66800000,-10500000,-66800000,-500000,-800000,1700000,-1200000,-4800000,17700000,2400000,67900000,None,40100000,-3900000,0,-600000,4000000,22000000,66300000,None,None,None
2019-06-30,USD,-72200000,4700000,-125500000,-1100000,-700000,2100000,-1200000,5800000,23600000,2600000,72300000,None,41300000,-3900000,-800000,-7900000,4000000,4800000,71100000,None,None,None
2019-03-31,USD,-53300000,-12100000,-53300000,-1100000,-1100000,-15000000,-1200000,-1800000,16800000,-25400000,42400000,None,39400000,-3900000,-10000000,-4100000,2800000,5500000,53300000,None,None,None
2018-12-31,USD,None,7400000,-61500000,-1100000,-900000,-2600000,-800000,-5100000,-71500000,-18800000,47400000,None,42100000,-3900000,3900000,5400000,-13100000,82200000,61500000,None,None,None
2018-09-30,USD,None,800000,-55100000,-1100000,-1000000,-1200000,-800000,-800000,7200000,-10300000,45200000,None,40000000,-3900000,None,600000,3000000,-5600000,55100000,None,None,None
2018-06-30,USD,None,3600000,-53400000,None,-1000000,-4500000,-800000,300000,-8900000,3300000,62500000,None,42400000,-3900000,None,9100000,-5200000,21200000,53400000,None,None,None
2018-03-31,USD,24900000,-4200000,-26600000,None,-1200000,-500000,-800000,-1600000,600000,31000000,58800000,None,42100000,-3900000,700000,-1200000,7400000,19900000,51500000,None,None,None
2017-12-31,USD,46200000,-12100000,-119400000,3600000,-331600000,-97600000,-25200000,-4300000,26600000,-51400000,163500000,None,125600000,-6000000,15200000,-15900000,14000000,31100000,169200000,None,None,None
2017-09-30,USD,24900000,-900000,-38200000,3600000,-1100000,9100000,-2100000,-2900000,28800000,15300000,114900000,None,28200000,-3000000,12300000,-12400000,13800000,-5700000,130000000,None,None,None
2017-06-30,USD,24900000,-300000,-54600000,3600000,-328200000,-342900000,-12200000,-1700000,2400000,-345500000,71500000,None,27900000,-3000000,500000,800000,5500000,14800000,91800000,None,None,None
2017-03-31,USD,None,-7600000,-33600000,3600000,237700000,240000000,-12200000,100000,100000,227000000,20100000,None,28400000,-3000000,2300000,-3100000,-3500000,5700000,33600000,None,None,None
2016-12-31,USD,-2900000,-7500000,-151500000,-5000000,-9700000,-12800000,-25500000,3800000,-17900000,-30700000,135700000,None,119000000,-5400000,27800000,-16100000,-5700000,46900000,146500000,None,None,None
2016-09-30,USD,None,None,None,None,None,5900000,None,None,4800000,None,97400000,None,None,-2700000,None,None,None,None,109000000,None,None,None
2016-06-30,USD,None,None,None,None,None,3800000,None,None,None,None,60700000,None,None,-2600000,None,None,None,None,71800000,None,None,None
2016-03-31,USD,None,None,None,None,None,1400000,None,None,9700000,None,23800000,None,None,None,None,None,None,None,33300000,None,None,None
2015-12-31,USD,-4300000,16000000,97900000,16200000,-7500000,40400000,-44400000,500000,-508900000,193900000,60000000,None,233600000,-10600000,102900000,-6600000,-15200000,340600000,163100000,None,None,None
2015-09-30,USD,None,9600000,136800000,16700000,None,65800000,None,None,None,None,26200000,None,None,-8000000,None,None,None,None,124600000,None,None,None
2015-06-30,USD,None,19047000,None,16725000,None,87466000,None,None,None,None,14833000,None,None,-8005000,None,None,None,211000,75840000,None,None,None
