fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,126200000,114100000,103300000,22900000,35500000,11700000,None,None,6000000,None,9700000,None,12100000,300000,1200000,-5700000,None,-1200000,None,None,None,-5700000,-4900000,None,11700000,11700000,None
2020-03-31,USD,176900000,130700000,120300000,56600000,76700000,-12300000,None,None,40500000,None,8400000,None,46200000,300000,800000,52800000,-6000000,-800000,None,None,None,52800000,-4900000,None,-12300000,-12300000,None
2019-12-31,USD,186000000,144400000,136000000,50000000,88400000,38000000,None,None,43800000,None,6700000,None,41600000,200000,400000,5800000,2700000,-400000,None,None,None,5800000,2600000,None,38000000,38000000,None
2019-09-30,USD,172900000,135400000,127300000,45600000,78400000,17700000,None,None,37400000,None,6200000,None,37500000,300000,900000,19700000,-1200000,-900000,None,None,None,19700000,800000,None,17700000,17700000,None
2019-06-30,USD,168100000,139900000,131100000,37000000,69100000,23600000,None,None,27100000,None,7300000,None,28200000,300000,700000,3500000,-5000000,-700000,None,None,None,3500000,-400000,None,23600000,23600000,None
2019-03-31,USD,156100000,137400000,87600000,68500000,60500000,16800000,None,None,20600000,None,8800000,None,18700000,200000,500000,3800000,700000,-500000,None,None,None,3800000,2400000,None,16800000,16800000,None
2018-12-31,USD,163100000,150400000,100700000,62400000,12700000,-71500000,0,0,-63300000,0,3500000,None,12700000,300000,-200000,None,None,None,0,0,0,8200000,-76000000,0,-71500000,-71500000,None
2018-09-30,USD,146700000,146100000,97300000,49400000,600000,7200000,0,0,700000,0,4900000,None,600000,300000,-1000000,None,None,None,0,0,0,-6500000,100000,0,7200000,7200000,None
2018-06-30,USD,168900000,159300000,107300000,61600000,9600000,-8900000,0,0,8600000,0,4600000,None,9600000,300000,-900000,None,None,None,0,0,0,17500000,-1000000,0,-8900000,-8900000,None
2018-03-31,USD,173100000,154600000,102300000,70800000,18500000,600000,0,0,15600000,0,4400000,None,18500000,300000,-900000,None,None,None,0,0,0,15000000,-2900000,0,600000,600000,None
2017-12-31,USD,161700000,369000000,89600000,187500000,75900000,-2200000,0,0,5600000,0,8000000,None,23000000,1100000,1400000,None,None,None,0,8300000,0,10300000,-103700000,0,4700000,-2200000,None
2017-09-30,USD,128800000,358700000,72400000,93600000,-29100000,28800000,0,0,22100000,0,7300000,None,20900000,200000,1100000,None,None,None,0,0,0,43300000,92200000,0,19800000,28800000,None
2017-06-30,USD,131300000,-359700000,81600000,-108000000,7000000,2400000,0,0,-15000000,0,6000000,None,15800000,-500000,1000000,None,None,None,0,0,0,-17000000,-22000000,0,2000000,2400000,None
2017-03-31,USD,121000000,118800000,81700000,39500000,2200000,100000,0,0,1900000,0,8700000,None,2200000,200000,7600000,None,None,None,0,0,0,1800000,-300000,0,100000,100000,None
2016-12-31,USD,132200000,460900000,90500000,172800000,21300000,-22700000,0,0,-25300000,0,7100000,None,3500000,900000,7700000,None,None,None,0,5100000,0,12400000,-28900000,0,-17900000,-22700000,None
2016-09-30,USD,125600000,0,74400000,0,0,4800000,0,0,17700000,0,6200000,None,17200000,0,7600000,None,None,None,0,0,0,12900000,0,0,0,4800000,None
2016-06-30,USD,120100000,0,74300000,0,0,-9700000,0,0,0,0,11200000,None,2900000,0,7500000,None,None,None,0,0,0,3200000,0,0,0,-9700000,None
2016-03-31,USD,104300000,0,71100000,0,0,9700000,0,0,0,0,7100000,None,0,0,7800000,None,None,None,0,0,0,0,0,0,0,9700000,None
2015-12-31,USD,115700000,505000000,102400000,118500000,-149900000,-508900000,0,0,-558700000,0,13700000,None,-149900000,500000,6800000,None,None,None,0,398700000,0,-49800000,-408800000,0,-508900000,-508900000,None
2015-09-30,USD,103600000,0,80800000,0,0,0,0,0,0,0,10000000,None,0,0,6100000,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,71200000,0,135900000,0,0,0,0,0,0,0,5444000,None,0,0,5484000,None,None,None,0,0,0,-28733000,0,0,0,0,None
