fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,976141000,None,None,44996000,417676000,558465000,None,109346000,69000,-1646839000,250958000,None,1575000,295858000,64353000,None,None,1636000,33925000,846355000,4285000,558465000,494270000,18037000,None,11231000,57372000,None,None,69000,None,-1646839000,None,None,91576000,None,129786000,109346000,None,250958000,250958000,None,None,None,2203599000,976141000,790128000,None,69058696
2020-03-31,USD,799738000,None,None,48875000,174439000,625299000,571000,11520000,69000,-1556361000,None,None,1800000,89093000,69858000,None,None,74000,33840000,587274000,84503000,625299000,439528000,19723000,None,9778000,58338000,None,None,69000,None,-1556361000,None,None,94121000,None,212464000,111353000,571000,None,571000,None,None,None,2181517000,799738000,528621000,None,68789925
2019-12-31,USD,890741000,None,None,39496000,250213000,640528000,None,17848000,68000,-1516105000,50580000,None,None,80931000,92886000,None,None,202000,31472000,611704000,152929000,640528000,483946000,15319000,None,7331000,75038000,None,None,68000,None,-1516105000,None,None,94636000,None,279037000,113662000,673000,157327000,157327000,None,None,None,2156363000,890741000,564877000,None,68401105
2019-09-30,USD,698616000,None,None,32398000,250325000,448291000,None,24171000,59000,-1413755000,49797000,None,None,81709000,92432000,None,None,464000,24060000,490144000,88579000,448291000,370188000,12413000,None,5849000,68261000,None,None,59000,None,-1413755000,None,None,95833000,None,208472000,115394000,None,None,157893000,None,None,None,1861523000,698616000,451897000,None,58877691
2019-06-30,USD,783870000,None,None,33656000,251193000,532677000,None,24851000,59000,-1307582000,51616000,None,None,83580000,89504000,None,None,490000,23016000,533705000,128649000,532677000,411810000,14593000,None,4659000,64653000,None,None,59000,None,-1307582000,None,None,98500000,None,250165000,116470000,None,None,161689000,None,None,None,1839710000,783870000,495390000,None,58749186
2019-03-31,USD,822131000,None,None,30210000,201874000,620257000,None,152262000,59000,-1197711000,54961000,None,60000,103443000,80907000,9128000,9128000,-484000,23974000,557095000,183234000,620257000,421114000,6555000,66006000,2328000,49612000,None,None,59000,None,-1197711000,None,None,57828000,None,265036000,75134000,None,None,120967000,None,None,None,1818393000,822131000,524557000,None,58659821
2018-12-31,USD,858457000,None,None,27609000,170920000,687537000,17608000,33476000,58000,-1104633000,77417000,None,238000,70502000,93503000,None,None,-2171000,24320000,613780000,220119000,687537000,514800000,10442000,None,869000,60027000,None,None,58000,None,-1104633000,None,None,238000,None,244677000,None,None,59809000,77417000,None,None,None,1794283000,858457000,585302000,None,58218653
2018-09-30,USD,929079000,None,None,24787000,168866000,760213000,17826000,42827000,58000,-1012839000,84120000,None,416000,156478000,84746000,None,None,-2119000,24613000,695542000,208508000,760213000,513414000,8329000,None,863000,41919000,None,None,58000,None,-1012839000,None,None,416000,None,233537000,None,None,66294000,84120000,None,None,None,1775113000,929079000,669892000,None,58167932
2018-06-30,USD,998235000,None,None,36877000,175093000,823142000,90223000,41757000,58000,-918175000,90223000,None,595000,210323000,84870000,None,None,-2398000,24134000,753782000,219724000,823142000,506582000,21339000,None,None,43113000,None,None,58000,None,-918175000,None,None,595000,None,244453000,None,None,None,90223000,None,None,None,1743657000,998235000,716905000,None,57932639
2018-03-31,USD,1040126000,0,None,20543000,174532000,865594000,99833000,39762000,58000,-849430000,99833000,0,1104000,364469000,74699000,None,None,-2643000,23732000,802993000,212297000,865594000,417981000,4929000,0,0,34937000,0,0,58000,0,-849430000,0,None,1104000,None,237133000,None,None,None,99833000,None,None,None,1717609000,1040126000,782450000,None,57541613
