fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,37347000,126868000,675000,36672000,-88427000,-90478000,90917000,None,-88427000,None,35951000,1769000,-90196000,None,2051000,None,1769000,-282000,None,None,None,None,None,None,-88427000,-90478000,None
2020-03-31,USD,87098000,129757000,533000,86565000,-40256000,-40256000,91256000,None,-40256000,None,38501000,2936000,-43192000,None,None,None,2936000,2936000,None,None,None,None,None,None,-40256000,-40256000,None
2019-12-31,USD,35440000,140052000,1317000,34123000,-102350000,-102350000,106248000,None,-102350000,None,34834000,3579000,-105929000,None,None,None,3579000,3579000,None,None,None,None,3579000,None,-102350000,-102350000,None
2019-09-30,USD,26024000,135084000,393000,26024000,-106173000,-106173000,101672000,None,-106173000,None,33019000,2887000,-109060000,393000,None,None,2887000,2887000,None,None,None,None,2887000,None,-106173000,-106173000,None
2019-06-30,USD,26221000,140082000,303000,26221000,-109871000,-109871000,107389000,None,-109871000,None,32390000,3990000,-113861000,303000,None,None,3990000,3990000,None,None,None,None,3990000,None,-109871000,-109871000,None
2019-03-31,USD,30227000,127710000,334000,30227000,-93078000,-93078000,95585000,None,-93078000,None,31791000,4405000,-97483000,334000,None,None,4405000,4405000,None,None,None,None,4405000,None,-93078000,-93078000,None
2018-12-31,USD,30013000,126369000,94511000,30013000,-91794000,-91794000,93809000,0,-91794000,0,31858000,4562000,-96356000,702000,0,None,None,None,0,0,0,0,4562000,0,-91794000,-91794000,None
2018-09-30,USD,15198000,114360000,83256000,15198000,-94664000,-94664000,82561000,0,-94664000,0,31104000,4498000,-99162000,695000,0,None,None,None,0,0,0,0,4498000,0,-94664000,-94664000,None
2018-06-30,USD,40414000,113363000,86730000,40414000,-68745000,-68745000,86730000,0,-68745000,0,26633000,4204000,-72949000,0,0,None,None,None,0,0,0,0,4204000,0,-68745000,-68745000,None
2018-03-31,USD,8762000,102774000,78224000,8762000,-90825000,-90825000,78224000,0,-90825000,0,24550000,3187000,-94012000,0,0,None,None,None,0,0,0,0,3187000,0,-90825000,-90825000,None
2017-12-31,USD,9799000,99929000,98275000,9799000,-88285000,-88285000,77216000,0,-88285000,0,22713000,1845000,-90130000,0,0,None,None,None,0,0,0,0,6124000,0,-88285000,-88285000,None
2017-09-30,USD,11358000,90375000,88761000,11358000,-77137000,-77137000,72917000,0,-77137000,0,17458000,1880000,-79017000,0,0,None,None,None,0,0,0,0,0,0,-77137000,-77137000,None
2017-06-30,USD,11346000,95946000,94373000,11346000,-83082000,-83082000,79816000,0,-83082000,0,16130000,1518000,-84600000,0,0,None,None,None,0,0,0,0,0,0,-83082000,-83082000,None
2017-03-31,USD,10508000,77555000,75964000,10508000,-66166000,-66166000,62732000,0,-66166000,0,14823000,881000,-67047000,0,0,None,None,None,0,0,0,0,0,0,-66166000,-66166000,None
2016-12-31,USD,22648000,80057000,78335000,22648000,-56486000,-56486000,64678000,0,-56486000,0,15379000,923000,-57409000,0,0,None,None,None,0,0,0,0,2514000,0,-56486000,-56486000,None
2016-09-30,USD,8985000,72497000,71061000,8985000,-62834000,-62834000,60643000,0,-62834000,0,11854000,678000,-63512000,0,0,None,None,None,0,0,0,0,0,0,-62834000,-62834000,None
2016-06-30,USD,6978000,63448000,62144000,6978000,-55953000,-55953000,50804000,0,-55953000,0,12644000,517000,-56470000,0,0,None,None,None,0,0,0,0,0,0,-55953000,-55953000,None
2016-03-31,USD,31281000,54875000,53629000,31281000,-23198000,-23198000,44038000,0,-23198000,0,10837000,396000,-23594000,0,0,None,None,None,0,0,0,0,0,0,-23198000,-23198000,None
2015-12-31,USD,6218000,47115000,45971000,6218000,-40621000,-40621000,36933000,0,-40621000,0,10182000,276000,-40897000,0,0,None,None,None,0,0,0,0,968000,0,-40621000,-40621000,None
2015-09-30,USD,5480000,45955000,44907000,5480000,-40257000,-40257000,36028000,0,-40257000,0,9927000,218000,-40475000,0,0,None,None,None,0,0,0,0,0,0,-40257000,-40257000,None
2015-06-30,USD,13219000,45352000,44572000,13219000,-31897000,-31897000,36423000,0,-31897000,0,8929000,236000,-32133000,0,0,None,None,None,0,0,0,0,0,0,-31897000,-31897000,None
