fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-56761000,1056000,-56761000,None,-1000,129293000,None,-1002000,-21418000,53119000,-19413000,None,222000,None,None,None,None,1729000,1325000,None,None,None
2020-03-31,USD,14753000,262000,14753000,16142000,-7000,282000,None,-4853000,-18728000,-6659000,-21694000,None,154000,None,289000,None,None,1471000,1389000,None,None,None
2019-12-31,USD,10326000,749000,10326000,-247000,-7000,676000,None,3084000,-21495000,-5292000,-16294000,None,106000,None,65748000,None,None,1262000,1174000,None,None,None
2019-09-30,USD,16012000,-307000,16012000,-11747000,-6000,311000,None,3243000,-21573000,-885000,-17208000,None,105000,None,65065000,None,None,1324000,143000,None,None,None
2019-06-30,USD,-42013000,-148000,-42013000,-27902000,-6000,-319000,None,341000,-18019000,-58715000,-16383000,None,107000,None,64748000,None,None,1336000,57000,None,None,None
2019-03-31,USD,13936000,2289000,13936000,14054000,-6000,65055000,None,-2147000,-17167000,63184000,-15807000,None,100000,None,65061000,None,None,1118000,118000,None,None,None
2018-12-31,USD,-1929000,-488000,-2132000,-14809000,-6000,17261000,None,4239000,-14898000,7929000,-7200000,None,72000,None,57068000,None,2422000,1453000,203000,None,None,None
2018-09-30,USD,1500000,148000,1399000,0,-6000,1056000,None,270000,-11917000,-6047000,-8502000,None,76000,0,0,0,1859000,1062000,101000,None,None,None
2018-06-30,USD,-19165000,183000,-19200000,0,-6000,38063000,None,-286000,-9414000,9819000,-9044000,None,75000,0,0,0,-908000,1306000,35000,None,None,None
2018-03-31,USD,4785000,376000,4702000,0,None,688000,None,-319000,-8119000,-2057000,-7447000,None,70000,0,0,0,-295000,840000,83000,None,None,None
2017-12-31,USD,-21910000,113000,-22529000,0,None,12213000,None,1552000,-27236000,-34931000,-24615000,None,249000,0,0,0,-1863000,2570000,619000,None,None,None
2017-09-30,USD,-6175000,86000,-27373000,0,None,11529000,None,805000,-20753000,-13772000,-18742000,None,0,0,0,0,1237000,785000,428000,None,None,None
2017-06-30,USD,4570000,265000,-21087000,0,None,11647000,None,-108000,-12879000,10133000,-11374000,None,0,0,0,0,2000,693000,317000,None,None,None
2017-03-31,USD,-25340000,-12000,-25611000,0,None,96000,None,151000,-6247000,-30947000,-5432000,None,0,0,0,0,234000,351000,271000,None,None,None
2016-12-31,USD,-11944000,63000,-12076000,80000,None,49370000,None,905000,-21698000,18454000,-18840000,None,132000,0,0,0,482000,1276000,212000,None,None,None
2016-09-30,USD,None,None,-14635000,0,None,49370000,None,None,-16215000,None,-14485000,None,0,0,0,0,126000,None,91000,None,None,None
2016-06-30,USD,None,None,660000,0,None,49294000,None,None,-9977000,None,-8620000,None,0,0,0,0,72000,None,91000,None,None,None
2016-03-31,USD,None,None,-1192000,0,None,-98000,None,None,-4547000,None,-3988000,None,0,0,0,0,79000,None,2000,None,None,None
2015-12-31,USD,-3766000,-169000,-4014000,-40000,None,41674000,-2349000,533000,-11295000,26678000,-10982000,None,89000,None,23000,None,-1697000,1557000,208000,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
