fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,23932656000,None,None,None,23108540000,824116000,None,None,10733000,478647000,38182000,None,38790000,827600000,124301000,None,10887523000,-91497000,None,23793631000,16588000,518739000,14899224000,8066807000,21469093000,None,124301000,None,None,10733000,305377000,478647000,None,None,83647000,None,38790000,None,21469093000,1515146000,22984239000,None,None,None,120856000,23932656000,15726824000,None,None
2020-03-31,USD,23180110000,None,None,None,22486493000,693617000,None,None,10723000,455545000,39359000,None,47842000,1231585000,178792000,None,11148184000,-121437000,None,15705698000,7327916000,465243000,14319277000,154836000,20718815000,None,178792000,None,None,10723000,228374000,455545000,None,None,98654000,None,47842000,None,20718815000,1588886000,22307701000,None,None,None,120412000,23180110000,15550862000,None,11000000
2019-12-31,USD,21709374000,None,None,59135000,20910098000,799276000,None,None,10712000,457047000,38864000,None,18280000,604381000,10148122000,10019082000,10019082000,-16161000,1770000,14640000000,6991959000,570902000,13836424000,199195000,19125690000,None,129040000,None,None,10712000,228374000,457047000,None,None,59135000,None,16510000,None,19125690000,1655368000,20781058000,None,None,None,119304000,21709374000,14440805000,None,11000000
2019-09-30,USD,21315234000,None,None,55363000,20564975000,750259000,None,None,10710000,435479000,39192000,None,25573000,587941000,18962840000,18826622000,9885633000,-43024000,1770000,14711489000,6522809000,521885000,13964828000,158720000,30542000,None,136218000,None,None,10710000,228374000,435479000,None,None,55363000,None,23803000,None,30542000,1571593000,1602135000,None,None,None,118720000,21315234000,14552769000,None,11000000
2019-06-30,USD,20738160000,None,None,101029000,19964418000,773742000,None,None,10700000,428569000,39126000,None,12313000,396602000,18327001000,18187418000,9939589000,-12843000,1770000,14301253000,6323565000,545368000,13719958000,184693000,27429000,None,139583000,None,None,10700000,228374000,428569000,None,None,101029000,None,10543000,None,27429000,1609988000,1637417000,None,None,None,118942000,20738160000,14116560000,None,11000000
2019-03-31,USD,19797777000,None,None,106542000,19034479000,763298000,None,None,10689000,407755000,40326000,None,3994000,376122000,17404755000,17250902000,8571615000,21254000,1253000,13639847000,6046141000,558539000,13119848000,143877000,22203000,None,153853000,None,None,10689000,204759000,407755000,None,None,106542000,None,3994000,None,22203000,1607521000,1629724000,None,None,None,118841000,19797777000,13495970000,None,11000000
2018-12-31,USD,18694328000,None,None,49784000,17941771000,1480158000,None,None,10669000,393351000,40850000,None,6497000,425256000,16352331000,16243697000,6170665000,752557000,128000,13115508000,5515052000,547798000,12510172000,180080000,19633000,None,108634000,None,None,10669000,204759000,393351000,None,None,9418000,None,6369000,None,19633000,1569807000,1589440000,None,None,None,118822000,18694328000,12935428000,None,11000000
2018-09-30,USD,18474034000,0,None,85414000,17696443000,1491181000,4586000,87435000,10669000,379979000,45330000,0,128000,436152000,16146539000,15798351000,6178927000,777591000,128000,8753135000,5360900000,572832000,8181306000,135677000,17841000,5360900000,348188000,777591000,118183000,10669000,204759000,379979000,0,None,45236000,None,5406264000,None,17841000,1527477000,1549904000,None,None,None,118183000,18474034000,8617458000,None,11000000
2018-06-30,USD,18626771000,0,None,107220000,17860559000,1459014000,2832000,88506000,10667000,359692000,43509000,0,56000,430812000,16346998000,16191197000,6174301000,766212000,56000,8897410000,5352584000,561453000,8310404000,156194000,20164000,5352584000,155801000,766212000,117684000,10667000,204759000,359692000,0,None,67305000,None,5419945000,None,20164000,1490565000,1513561000,None,None,None,117684000,18626771000,8741216000,None,11000000
2018-03-31,USD,18397236000,0,None,83305000,17651970000,1418421000,4227000,71348000,10650000,339538000,44805000,0,123000,493258000,16120942000,16023953000,6496359000,745266000,123000,8640067000,5302197000,540507000,8032739000,114070000,22570000,5302197000,96989000,745266000,118208000,10650000,204759000,339538000,0,None,43308000,None,5345628000,None,22570000,1504231000,1531028000,None,None,None,118208000,18397236000,8525997000,None,11000000
2017-12-31,USD,17792274000,0,None,139000,17084128000,708146000,0,75402000,10619000,322704000,1472014000,0,9167854000,302022000,15612114000,15522616000,6364857000,51085000,139000,8144619000,5266786000,503387000,7687319000,155278000,26599000,5266786000,89498000,708146000,118979000,10619000,204759000,322704000,0,None,29023000,None,2048000,None,26599000,1445415000,1472014000,None,None,None,118979000,17792274000,7989341000,None,11000000
2017-09-30,USD,17690238000,0,None,1086000,16996072000,694166000,0,61804000,10613000,318869000,1401408000,0,9306986000,366764000,15594664000,15512889000,6212928000,40795000,1086000,8155651000,5127770000,489407000,7678712000,110175000,30595000,5127770000,81775000,694166000,119130000,10613000,204759000,318869000,0,None,96780000,None,4293000,None,30595000,1370813000,1401408000,None,None,None,119130000,17690238000,8045476000,None,11000000
