fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1159201000,-9583000,-1165473000,-6272000,748634000,738121000,-75517000,11132000,35626000,-403985000,23367000,9049000,6820000,-12016000,77020000,None,-20540000,1863000,0,-20408000,None,-403985000
2020-03-31,USD,-429086000,305000,-426895000,2191000,1496586000,1384410000,-99958000,-36739000,12830000,627204000,-330311000,-398621000,9044000,-12002000,-216000,None,44679000,1292000,0,44839000,None,627204000
2019-12-31,USD,-321618000,1502000,-321618000,2191000,268621000,219681000,-38029000,-5791000,32498000,16440000,118377000,156040000,9891000,-10930000,19000,None,-40475000,-41024000,0,-40530000,None,16440000
2019-09-30,USD,-320970000,-1902000,-321439000,-469000,624398000,550185000,-63309000,12644000,17833000,191339000,-37407000,-107260000,10662000,-10923000,19000,None,25973000,17411000,0,25849000,None,191339000
2019-06-30,USD,-761408000,10832000,-761408000,2191000,907671000,901077000,-16981000,-6147000,34045000,20480000,-119189000,-142317000,10478000,-11275000,21662000,None,-40782000,8493000,0,-40720000,None,20480000
2019-03-31,USD,-980122000,1205000,-980122000,-980122000,988182000,912468000,-64951000,-2088000,25170000,-49134000,18520000,-74643000,8622000,-10766000,3000,None,36204000,21904000,0,36262000,None,-49134000
2018-12-31,USD,1313762000,10459000,-359417000,-591462000,12363594000,400715000,-4000,1882000,22856000,-10896000,-52194000,-65173000,6646000,9484000,7000,None,None,17477000,0,-44505000,None,-10896000
2018-09-30,USD,995501000,-7044000,369285000,15000,11916018000,-454016000,112000,-458000,29769000,5340000,90071000,21765000,7220000,9482000,7000,76259000,18451000,19039000,0,19322000,None,5340000
2018-06-30,USD,1209085000,15122000,-225081000,101000,12491520000,118311000,1116000,-2917000,29636000,-62446000,44324000,6485000,8920000,9482000,4000,62078000,0,26236000,0,-42075000,None,-62446000
2018-03-31,USD,1173876000,2057000,-383997000,101000,12648501000,457403000,1407000,-5877000,25819000,191236000,117830000,7641000,6317000,9457000,3000,34699000,41204000,34792000,0,41204000,None,191236000
2017-12-31,USD,-1018823000,25702000,-1848275000,8099000,1740794000,1710057000,-2536000,6616000,20006000,36793000,175011000,None,0,-28439000,238000,70630000,0,90679000,0,None,None,None
2017-09-30,USD,814794000,-1233000,-349242000,320000,14662743000,329295000,614000,420000,21782000,46771000,66718000,-151000,6766000,7114000,3000,54919000,12904000,23300000,0,16284000,None,46771000
2017-06-30,USD,1621052000,8022000,-1182091000,5447000,16889568000,1200486000,328000,-10352000,20634000,6352000,-12043000,-14430000,6176000,7113000,84000,32510000,0,7870000,0,-40315000,None,6352000
2017-03-31,USD,758806000,5750000,-245913000,697000,15870109000,191691000,1341000,2236000,21895000,48412000,102634000,3440000,5837000,7094000,148000,25928000,36935000,28777000,0,36935000,None,48412000
2016-12-31,USD,22430000,2079000,-593409000,295000,-528715000,-564137000,1481000,43994000,28761000,-944855000,208588000,None,0,-24067000,553000,70087000,0,99206000,0,None,None,None
2016-09-30,USD,1721612000,-5605000,-756215000,295000,30417257000,-776544000,155000,None,19641000,-1451045000,81714000,5496000,8954000,6019000,268000,67506000,26706000,33358000,0,19870000,None,-1451045000
2016-06-30,USD,479990000,5259000,-188068000,0,27461398000,237891000,19000,None,15286000,35063000,-14760000,-22266000,9034000,6015000,36000,37460000,6836000,9524000,0,-31597000,None,35063000
2016-03-31,USD,1367286000,-8473000,14239000,0,24296205000,453327000,234000,None,13584000,519479000,51913000,-28390000,8144000,5997000,101000,28794000,38433000,28615000,0,38433000,None,519479000
2015-12-31,USD,-707585000,-734000,-1250533000,-1000,1190707000,912875000,-249019000,8104000,18328000,-153303000,184355000,None,0,-20182000,1689000,0,0,114654000,0,None,None,None
2015-09-30,USD,901435000,-9379000,-37808000,0,29816238000,-180866000,None,None,11618000,-166620000,52054000,-4637000,4326000,-15166000,197000,0,32213000,25275000,0,24851000,None,-166620000
2015-06-30,USD,409784000,7169000,73831000,0,25526617000,28751000,128000,None,25339000,126910000,24328000,-9035000,3618000,-10107000,1484000,0,7362000,31557000,0,-34320000,None,126910000
