fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,59168000,14107000,None,59168000,45061000,35626000,None,None,45061000,None,14107000,None,45061000,-1229000,79273000,9435000,127621000,48348000,None,None,None,9435000,None,None,35626000,31687000,3939000
2020-03-31,USD,32786000,16215000,105346000,32786000,16571000,12830000,None,None,16571000,None,16215000,None,16571000,-1301000,108542000,3741000,149854000,41312000,None,None,None,3741000,None,None,12830000,9399000,3431000
2019-12-31,USD,54892000,13651000,110183000,54892000,46523000,32498000,None,None,41241000,None,13651000,5282000,41241000,726000,113584000,8743000,162954000,49370000,None,None,None,8743000,None,None,32498000,29066000,3432000
2019-09-30,USD,35920000,13458000,118035000,35920000,22462000,17833000,None,None,22462000,None,13458000,None,22462000,-551000,121384000,4629000,161496000,40112000,None,None,None,4629000,None,None,17833000,14406000,3427000
2019-06-30,USD,55208000,12052000,118671000,55208000,43156000,34045000,None,None,43156000,None,12052000,None,43156000,-291000,122074000,9111000,165128000,43054000,None,None,None,9111000,None,None,34045000,28304000,3785000
2019-03-31,USD,44553000,12761000,111403000,44553000,31792000,25170000,None,None,31792000,None,12761000,None,31792000,-493000,114916000,6622000,-316000,40599000,None,None,None,6622000,None,None,25170000,21874000,3296000
2018-12-31,USD,42752000,13703000,100731000,42752000,106523000,22856000,0,0,29049000,0,13703000,77474000,29049000,-163000,-104237000,None,None,None,0,0,0,6193000,0,0,22856000,19560000,3296000
2018-09-30,USD,49398000,11650000,11749000,49398000,114618000,29769000,0,0,37748000,0,11650000,76870000,37748000,-324000,-97557000,None,None,None,0,0,0,7979000,0,0,29769000,26474000,3295000
2018-06-30,USD,49889000,12921000,13345000,49889000,111147000,29636000,0,0,36968000,0,12921000,74179000,36968000,-34000,-91737000,None,None,None,0,0,0,7332000,0,0,29636000,26340000,3296000
2018-03-31,USD,43899000,11642000,11211000,43899000,94687000,25819000,0,0,32257000,0,11642000,62430000,32257000,16000,-76317000,None,None,None,0,0,0,6438000,0,0,25819000,22524000,3295000
2017-12-31,USD,114044000,72473000,11984000,171753000,-493362000,20006000,0,0,33272000,-1242000,42692000,None,102060000,-8451000,70088000,None,None,None,0,0,0,13266000,-100000,0,13611000,16710000,None
2017-09-30,USD,43591000,10616000,10886000,43591000,87325000,21782000,0,0,32975000,2070000,10616000,54350000,32975000,10008000,-64935000,None,None,None,0,0,0,11193000,0,0,21782000,18487000,3295000
2017-06-30,USD,43148000,11390000,11717000,43148000,81864000,20784000,0,0,31758000,-150000,11390000,50106000,31758000,-3919000,-58316000,None,None,None,0,0,0,11124000,0,0,20634000,17488000,3296000
2017-03-31,USD,43230000,10549000,11186000,43230000,75203000,21910000,0,0,32681000,-15000,10549000,42522000,32681000,637000,-49546000,None,None,None,0,0,0,10786000,0,0,21895000,18615000,3295000
2016-12-31,USD,100548000,40368000,11438000,159725000,0,28761000,0,0,44582000,28000,40344000,None,89110000,24000,44528000,None,None,None,0,0,0,15793000,0,0,77300000,25465000,None
2016-09-30,USD,39473000,9303000,9494000,39473000,68299000,19659000,0,0,30170000,-18000,9303000,38129000,30170000,0,-43969000,None,None,None,0,0,0,10529000,0,0,19641000,16364000,3295000
2016-06-30,USD,33760000,10074000,10438000,33760000,60985000,15302000,0,0,23686000,-16000,10074000,37299000,23686000,0,-42878000,None,None,None,0,0,0,8400000,0,0,15286000,12006000,3296000
2016-03-31,USD,30885000,9966000,10015000,30885000,56429000,13612000,0,0,20919000,-28000,9966000,35510000,20919000,0,-40251000,None,None,None,0,0,0,7335000,0,0,13584000,10317000,3295000
2015-12-31,USD,74002000,37663000,9231000,145741000,0,18328000,0,0,28180000,203000,37571000,None,64771000,92000,36591000,None,None,None,0,0,0,9912000,0,0,73839000,15032000,None
2015-09-30,USD,28366000,10421000,9257000,28366000,51947000,11654000,0,0,17945000,-36000,10421000,34002000,17945000,0,-34735000,None,None,None,0,0,0,6327000,0,0,11618000,8359000,3295000
2015-06-30,USD,49961000,10853000,10963000,49961000,73592000,25458000,0,0,39108000,-119000,10853000,34484000,39108000,0,-34528000,None,None,None,0,0,0,13769000,0,0,25339000,22162000,3296000
