fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2019-12-31,USD,14514013,11593,None,None,2662888,11851125,None,None,28890,-3876167,None,7121712,None,2076569,2662888,None,None,398470,75390,7305317,0,None,None,66535,None,None,3268,None,None,None,None,None,None,None,7208696,None,7208696,None,None,None,0,None,None,None,15299930,None,2076570,None,None
2019-09-30,USD,None,None,None,None,None,None,None,None,28891,-3876167,None,None,None,None,None,None,None,398471,75391,None,None,4717820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2019-06-30,USD,7709337,12333,None,4937660,2554982,5154355,0,1061693,33220,-2873937,-1,0,0,2211400,2554982,0,0,299470,70910,7626091,0,5142023,0,0,0,0,7037,0,0,0,0,0,0,0,83246,0,83246,0,0,0,0,0,0,0,7695610,0,2211400,0,0
2019-03-31,USD,7709337,12333,None,4937664,2554981,5154356,0,1061693,33216,-2873937,-1,0,0,2211400,2554982,0,0,299472,70913,7626091,0,5142023,0,0,0,0,7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-31,USD,8849690,13070,None,149236,3130770,5718920,0,1483745,33216,-2313312,0,0,0,7865350,3130770,0,0,303411,97933,8397630,341045,5705847,0,0,0,0,79650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695610,0,7865350,0,0
2018-09-30,USD,8849685,13073,None,149236,3130765,5718920,0,1483745,33216,-2313312,0,0,0,7865345,3130765,0,0,303411,97933,8397634,341045,5705847,0,0,0,0,79650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-30,USD,92856240,2887140,None,81896130,84119830,8736410,0,83790629,33220,977440,0,0,51600710.98,3731250,84119830,0,0,-39850,118790,89850310,0,5849266,0,363630,0,0,90652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7765600,0,3731250,0,None
2018-03-31,USD,92856242,2887144,None,81896131,84119832,8736410,0,83790629,33216,977436,0,0,0,3731251,84119832,0,0,-39846,118792,89850306,0,5849266,0,3468959,0,0,90652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
2017-12-31,USD,24746076,3104128,None,12777841,16628159,8117917,None,14713214,31910,6099419,None,None,3104000,7696699,16628159,1362385,1362385,18488,99630,21542318,None,5013789,259530,583307,None,None,12963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-09-30,USD,24746076,3104128,None,12777841,16628159,8117917,None,14713214,31910,6099419,None,None,None,7696699,16628159,1362385,1362385,18488,99630,21542318,None,5013789,259530,583307,None,None,12963,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-06-30,USD,14521061,1699808,None,2774921,8384045,6137016,None,4055341,31910,4140937,None,None,33397,8717124,6446302,1995313,1995313,-3931,72118,12715738,None,4437208,None,1086973,1937743,None,128304,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-03-31,USD,14521061,1699808,None,2774921,8384045,6137016,None,4055341,31910,4140937,None,None,33397,8717124,6446302,1995313,1995313,-3931,72118,12715738,None,4437208,None,1086973,1937743,None,128304,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2016-12-31,USD,10471000,1747000,None,305000,6223000,4248000,None,2399000,32000,2248000,None,None,1823000,4224000,6223000,3869836,3869836,48152,75000,8572734,None,2500630,927000,3117318,None,None,168000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2015-12-31,USD,11000,None,None,2000,156000,-144411,None,148000,10,-150620,None,None,None,9000,156000,37229,37229,6199,None,11263,None,-144411,None,111,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
