fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2019-12-31,USD,None,None,-5010390,-4975730,None,-526330,-526330,None,-1562860,-5788780,-196390,None,57630,None,None,None,None,None,34660,None,None,None
2019-09-30,USD,None,-1884,-220535,None,-114722,None,None,637713,None,None,208902,None,None,None,None,None,None,298,0,None,None,None
2019-06-30,USD,184173,0,-220535,-4569320,-114722,-296890,-296890,637713,-560630,-5653950,208902,0,28180,0,0,0,0,298,0,0,0,0
2019-03-31,USD,184173,0,-220535,0,-114722,-148443,0,637713,-280313,-2826973,208902,0,14089,0,0,0,0,298,0,0,0,0
2018-12-31,USD,-188976,33343,1107,-377950,855284,6063050,334240,710228,-8412730,3236950,2633106,0,382680,0,5728810,0,181816,2814044,57510,0,0,0
2018-09-30,USD,-188976,33344,1108,0,855285,820285,0,710229,-1645374,3601201,2633107,0,-71051,0,0,0,181816,2814044,7102,0,0,0
2018-06-30,USD,-188976,0,-437670,-394370,-688163,4422480,-1376330,-1623624,-417370,-3965450,-8099450,0,195800,0,5798810,0,108188,374413,43300,0,0,0
2018-03-31,USD,-188976,0,-218837,0,-688163,2211242,0,-1623624,-2560992,-1982724,-4049724,0,97900,0,0,0,108188,374413,21651,0,0,0
2017-12-31,USD,None,-59060,-1403690,42493,-1387019,-1624190,-2794190,466690,3899890,3472460,6563550,None,246530,None,1170000,None,231724,-23343,1403690,None,None,None
2017-09-30,USD,None,-59060,-655284,42493,-1387019,-1387020,None,466690,979241,-500155,1568611,None,8454,None,None,None,231724,-23343,18085,None,None,None
2017-06-30,USD,None,-20685,-46561,-42493,-10075,574926,None,237366,2945000,2236386,1713163,None,6721,None,585000,None,432782,40843,4069,None,None,None
2017-03-31,USD,None,-20685,-46561,-42493,-10075,574926,None,237366,970705,2236386,1713163,None,6721,None,585000,None,432782,40843,4069,None,None,None
2016-12-31,USD,None,9658,-1786849,None,3570973,4401000,3571000,1214753,2350000,4215248,1613000,None,10638,None,830000,None,-1947318,35000,56000,None,None,None
2015-12-31,USD,None,0,-1786849,None,58077,58092,None,172794,-225930,13484,-44016,None,10638,None,15,-3387,-1947318,35000,55703,None,None,None
