fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2019-12-31,USD,709630,None,242940,466690,None,-1562860,None,None,-1439850,None,1565760,None,-1226190,None,None,123000,33680,None,None,None,None,None,None,None,None,-1562860,None
2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,154939,None,None,None,-501115,None
2019-06-30,USD,105600,431164,100370,5230,-378364,-560630,0,0,-747500,0,761950,0,-756730,0,0,-186880,34280,None,0,0,0,-93438,4614,0,-280313,-501115,0
2019-03-31,USD,52800,431164,50187,2613,-378364,-280313,0,0,-373750,0,380977,0,-378364,0,0,None,None,None,0,0,0,-93438,4614,0,-280313,-501115,0
2018-12-31,USD,5112520,1707513,1653030,3459490,-1227731,-8412730,315031,0,-2381680,0,4800090,0,-2368850,0,0,-595420,-35170,None,-6626470,0,0,-549978,-6696,-960926,-684448,-1645374,0
2018-09-30,USD,479782,1707513,38654,441128,-1227731,-1645374,315031,0,-1234427,0,892220,0,-1227731,0,0,None,None,None,0,0,0,-549980,-6696,-960926,-684448,-1645374,0
2018-06-30,USD,4152960,12561528.07,1575720,2577240,43308,-5121980,199094,0,87170,0,2092430,0,86620,0,0,504540,None,None,-4704620,0,0,252269,278,-2352309,-208683,-5121980,0
2018-03-31,USD,2076478,24419018.90,787860,1288618,43308,-2560992,199094,0,43586,0,1046216,0,43308,0,0,None,None,None,0,0,0,252269,278,-2352309,-208683,-2560992,0
2017-12-31,USD,12427740,2125068,3348680,9079060,1200280,3899890,-275951,0,5720430,0,2966470,None,5714400,0,-288,1300890,None,None,-519640,0,0,319306,98267,-2352309,979241,3899890,None
2017-09-30,USD,3325348,2125068,1286235,2039114,1200280,979241,-275951,0,1298548,0,1132284,None,1200280,0,-288,None,None,None,0,0,0,319306,98267,-2352309,979241,979241,None
2017-06-30,USD,5796000,-1608390,1179000,-2461679,-1336905,2945000,406000,0,2813000,0,1709000,None,2806000,0,288,None,None,None,0,0,0,-331141,35059,0,-970705,3771000,None
2017-03-31,USD,2945294,1608390,483615,2461679,1336905,970705,475045,0,1301845,0,632230,None,1336905,0,-288,None,None,None,0,0,0,331141,-35059,0,970705,970705,None
2016-12-31,USD,7705000,4568206,2352000,5327248,3136614,2350000,290000,0,3133000,0,2191000,None,3136000,0,0,None,None,None,0,0,0,783000,-3084,0,2350148,2350000,None
2015-12-31,USD,0,225672,0,0,-225672,-225930,166703,0,-225930,0,58970,None,-225672,0,0,None,None,None,0,0,0,0,-258,0,-225930,-225930,None
