fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,89853000000,None,None,2098000000,79503000000,10350000000,None,None,6000000,-6100000000,None,526000000,72691000000,77653000000,1682000000,None,None,764000000,None,89853000000,1181000000,8861000000,1893000000,8209000000,207000000,None,1682000000,None,None,6000000,1489000000,-6100000000,None,None,None,None,None,None,207000000,69685000000,69892000000,None,None,None,14191000000,89853000000,79546000000,None,None
2020-03-31,USD,85137000000,None,None,2100000000,75339000000,9798000000,None,None,6000000,-6592000000,None,526000000,69275000000,73559000000,3561000000,66540000000,None,561000000,None,85137000000,3721000000,8309000000,4295000000,5183000000,5238000000,None,3561000000,None,None,6000000,1489000000,-6592000000,None,None,None,None,None,None,5238000000,66540000000,71778000000,None,None,None,14334000000,85137000000,77854000000,None,567700000
2019-12-31,USD,113082000000,None,None,451000000,102041000000,11041000000,None,9647000000,5000000,-3886000000,None,526000000,93749000000,831000000,99488000000,86857000000,86760000000,97000000,None,11653000000,97000000,9583000000,10181000000,None,228000000,None,424000000,None,None,None,None,None,None,None,None,None,None,None,2553000000,None,None,None,None,None,13893000000,None,831000000,None,541000000
2019-09-30,USD,109761000000,526000000,None,734000000,99548000000,10213000000,None,5288000000,5000000,-4473000000,None,526000000,94925000000,100217000000,3562000000,88087000000,87699000000,82000000,None,107659000000,754000000,8976000000,1349000000,6093000000,5374000000,None,3562000000,None,None,5000000,711000000,-4473000000,None,None,822000000,None,2102000000,None,5374000000,90612000000,95986000000,None,None,None,13888000000,109761000000,101566000000,None,540900000
2019-06-30,USD,106576000000,526000000,None,789000000,96230000000,10346000000,None,7884000000,5000000,-4194000000,None,526000000,789000000,92799000000,1896000000,86266000000,82791000000,-164000000,None,103916000000,719000000,9109000000,2269000000,8848000000,8068000000,None,1896000000,None,None,5000000,711000000,-4194000000,None,None,1415000000,None,2660000000,None,8068000000,86266000000,94334000000,None,None,None,13988000000,106576000000,95068000000,None,547800000
2019-03-31,USD,118807000000,526000000,None,517000000,108306000000,10501000000,None,19431000000,5000000,-3467000000,None,526000000,517000000,94490000000,2027000000,86685000000,83499000000,168000000,None,116170000000,925000000,9975000000,1250000000,20430000000,19594000000,None,2027000000,None,None,5000000,None,-3467000000,None,None,1186000000,None,2637000000,None,19594000000,86685000000,106279000000,None,None,None,13795000000,118807000000,95740000000,None,536300000
2018-12-31,USD,109241000000,526000000,None,599000000,99335000000,9906000000,None,21666000000,5000000,-3433000000,21515000000,526000000,79528000000,83811000000,1828000000,72892000000,72892000000,-459000000,None,106682000000,821000000,9380000000,1058000000,21813000000,21790000000,None,1828000000,None,None,5000000,484000000,-3433000000,None,None,1212000000,None,2559000000,None,21790000000,75717000000,97507000000,None,None,None,13793000000,109241000000,84869000000,None,536300000
2018-09-30,USD,92031000000,526000000,None,456000000,82404000000,9627000000,0,15926000000,5000000,-2343000000,15611000000,0,68690000000,71935000000,768000000,62660000000,62660000000,-820000000,0,89350000000,919000000,9101000000,1106000000,16309000000,15902000000,0,768000000,0,0,5000000,484000000,-2343000000,0,None,1236000000,None,2681000000,None,15902000000,65734000000,81636000000,None,None,None,12785000000,92031000000,73041000000,None,477800000
2018-06-30,USD,73138000000,550000000,None,447000000,64096000000,9042000000,0,13211000000,4000000,-2299000000,12904000000,0,52273000000,56880000000,2040000000,45614000000,45614000000,-627000000,0,71122000000,518000000,8492000000,936000000,13306000000,13217000000,0,2040000000,0,0,4000000,484000000,-2299000000,0,None,948000000,None,2016000000,None,13217000000,48839000000,62056000000,None,None,None,11964000000,73138000000,57816000000,None,434100000
2018-03-31,USD,69221000000,550000000,None,386000000,60883000000,8338000000,0,80000000,4000000,-2358000000,10384000000,0,57093000000,55541000000,1207000000,45364000000,45364000000,-482000000,0,67419000000,446000000,7788000000,1108000000,10770000000,10720000000,0,1207000000,0,0,4000000,484000000,-2358000000,0,None,806000000,None,1802000000,None,10720000000,48956000000,59676000000,None,None,None,11174000000,69221000000,56649000000,None,391300000
2017-12-31,USD,70376000000,551000000,None,317000000,61622000000,8754000000,0,80000000,4000000,-2562000000,10495000000,526000000,58052000000,56898000000,474000000,45771000000,45771000000,139000000,0,68735000000,241000000,8203000000,876000000,10961000000,10852000000,0,474000000,0,0,4000000,484000000,-2562000000,0,None,849000000,None,1641000000,None,10852000000,50296000000,61148000000,None,None,None,11173000000,70376000000,57774000000,None,391300000
2017-09-30,USD,65490000000,552000000,None,294000000,56699000000,8791000000,0,77000000,4000000,-2729000000,9181000000,0,54351000000,53034000000,1633000000,40928000000,40928000000,344000000,0,62977000000,219000000,8239000000,717000000,9226000000,9561000000,0,1633000000,0,0,4000000,484000000,-2729000000,0,None,1742000000,None,2513000000,None,9561000000,45505000000,55066000000,None,None,None,11172000000,65490000000,53751000000,None,391300000
2017-06-30,USD,56711000000,553000000,None,261000000,48966000000,7745000000,0,71000000,4000000,-2800000000,7294000000,0,47486000000,46613000000,2209000000,39536000000,39536000000,-230000000,0,54674000000,245000000,6856000000,572000000,7489000000,7699000000,0,2209000000,0,0,4000000,336000000,-2800000000,0,None,1239000000,None,2037000000,None,7699000000,39058000000,46757000000,None,None,None,10435000000,56711000000,47185000000,None,355600000
2017-03-31,USD,56838000000,554000000,None,219000000,49546000000,7292000000,0,66000000,3000000,-2628000000,8861000000,0,45950000000,45148000000,876000000,39878000000,39878000000,-351000000,0,54439000000,236000000,6402000000,383000000,8908000000,9295000000,0,876000000,0,0,3000000,336000000,-2628000000,0,None,1609000000,None,2399000000,None,9295000000,39375000000,48670000000,None,None,None,9932000000,56838000000,45531000000,None,331000000
2016-12-31,USD,56880000000,554000000,None,74000000,49524000000,7356000000,0,66000000,3000000,-2518000000,7892000000,526000000,47861000000,46675000000,277000000,35395000000,35395000000,-397000000,0,54737000000,479000000,6466000000,346000000,7716000000,8352000000,0,277000000,0,0,3000000,336000000,-2518000000,0,None,1110000000,None,2143000000,None,8352000000,40895000000,49247000000,None,None,None,9932000000,56880000000,47021000000,None,331000000
2016-09-30,USD,55889000000,555000000,None,None,47958000000,7931000000,0,66000000,3000000,-3350000000,6371000000,526000000,48285000000,48263000000,388000000,None,None,1010000000,0,53785000000,163000000,7040000000,81000000,5441000000,6865000000,0,388000000,0,0,3000000,336000000,-3350000000,0,None,1386000000,None,2104000000,None,6865000000,40705000000,47570000000,None,None,None,9932000000,55889000000,48344000000,None,331000000
2016-06-30,USD,60475000000,0,None,None,52773000000,7702000000,0,73000000,3000000,-3669000000,4536000000,0,54963000000,55967000000,2725000000,None,None,1100000000,0,59011000000,218000000,7366000000,62000000,2982000000,5064000000,0,2725000000,0,0,3000000,336000000,-3669000000,0,None,1246000000,None,1464000000,None,5064000000,44984000000,50048000000,None,None,None,9932000000,60475000000,56029000000,None,331000000
2016-03-31,USD,62396000000,0,None,None,54736000000,7660000000,0,73000000,3000000,-3329000000,4827000000,0,56438000000,57783000000,1034000000,None,None,718000000,0,60946000000,167000000,7324000000,1686000000,3163000000,5389000000,0,1034000000,0,0,3000000,336000000,-3329000000,0,None,1283000000,None,1450000000,None,5389000000,48313000000,53702000000,None,None,None,9932000000,62396000000,57783000000,None,331000000
2015-12-31,USD,57021000000,0,None,1281000000,49050000000,7971000000,0,74000000,3000000,-2350000000,2631000000,0,52917000000,53755000000,317000000,39439000000,39439000000,-66000000,0,55493000000,194000000,7635000000,25000000,1713000000,3226000000,0,317000000,0,0,3000000,336000000,-2350000000,0,None,1334000000,None,1528000000,None,3226000000,45507000000,48733000000,None,None,None,10048000000,57021000000,53780000000,None,337500000
2015-09-30,USD,60609000000,0,None,None,52293000000,8316000000,0,76000000,3000000,-2727000000,2845000000,0,56081000000,56681000000,4306000000,None,None,495000000,0,59078000000,143000000,7980000000,787000000,1610000000,3471000000,0,4306000000,0,0,3000000,336000000,-2727000000,0,None,1388000000,None,1531000000,None,3471000000,44516000000,47987000000,None,None,None,10209000000,60609000000,57468000000,None,346500000
