fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,447000000,-24000000,None,447000000,471000000,718000000,None,None,766000000,None,-24000000,None,471000000,11000000,-295000000,None,429000000,295000000,None,None,None,None,None,None,766000000,693000000,25000000
2020-03-31,USD,-2463000000,-23000000,426000000,-2463000000,-2440000000,-2421000000,None,None,-2375000000,None,-23000000,None,-2440000000,10000000,-65000000,None,491000000,65000000,None,None,None,None,None,None,-2375000000,-2442000000,21000000
2019-12-31,USD,896000000,25000000,481000000,896000000,None,871000000,None,None,871000000,None,16000000,None,871000000,8500000,481000000,None,768000000,287000000,None,None,None,None,None,None,871000000,847000000,None
2019-09-30,USD,-104000000,-19000000,557000000,-104000000,-85000000,-4000000,None,None,34000000,None,-19000000,None,-85000000,9000000,-119000000,None,676000000,119000000,None,None,None,None,None,None,34000000,-17000000,13000000
2019-06-30,USD,-547000000,-20000000,570000000,-547000000,-527000000,-444000000,None,None,-404000000,None,-20000000,None,-527000000,9000000,-123000000,None,693000000,123000000,None,None,None,None,None,None,-404000000,-457000000,13000000
2019-03-31,USD,120000000,-19000000,541000000,120000000,139000000,265000000,None,None,303000000,None,-19000000,None,139000000,9000000,-164000000,None,705000000,164000000,None,None,None,None,None,None,303000000,255000000,10000000
2018-12-31,USD,-971000000,-19000000,18000000,-971000000,-952000000,-804000000,0,0,-766000000,0,-19000000,None,-952000000,3500000,-186000000,None,None,None,0,0,0,0,-4000000,0,-766000000,-813000000,9000000
2018-09-30,USD,73000000,-45000000,18000000,73000000,118000000,216000000,0,0,306000000,0,-45000000,None,118000000,8000000,-188000000,None,None,None,0,0,0,0,-23000000,0,306000000,207000000,9000000
2018-06-30,USD,134000000,-18000000,18000000,134000000,152000000,293000000,0,0,329000000,0,-18000000,None,152000000,8000000,-177000000,None,None,None,0,0,0,0,0,0,329000000,284000000,9000000
2018-03-31,USD,217000000,-18000000,17000000,217000000,235000000,424000000,0,0,460000000,0,-18000000,None,235000000,8000000,-225000000,None,None,None,0,0,0,0,0,0,460000000,415000000,9000000
2017-12-31,USD,373000000,136000000,20000000,844000000,-3480000000,385000000,0,0,385000000,0,42000000,None,353000000,-86500000,174000000,None,None,None,0,0,0,0,0,0,-915000000,376000000,None
2017-09-30,USD,125000000,-17000000,16000000,125000000,142000000,286000000,0,0,320000000,0,-17000000,None,142000000,160000000,-178000000,None,None,None,0,0,0,0,0,0,320000000,271000000,9000000
2017-06-30,USD,-141000000,-16000000,15000000,-141000000,-125000000,24000000,0,0,56000000,0,-16000000,None,-125000000,-50000000,-181000000,None,None,None,0,0,0,0,0,0,56000000,17000000,7000000
2017-03-31,USD,-105000000,-17000000,16000000,-105000000,-88000000,76000000,0,0,110000000,0,-17000000,None,-88000000,7000000,-198000000,None,None,None,0,0,0,0,0,0,110000000,69000000,7000000
2016-12-31,USD,392000000,96000000,16000000,676000000,-845000000,1019000000,0,0,1019000000,0,19000000,None,375000000,24300000,98000000,None,None,None,0,0,0,0,-9000000,0,-833000000,1012000000,None
2016-09-30,USD,307000000,-15000000,5000000,307000000,322000000,511000000,0,0,541000000,0,-15000000,None,322000000,0,-219000000,None,None,None,0,0,0,0,0,0,541000000,504000000,7000000
2016-06-30,USD,-312000000,-40000000,40000000,-312000000,-272000000,-135000000,0,0,-55000000,0,-40000000,None,-272000000,0,-217000000,None,None,None,0,0,0,0,0,0,-55000000,-142000000,7000000
2016-03-31,USD,-935000000,-33000000,33000000,-935000000,-902000000,-772000000,0,0,-706000000,0,-33000000,None,-902000000,0,-196000000,None,None,None,0,0,0,0,0,0,-706000000,-779000000,7000000
2015-12-31,USD,376000000,139000000,33000000,238000000,0,588000000,0,0,588000000,0,19000000,None,343000000,22296000,86000000,None,None,None,0,0,0,0,0,0,215000000,581000000,None
2015-09-30,USD,-817000000,34000000,34000000,-817000000,-851000000,-633000000,0,0,-633000000,0,34000000,None,-851000000,0,-218000000,None,None,None,0,0,0,0,0,0,-633000000,-640000000,7000000
2015-06-30,USD,215000000,36000000,36000000,215000000,179000000,512000000,0,0,512000000,0,36000000,None,179000000,0,-333000000,None,None,None,0,0,0,0,0,0,512000000,505000000,7000000
