fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-603000000,0,-603000000,12000000,119000000,45000000,64000000,226000000,88000000,19000000,577000000,None,263000000,-136000000,None,None,None,-3000000,603000000,None,None,None
2020-03-31,USD,-749000000,0,-749000000,9000000,183000000,290000000,243000000,-214000000,240000000,-152000000,307000000,None,269000000,-136000000,None,None,None,23000000,742000000,None,None,None
2019-12-31,USD,-557000000,0,-557000000,38000000,437000000,284000000,-16000000,-46000000,223000000,76000000,349000000,None,266000000,-137000000,0,None,None,-88000000,695000000,None,None,None
2019-09-30,USD,-704000000,0,-704000000,15000000,384000000,213000000,-35000000,-57000000,150000000,-64000000,427000000,None,256000000,-136000000,0,None,None,93000000,708000000,None,None,None
2019-06-30,USD,-926000000,0,-1452000000,-115000000,574000000,558000000,121000000,213000000,110000000,134000000,502000000,None,240000000,-137000000,0,None,None,-61000000,912000000,None,None,None
2019-03-31,USD,-526000000,0,-526000000,10000000,341000000,206000000,121000000,-179000000,217000000,-5000000,315000000,None,236000000,-135000000,0,None,None,41000000,425000000,None,None,None
2018-12-31,USD,173000000,121000000,-531000000,24000000,208000000,60000000,-12000000,17000000,119000000,3000000,474000000,None,210000000,-136000000,-6000000,9000000,-99000000,79000000,614000000,None,None,None
2018-09-30,USD,-14000000,68000000,-427000000,13000000,249000000,76000000,-39000000,-84000000,125000000,-17000000,334000000,None,230000000,-134000000,0,-31000000,-59000000,46000000,422000000,None,None,None
2018-06-30,USD,-16000000,-53000000,-283000000,16000000,-157000000,-91000000,203000000,-113000000,107000000,12000000,386000000,None,218000000,-133000000,0,-28000000,131000000,77000000,352000000,None,None,None
2018-03-31,USD,2000000,-51000000,-323000000,74000000,-134000000,-275000000,-7000000,164000000,244000000,-1000000,597000000,None,206000000,-134000000,0,36000000,-70000000,78000000,399000000,None,None,None
2017-12-31,USD,6000000,81000000,-2341000000,57000000,1175000000,528000000,-109000000,-86000000,381000000,-50000000,1763000000,None,832800000,-535000000,0,12000000,-48000000,502200000,2416000000,None,None,None
2017-09-30,USD,-3000000,63000000,-1667000000,31000000,369000000,283000000,-19000000,-48000000,99000000,-8000000,1322000000,None,0,-401000000,0,33000000,179000000,10000000,1704000000,None,None,None
2017-06-30,USD,-4000000,-18000000,-1045000000,21000000,224000000,66000000,-33000000,-16000000,120000000,7000000,925000000,None,0,-268000000,0,14000000,143000000,4000000,1069000000,None,None,None
2017-03-31,USD,4000000,-146000000,-514000000,6000000,174000000,12000000,-27000000,22000000,239000000,-61000000,441000000,None,0,-134000000,0,11000000,11000000,9000000,525000000,None,None,None
2016-12-31,USD,61000000,184000000,-1527000000,75000000,124000000,-372000000,-90000000,-407000000,207000000,-338000000,1561000000,None,814000000,-401000000,0,46000000,-158000000,404000000,1707000000,None,None,None
2016-09-30,USD,9000000,52000000,-865000000,61000000,-39000000,-596000000,-22000000,-189000000,109000000,-212000000,1216000000,None,0,-267000000,0,59000000,72000000,11000000,1036000000,None,None,None
2016-06-30,USD,-9000000,80000000,-537000000,86000000,-6000000,-402000000,-36000000,-142000000,102000000,-6000000,908000000,None,0,-134000000,0,65000000,85000000,165000000,674000000,None,None,None
2016-03-31,USD,None,None,-201000000,15000000,None,-220000000,None,None,212000000,None,397000000,None,0,0,0,75000000,16000000,9000000,276000000,None,None,None
2015-12-31,USD,56000000,-10000000,-1518000000,52000000,207000000,102000000,-105000000,-159000000,96000000,-53000000,1361000000,None,709000000,-401000000,0,4000000,160000000,264000000,1082000000,None,None,None
2015-09-30,USD,None,None,0,0,None,0,None,None,54000000,None,0,None,0,0,0,0,0,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,11000000,None,None,None,None,None,None,None,None,None,0,None,None,None
