fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1392000000,1237000000,849000000,543000000,422000000,88000000,None,None,70000000,638000000,None,None,155000000,146000000,89000000,-6000000,-87000000,-89000000,None,None,None,-6000000,4000000,None,76000000,88000000,None
2020-03-31,USD,1789000000,1462000000,1045000000,744000000,587000000,240000000,None,None,242000000,582000000,7000000,None,327000000,166000000,76000000,12000000,-82000000,-76000000,None,None,None,12000000,-9000000,None,230000000,240000000,None
2019-12-31,USD,1609000000,1393000000,995000000,614000000,602000000,223000000,None,None,256000000,349000000,1000000,None,216000000,145000000,80000000,40000000,-78000000,-80000000,None,None,None,40000000,120000000,None,216000000,223000000,None
2019-09-30,USD,1487000000,1248000000,867000000,620000000,500000000,150000000,None,None,172000000,368000000,13000000,None,239000000,144000000,72000000,33000000,-73000000,-72000000,None,None,None,33000000,5000000,None,139000000,150000000,None
2019-06-30,USD,1400000000,1193000000,832000000,568000000,450000000,110000000,None,None,134000000,414000000,1000000,None,207000000,139000000,76000000,29000000,-75000000,-76000000,None,None,None,29000000,3000000,None,105000000,110000000,None
2019-03-31,USD,1842000000,1501000000,1116000000,726000000,571000000,217000000,None,None,257000000,298000000,15000000,None,341000000,163000000,78000000,41000000,None,-78000000,None,None,None,41000000,-6000000,None,216000000,217000000,None
2018-12-31,USD,1665000000,1474900000,1068900000,596100000,190100000,119000000,0,0,158000000,299000000,63000000,None,190100000,135000000,-84000000,None,None,None,-39000000,0,0,42000000,-32100000,0,116000000,119000000,None
2018-09-30,USD,1546000000,1312100000,915100000,630900000,233900000,125000000,0,0,163000000,327000000,21000000,None,233900000,150000000,-75000000,None,None,None,0,0,0,29000000,-70900000,0,134000000,125000000,None
2018-06-30,USD,1402000000,1170000000,812000000,590000000,232000000,107000000,0,0,137000000,333000000,21000000,None,232000000,143000000,-70000000,None,None,None,0,0,0,27000000,-95000000,0,110000000,107000000,None
2018-03-31,USD,1865000000,1455800000,1249800000,763200000,409200000,244000000,0,0,310000000,148000000,21000000,None,409200000,151000000,74000000,None,None,None,0,0,0,72000000,-99200000,0,238000000,244000000,None
2017-12-31,USD,1533000000,3766200000,1080900000,2553200000,312800000,282000000,0,0,-9000000,18000000,120000000,None,234800000,453000000,70000000,None,None,None,0,0,0,-291000000,-924400000,0,-78000000,282000000,None
2017-09-30,USD,1341000000,1149400000,912900000,0,1741600000,99000000,0,0,132000000,1000000,0,None,220600000,495000000,71000000,None,None,None,0,1926000000,0,32000000,0,0,1062000000,99000000,None
2017-06-30,USD,1331000000,0,871000000,0,-1420000000,120000000,0,0,164000000,-38000000,0,None,252000000,-582000000,68000000,None,None,None,0,-1926000000,0,44000000,0,0,-843000000,120000000,None
2017-03-31,USD,1758000000,0,1131000000,0,413000000,239000000,0,0,342000000,13000000,0,None,427000000,197000000,71000000,None,None,None,0,642000000,0,103000000,0,0,241000000,239000000,None
2016-12-31,USD,1491000000,4824000000,999000000,2526000000,1998000000,207000000,0,0,257000000,39000000,120000000,None,306000000,964000000,56000000,None,None,None,0,642000000,0,50000000,-185000000,0,827000000,207000000,None
2016-09-30,USD,1418000000,0,995000000,0,-1146000000,109000000,0,0,162000000,-39000000,0,None,217000000,-649000000,60000000,None,None,None,0,0,0,53000000,0,0,-297000000,109000000,None
2016-06-30,USD,1439000000,0,903000000,0,342000000,102000000,0,0,274000000,13000000,0,None,322000000,213000000,68000000,None,None,None,0,0,0,172000000,0,0,102000000,102000000,None
2016-03-31,USD,1670000000,0,1113000000,0,0,212000000,0,0,316000000,0,0,None,349000000,0,84000000,None,None,None,0,0,0,104000000,0,0,0,212000000,None
2015-12-31,USD,1153000000,3842000000,896500000,1587000000,525000000,96000000,0,0,27000000,13000000,120000000,None,78500000,367000000,76000000,None,None,None,0,12000000,0,-27000000,-223000000,0,273000000,96000000,None
2015-09-30,USD,1048000000,0,713000000,0,0,54000000,0,0,110000000,0,0,None,173000000,0,64000000,None,None,None,0,0,0,56000000,0,0,0,54000000,None
2015-06-30,USD,939000000,0,646000000,0,0,11000000,0,0,16000000,0,0,None,103000000,0,66000000,None,None,None,0,0,0,5000000,0,0,0,11000000,None
