fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,181853000,143856000,112382000,69471000,94782000,-12064000,None,None,-9253000,41171000,32087000,None,37997000,-613000,59593000,2811000,1132000,-47250000,None,None,None,2811000,None,None,-12064000,-11934000,None
2020-03-31,USD,156130000,130608000,97908000,58222000,-25232000,-55154000,None,None,-77047000,41355000,33265000,None,25522000,-8641000,17166000,-22606000,2249000,1119000,None,None,None,-22606000,-103688000,None,-54441000,-55154000,None
2019-12-31,USD,279225000,252997000,201187000,78038000,95683000,9635000,None,None,25227000,40614000,-17673000,None,26228000,37650000,15979000,15605000,2121000,14680000,None,None,None,15605000,-15681000,None,9622000,9635000,None
2019-09-30,USD,220312000,180234000,156061000,64251000,127111000,-30245000,None,None,-43281000,40773000,33470000,None,40078000,-9297000,106452000,-12974000,2525000,-83359000,None,None,None,-12974000,-75509000,None,-30307000,-30245000,None
2019-06-30,USD,227786000,195082000,144915000,82871000,123239000,22991000,None,None,38734000,45733000,43916000,None,32704000,6251000,20032000,15472000,1832000,6030000,None,None,None,15472000,34330000,None,23262000,22991000,None
2019-03-31,USD,161171000,135833000,123938000,37233000,52639000,-3153000,None,None,482000,45365000,30284000,None,24137000,8028000,2078000,2717000,-40757000,4592000,None,None,None,2717000,-28092000,None,-2235000,-3153000,None
2018-12-31,USD,243009000,246270000,182426000,60583000,-3261000,-4770000,0,0,-2128000,44509000,31221000,None,-3261000,32623000,-15254000,2127000,None,None,0,0,0,2127000,1133000,0,-4255000,-4770000,None
2018-09-30,USD,178744000,120974000,127750000,50994000,57770000,4478000,0,0,13769000,43831000,31116000,None,57770000,-37892000,-72653000,None,None,None,0,0,0,10273000,-44001000,0,3496000,4478000,None
2018-06-30,USD,215919000,143845000,156508000,59411000,72074000,-31231000,0,0,-48134000,4773000,38030000,None,72074000,-50693000,-141472000,None,None,None,0,0,0,-17128000,-120208000,0,-31006000,-31231000,None
2018-03-31,USD,155567000,120305000,111942000,43625000,35262000,6901000,0,0,12236000,6576000,22545000,None,35262000,-14182000,-13630000,None,None,None,0,0,0,3704000,-23026000,0,8532000,6901000,None
2017-12-31,USD,275569000,770465000,146479000,166487000,87042000,4288000,0,0,-565000,651000,41504000,None,45965000,-29226000,13832000,None,None,None,0,0,0,-8774000,-87607000,0,8209000,4288000,None
2017-09-30,USD,262988000,264922000,149931000,131891000,80492000,-4260000,0,0,-1436000,52000,42007000,None,17830000,14546000,14915000,None,None,None,0,0,0,236000,-50713000,0,17640000,-4260000,None
2017-06-30,USD,228530000,-356996000,151163000,-107305000,-78838000,5114000,0,0,7682000,98000,33844000,None,5006000,26238000,13877000,None,None,None,0,0,0,2470000,45527000,0,-20067000,5114000,None
2017-03-31,USD,166091000,140551000,106720000,35827000,25540000,4991000,0,0,9778000,976000,28403000,None,13319000,-12276000,15507000,None,None,None,0,0,0,3811000,-15762000,0,5967000,4991000,None
2016-12-31,USD,332088000,746873000,190234000,261386000,16919000,11831000,0,0,18416000,99000,43464000,None,53259000,47637000,14945000,None,None,None,0,0,0,6486000,-144726000,0,3739000,11831000,None
2016-09-30,USD,246443000,114510000,132503000,92169000,187933000,6593000,0,0,5092000,214000,36003000,None,37473000,0,13228000,None,None,None,0,0,0,-3980000,0,0,0,6593000,None
2016-06-30,USD,169220000,-268000000,58460000,-73000000,-51000000,-25600000,0,0,-5103000,235000,26102000,None,56295000,0,20087000,None,None,None,0,0,0,2265000,0,0,0,-1600000,None
2016-03-31,USD,121484000,118000000,58689000,25000000,4000000,1600000,0,0,5103000,1152000,20153000,None,29100000,0,10286000,None,None,None,0,0,0,2351000,0,0,0,1600000,None
2015-12-31,USD,218668000,592190000,137216000,178438000,82124000,-21642000,0,0,-30389000,387000,31890000,None,34231000,8740000,19309000,None,None,None,0,0,0,-9958000,-94429000,0,-4351000,-21642000,None
2015-09-30,USD,170502000,0,89053000,0,0,16049000,0,0,18084000,31000,28723000,None,20774000,0,15994000,None,None,None,0,0,0,2004000,0,0,0,16049000,None
2015-06-30,USD,170926000,0,89839000,0,0,0,0,0,0,-934000,27385000,None,16215000,0,26309000,None,None,None,0,0,0,1174000,0,0,0,0,None
