fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,792851000,207795000,None,None,720943000,71908000,None,None,356000,-292892000,35034000,283537000,14141000,113069000,42732000,None,7110000,-10017000,95105000,192273000,None,-419424000,None,33954000,632846000,35754000,10073000,None,None,None,None,None,None,None,10292000,None,600578000,12512000,None,33538000,678211000,None,None,None,None,None,None,None,None
2020-03-31,USD,750708000,219458000,None,5192000,638166000,112542000,None,None,356000,-250241000,35442000,283273000,10409000,43564000,44208000,None,6071000,-10592000,105082000,132486000,None,-390189000,None,39716000,547844000,39015000,14260000,None,None,None,None,None,None,None,6659000,None,618222000,12857000,547844000,33960000,593958000,None,None,None,373019000,None,43564000,None,36000000
2019-12-31,USD,762378000,230451000,None,5352000,628594000,133784000,None,4151000,355000,-235474000,42145000,287049000,14141000,13162000,56476000,6038000,6038000,-2408000,115141000,115596000,None,-383716000,5332000,61224000,518689000,32875000,15598000,None,None,None,None,None,None,None,9176000,None,646782000,13459000,518689000,40309000,572118000,None,None,None,371311000,None,13162000,None,35000000
2019-09-30,USD,759944000,237795000,None,7346000,632857000,127087000,None,4384000,354000,-236710000,43165000,286203000,6853000,11733000,58348000,6026000,6026000,-4177000,116820000,112274000,None,-396910000,7326000,58149000,519521000,30264000,18510000,None,None,None,None,None,None,None,4438000,None,647671000,13940000,519521000,40970000,574509000,None,None,None,367620000,None,11733000,None,35000000
2019-06-30,USD,761500000,243949000,None,4702000,628402000,132970000,None,3556000,354000,-230042000,43193000,285186000,9063000,17974000,52938000,6036000,6036000,-2904000,115235000,108067000,None,-396165000,4682000,49806000,520313000,30195000,13568000,None,None,None,None,None,None,None,6637000,None,653433000,14001000,520313000,42568000,575464000,None,None,None,365562000,None,17974000,None,35000000
2019-03-31,USD,764756000,250663000,None,3966000,626640000,138116000,None,1874000,354000,-222485000,43908000,288787000,9538000,10369000,51495000,5956000,5956000,-3132000,117392000,98376000,None,-401334000,3946000,50363000,520194000,28440000,18080000,None,None,None,None,None,None,None,7182000,None,666380000,11804000,521200000,42939000,575038000,None,None,None,363379000,None,10369000,None,35000000
2018-12-31,USD,731342000,196898000,None,78000,595538000,135804000,None,3437000,353000,-222403000,26175000,277263000,14891000,70726000,47439000,5959000,5959000,-3774000,91547000,150743000,None,-338357000,4231000,44704000,521924000,27438000,14821000,None,None,None,None,None,None,None,None,None,None,None,521924000,None,None,None,None,None,361628000,None,70726000,None,34000000
2018-09-30,USD,705510000,204801000,None,78000,559509000,146001000,0,3238000,353000,-212058000,26467000,282731000,13536000,33227000,40834000,6223000,6223000,-2113000,84323000,120119000,None,-341531000,4275000,46082000,492208000,31819000,12094000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36000000
2018-06-30,USD,702591000,214202000,None,78000,563563000,139028000,0,2730000,353000,-216405000,29966000,281553000,14580000,28151000,40485000,6649000,6649000,-3749000,81202000,111054000,None,-356727000,4233000,44518000,493112000,29706000,12395000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35000000
2018-03-31,USD,702037000,222557000,None,78000,555571000,146466000,0,2298000,352000,-211095000,26734000,279941000,17408000,25821000,34972000,7055000,7055000,-866000,80509000,101622000,None,-356032000,3435000,38766000,493865000,29006000,11506000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32000000
