fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,16788000,44718000,9657000,7131000,-8301000,-42639000,4931000,None,-42590000,None,8609000,None,-27930000,-55000,10894000,49000,120000,-10774000,None,None,None,49000,-3886000,None,-42639000,-42639000,None
2020-03-31,USD,54313000,59441000,15201000,39112000,16758000,-14419000,8231000,None,-17812000,None,11640000,None,-5128000,-55000,8342000,-3393000,52000,-8290000,None,None,None,-3393000,-4394000,None,-14419000,-14419000,None
2019-12-31,USD,77786000,69918000,22841000,54945000,32652000,1423000,9163000,None,-142000,None,15442000,None,7868000,-55000,8494000,-1565000,51000,-8443000,None,None,None,-1565000,433000,None,1423000,1423000,None
2019-09-30,USD,79377000,72991000,23649000,55728000,31284000,-5536000,8671000,None,-3593000,None,16861000,None,6386000,-55000,9320000,1926000,42000,-9278000,None,None,None,1926000,-701000,None,-5519000,-5536000,None
2019-06-30,USD,74509000,67478000,20835000,53674000,27263000,-7557000,8379000,None,-7488000,128000,14605000,None,7031000,None,9560000,-52000,31000,-9529000,None,None,None,-52000,-4990000,None,-7436000,-7557000,None
2019-03-31,USD,73042000,63678000,19061000,53981000,25931000,-82000,8125000,None,-5747000,107000,15026000,None,8348000,None,8874000,-5758000,-8835000,-8835000,None,None,None,-5758000,-6276000,None,11000,-82000,None
2018-12-31,USD,72095000,65495000,20957000,51138000,6600000,-10345000,8371000,0,-9775000,107000,16416000,None,6600000,0,-9354000,None,None,None,-600000,0,0,570000,-16375000,0,-10345000,-10345000,None
2018-09-30,USD,75526000,64794000,22603000,52923000,10732000,4347000,7894000,0,809000,107000,15329000,None,10732000,0,-8956000,None,None,None,0,0,0,-3538000,-9923000,0,4347000,4331000,None
2018-06-30,USD,72822000,60793000,19121000,53701000,12029000,-5310000,6855000,0,1717000,107000,15350000,None,12029000,-19349000,-8873000,None,None,None,0,-1610000,0,7027000,-10312000,0,-5310000,-5310000,None
2018-03-31,USD,64856000,61008000,16257000,48599000,3848000,-9538000,8625000,0,-21974000,0,16777000,None,3848000,19349000,-10424000,None,None,None,0,1610000,0,-12436000,-25822000,0,-9538000,-9538000,None
2017-12-31,USD,57661000,237804000,15469000,160366000,17871000,-41016000,7803000,0,-46995000,0,21450000,None,2691000,91150000,13131000,None,None,None,0,7861000,0,-2941000,-65982000,0,-81236000,-81236000,None
2017-09-30,USD,56440000,-90661000,13674000,0,-3139000,16020000,6467000,0,0,0,16209000,None,9626000,-37717000,12666000,None,None,None,0,-5309000,0,1052000,0,0,56240000,56240000,None
2017-06-30,USD,50080000,45825000,11123000,0,4255000,-7724000,6141000,0,0,0,16486000,None,4255000,18216000,14554000,None,None,None,0,1933000,0,1318000,0,0,-20110000,-20110000,None
2017-03-31,USD,47774000,0,11323000,0,0,-12386000,5304000,0,0,0,15585000,None,2415000,0,15160000,None,None,None,0,0,0,2233000,0,0,0,0,None
2016-12-31,USD,42745000,180608000,9102000,133833000,-13802000,-60139000,4829000,0,-84374000,0,14283000,None,-6685000,80181000,15812000,None,None,None,0,3262000,0,1935000,-70572000,0,-81374000,-81374000,None
2016-09-30,USD,41208000,0,7409000,0,0,-2396000,6675000,0,0,0,19645000,None,-2779000,0,14903000,None,None,None,0,0,0,450000,0,0,0,0,None
2016-06-30,USD,42618000,0,10019000,0,0,2227000,9842000,0,0,0,33526000,None,-132000,0,29248000,None,None,None,0,0,0,540000,0,0,0,0,None
2016-03-31,USD,40235000,0,6443000,0,0,-21066000,4663000,0,0,0,12683000,None,-4206000,0,14616000,None,None,None,0,0,0,-2155000,0,0,0,0,None
2015-12-31,USD,40096000,140965000,8229000,98453000,-17673000,-15266000,14376000,0,-74634000,0,53064000,None,-4656000,61662000,41642000,None,None,None,0,11766000,0,-29012000,-56961000,0,-38545000,-38545000,None
2015-09-30,USD,38105000,0,7464000,0,0,-26128000,752000,0,0,0,-1144000,None,2058000,0,2608000,None,None,None,0,0,0,14863000,0,0,0,-2849000,None
2015-06-30,USD,26296000,0,5867000,0,0,2849000,4308000,0,0,0,14948000,None,-15075000,0,12278000,None,None,None,0,0,0,-21940000,0,0,0,2849000,None
