fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-04-30,USD,512964000,4776000,None,69980000,176064000,335149000,320000,109825000,2347000,184633000,2395000,27943000,None,262927000,173106000,None,None,-1362000,22124000,455736000,None,302430000,100617000,22212000,None,None,63281000,None,None,2347000,None,184633000,None,None,2385000,None,57228000,None,None,2638000,2958000,None,None,None,149531000,512964000,363544000,None,15644969
2020-01-31,USD,487540000,5001000,None,56701000,146510000,339249000,None,72685000,2346000,189306000,1840000,27943000,7894000,167363000,144034000,None,None,-1116000,22539000,421755000,None,306305000,160499000,37192000,None,None,71349000,None,None,2346000,None,189306000,None,None,2408000,None,7894000,None,None,3112000,3112000,None,None,None,148713000,487540000,327862000,None,15634969
2019-10-31,USD,472717000,5273000,None,26066000,121299000,349607000,None,58421000,2346000,200401000,1779000,30766000,6229000,252482000,118957000,None,None,-1171000,24549000,405900000,None,313568000,42107000,34880000,None,None,38249000,None,None,2346000,None,200401000,None,None,318000,5911000,66817000,563000,None,1779000,2342000,None,None,None,148031000,472717000,294589000,None,15633302
2019-07-31,USD,419724000,5545000,None,21782000,60655000,359552000,None,1758000,2346000,211167000,1325000,30766000,8330000,170710000,58714000,None,None,-1406000,21946000,353137000,None,323241000,62914000,45989000,None,None,26028000,None,None,2346000,None,211167000,None,None,351000,7979000,66587000,616000,None,1325000,1941000,None,None,None,147445000,419724000,233624000,None,15633302
2019-04-30,USD,433161000,5838000,None,69194000,71671000,361799000,None,6900000,2346000,213921000,None,30766000,1360000,132388000,71026000,549000,549000,-1400000,20850000,373161000,None,325195000,123376000,48203000,645000,None,64126000,None,None,2346000,None,213921000,None,None,1548000,998000,60000000,645000,None,645000,645000,None,None,None,146932000,433161000,255764000,None,15633302
2019-01-31,USD,476648000,6137000,None,83643000,82276000,394568000,None,8349000,2337000,247616000,None,32838000,1547000,164318000,82276000,None,None,-346000,19778000,416348000,None,355593000,132213000,36174000,None,None,73927000,None,None,2337000,None,247616000,None,None,290000,1257000,60300000,None,None,None,0,None,None,None,144961000,476648000,296531000,None,15573869
2018-10-31,USD,500769000,6390000,None,81093000,101264000,399617000,1388000,9778000,2336000,253716000,1388000,34329000,692000,155791000,99876000,None,None,-942000,19866000,439492000,None,358898000,158996000,43612000,0,0,90098000,0,0,2336000,0,253716000,0,None,377000,315000,61277000,None,None,None,1388000,None,None,None,144507000,500769000,314787000,None,15570719
2018-07-31,USD,513803000,6643000,None,45334000,141988000,371795000,2146000,24385000,2336000,225174000,2146000,34329000,736000,165766000,139842000,None,None,150000,18882000,453213000,None,330823000,195976000,46137000,0,0,115457000,0,0,2336000,0,225174000,0,None,394000,342000,60590000,None,None,None,2146000,None,None,None,144135000,513803000,361742000,None,15568719
2018-04-30,USD,525878000,6896000,None,64428000,166773000,359057000,1460000,30463000,2336000,212095000,1460000,34329000,846000,151523000,165313000,None,None,843000,18175000,465632000,None,317832000,214058000,35623000,0,0,134850000,0,0,2336000,0,212095000,0,None,411000,435000,60246000,None,None,None,1460000,None,None,None,143783000,525878000,365581000,None,15567719
2018-01-31,USD,603393000,7149000,None,12409000,245265000,358085000,1279000,143748000,2336000,211112000,1279000,34329000,42343000,122107000,243986000,None,None,1422000,15299000,545751000,None,316607000,311908000,99327000,0,4887000,243986000,0,143215000,2336000,0,211112000,0,None,426000,439000,57642000,None,None,None,1279000,None,None,None,143215000,603393000,434015000,None,15567719
2017-10-31,USD,642301000,7405000,None,6236000,294104000,348186000,1788000,177868000,2333000,204095000,1788000,34913000,43249000,149708000,292316000,None,None,-8000,15257000,583795000,None,305868000,333973000,93878000,0,10197000,292316000,0,0,2333000,0,204095000,0,None,548000,383000,58506000,None,None,None,1788000,None,None,None,141766000,642301000,483681000,None,15548719
2017-07-31,USD,700972000,7663000,None,4766000,355904000,345057000,1206000,223697000,2331000,202413000,1206000,34913000,43524000,153225000,354698000,None,None,131000,14821000,642627000,None,302481000,403925000,80711000,0,8194000,354698000,0,0,2331000,0,202413000,0,None,514000,434000,58345000,None,None,None,1206000,None,None,None,140182000,700972000,557150000,None,15538719
2017-04-30,USD,709926000,7998000,None,4544000,394525000,314340000,9846000,266602000,2323000,175274000,9846000,34913000,51821000,167347000,384679000,None,None,-658000,14434000,643671000,None,271429000,396092000,75688000,0,4357000,384679000,0,0,2323000,0,175274000,0,None,276000,8634000,66255000,None,None,None,9846000,None,None,None,137401000,709926000,563439000,None,15485719
2017-01-31,USD,644247000,8181000,None,6927000,351678000,291632000,954000,248780000,2319000,154649000,1195000,34913000,43186000,167198000,350724000,None,None,-762000,13112000,587949000,None,248538000,355796000,58028000,0,3192000,350724000,0,135426000,2319000,0,154649000,0,None,92000,None,56298000,None,None,None,954000,None,None,None,135426000,644247000,522994000,None,15458219
2016-10-31,USD,558843000,8506000,None,6122000,290533000,265803000,0,199046000,2292000,134298000,None,34913000,45438000,170775000,290533000,None,None,-757000,13435000,499970000,None,222384000,275545000,47528000,0,4642000,290533000,0,0,2292000,0,134298000,0,None,39000,1980000,58873000,None,None,None,None,None,None,None,129970000,558843000,446320000,None,15280000
2016-07-31,USD,481094000,8738000,None,5004000,223699000,256041000,0,163492000,2255000,131485000,None,34780000,44058000,162855000,223699000,None,None,-431000,13122000,423914000,None,212523000,220297000,35758000,0,3052000,223699000,0,0,2255000,0,131485000,0,None,105000,435000,57180000,None,None,None,None,None,None,None,122732000,481094000,383152000,None,15032000
2016-04-30,USD,459266000,9023000,None,5481000,221492000,232545000,3139000,167549000,2229000,111811000,None,36813000,45948000,191430000,218353000,None,None,80000,12184000,401134000,None,186709000,128225000,75998000,0,4077000,218353000,0,0,2229000,0,111811000,0,None,112000,None,58132000,None,None,None,3139000,None,None,None,118425000,459266000,319655000,None,14858000
2016-01-31,USD,410902000,9344000,None,5368000,189047000,218516000,1335000,141317000,2226000,99581000,224000,37405000,46871000,160909000,187712000,None,None,-565000,12308000,351723000,None,171767000,114098000,71348000,0,4078000,187712000,0,0,2226000,0,99581000,0,None,122000,None,59179000,None,None,None,1335000,None,None,None,117274000,410902000,275007000,None,14836469
2015-10-31,USD,365263000,2105000,None,2978000,153054000,211302000,1631000,116334000,2224000,92853000,None,22525000,24630000,176838000,151423000,None,None,-411000,5177000,335456000,None,186672000,104097000,51543000,0,3565000,151423000,0,0,2224000,0,92853000,-33000,None,None,None,29807000,None,None,None,1631000,None,None,None,116669000,365263000,280935000,None,14826469
