fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-04-30,USD,60000000,-8230000,59316000,60000000,None,-3733000,None,-13600000,-793000,95770000,40187000,23884000,1162000,-3910000,177000,None,14980000,9302000,684000,14862000,None,95770000
2020-01-31,USD,-118000000,9239000,-118750000,-29000000,None,-3844000,None,3945000,-7218000,-84930000,37664000,36199000,1175000,-3907000,63000,None,-2312000,973000,750000,-2704000,None,-84930000
2019-10-31,USD,16735000,60511000,16735000,89000000,None,-3911000,None,-4310000,-6855000,81772000,69065000,53730000,1171000,-3911000,1567000,None,11109000,6062000,3265000,12215000,None,81889000
2019-07-31,USD,58942000,-11016000,58942000,69000000,None,-3908000,None,-1240000,1154000,38322000,-16782000,-9588000,1175000,-3908000,1567000,None,2214000,-5863000,1058000,2214000,None,38252000
2019-04-30,USD,9000000,-10497000,7015000,9000000,None,-2328000,None,3962000,-29913000,-31695000,-36382000,12334000,1128000,-3895000,1567000,None,-12049000,2615000,1985000,-12049000,None,-31695000
2019-01-31,USD,27000000,-16171000,25767000,225000,None,-3839000,-72000,-3423000,-2291000,8712000,-13216000,-3423000,1210000,-3893000,54000,None,7486000,190000,1233000,7269000,None,8712000
2018-10-31,USD,36500000,-25357000,34499000,225000,None,-3931000,-72000,-51675000,32374000,-10006000,-40574000,-51675000,1151000,-3893000,34000,0,2260000,193000,2001000,2740000,None,-10006000
2018-07-31,USD,17500000,-17914000,15826000,225000,None,-3878000,-72000,13016000,16944000,14351000,2403000,13016000,1049000,-3892000,14000,0,-10424000,-850000,1674000,-9842000,None,14351000
2018-04-30,USD,98225000,-745000,94534000,225000,None,-3892000,-72000,-56852000,4842000,29707000,-60935000,-56852000,1024000,-3892000,0,0,-9522000,468000,3691000,-9672000,None,29707000
2018-01-31,USD,21200000,-44929000,20380000,-1500000,None,374000,-1229000,-141022000,7050000,-29300000,-50054000,-5332000,1099000,-15548000,374000,0,-5687000,1304000,820000,-9246000,1699000,-27601000
2017-10-31,USD,70000000,-61606000,68796000,0,None,-15220000,None,-1842000,17229000,-3739000,-57315000,-1842000,984000,-15548000,328000,0,0,1647000,1204000,-13727000,222000,-3517000
2017-07-31,USD,-7700000,-38845000,-8639000,0,None,357000,-1229000,4373000,27318000,-14670000,-6388000,4373000,973000,0,1586000,0,0,1091000,939000,-1298000,548000,-14122000
2017-04-30,USD,-40000000,36668000,-41863000,0,None,867000,-1229000,-1773000,20749000,-32000,40964000,-1773000,755000,0,867000,0,0,993000,1863000,-16428000,181000,149000
2017-01-31,USD,-80000000,59129000,-80330000,-1500000,None,2913000,-2000000,111996000,20781000,-3684000,73733000,764000,1010000,-15260000,4913000,0,9217000,4136000,330000,-12087000,107000,-3577000
2016-10-31,USD,-55000000,64335000,-55869000,0,None,-8489000,None,-439000,19226000,8246000,72604000,-439000,757000,-15260000,6771000,0,21304000,-1095000,869000,-10180000,-326000,7920000
2016-07-31,USD,-92000000,5778000,-93367000,0,None,-3778000,-7581000,415000,23299000,-28164000,68981000,415000,684000,0,3803000,0,31484000,608000,1367000,38197000,-411000,-28575000
2016-04-30,USD,-14000000,34544000,-14245000,0,None,495000,81000,-1408000,14120000,29976000,43726000,-1408000,755000,0,414000,0,0,2428000,245000,-6713000,545000,30521000
2016-01-31,USD,-5067000,4106000,-18804000,-13290000,None,-10406000,-176000,-2751000,9160000,-15929000,13281000,-1301000,583000,-20757000,148000,1972000,-12194000,3206000,447000,-2473000,None,-15929000
2015-10-31,USD,13079000,-30516000,12585000,-326000,None,402000,-268000,None,14359000,-5298000,-18285000,-1231000,305000,10379000,670000,323000,0,1718000,168000,-2920000,None,-5298000
2015-07-31,USD,-60614000,-47396000,-66725000,-4815000,None,636000,70000,None,15834000,-92392000,-26303000,1948000,243000,0,566000,945000,0,587000,1296000,2481000,None,-92392000
2015-04-30,USD,-56386000,-3320000,-57593000,0,None,720000,286000,None,10851000,-59163000,-2290000,-3081000,179000,0,434000,0,7170000,391000,1207000,-7310000,None,-59163000
