fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,176103000,8400000,None,9084000,59724000,71350000,884000,42814000,9482000,57331000,3670000,19622000,6976000,74604000,56054000,None,None,176000,11113000,116942000,None,53158000,None,30494000,None,2760000,13240000,None,None,9482000,35199000,57331000,-2399000,None,19174000,None,852000,14495000,None,2786000,3670000,None,None,None,6760000,176103000,74604000,None,23612924
2020-03-31,USD,154562000,8400000,None,6999000,72163000,71757000,880000,46987000,9482000,58984000,2740000,19622000,7073000,46653000,69423000,None,None,201000,12230000,93408000,None,54377000,None,35869000,None,3887000,22436000,None,None,9482000,None,58984000,-2401000,None,20138000,764000,61154000,15385000,25000,1860000,2740000,None,None,None,5491000,154562000,46653000,None,23609398
2019-12-31,USD,171828000,33539000,None,10758000,65061000,96936000,875000,39633000,9482000,85976000,2492000,19622000,7461000,41905000,62569000,None,None,-229000,14849000,84313000,None,53606000,None,29794000,None,1856000,22936000,None,None,9482000,None,85976000,-2387000,None,18752000,753000,87515000,14090000,31000,1617000,2492000,None,None,None,4094000,171828000,41905000,None,23656891
2019-09-30,USD,163795000,36679000,None,9407000,54793000,98365000,870000,33765000,9482000,88558000,2208000,19622000,7094000,38915000,52585000,None,None,-198000,15290000,72393000,None,52701000,None,23117000,None,954000,18820000,None,None,9482000,None,88558000,-2386000,None,19133000,678000,91402000,14861000,28000,1338000,2208000,None,None,None,2909000,163795000,38915000,None,23658529
2019-06-30,USD,167448000,39819000,None,9043000,55953000,99923000,866000,35611000,9482000,91476000,2197000,19622000,6112000,37233000,53756000,4202000,4202000,-354000,15067000,73449000,None,52054000,None,25690000,11539000,1483000,13943000,None,None,9482000,None,91476000,-2379000,None,6112000,None,80620000,15796000,33000,1331000,2197000,None,None,None,1698000,167448000,37233000,None,23680171
2019-03-31,USD,163591000,43005000,None,6272000,62969000,100622000,861000,39998000,9482000,93051000,4633000,19622000,6118000,40771000,58301000,22000,None,-259000,15838000,79008000,None,37995000,None,27000000,None,2044000,19610000,None,None,9482000,None,93051000,-2433000,None,6118000,None,84583000,35000,35000,3772000,4668000,None,None,None,781000,163591000,40771000,None,23501193
2018-12-31,USD,167433000,46262000,None,8555000,63328000,104105000,523000,39935000,9482000,96640000,4002000,19622000,5515000,36995000,59286000,48000,None,-234000,15278000,80756000,None,38221000,None,33640000,40000,1566000,19303000,None,None,9482000,None,96640000,-2422000,None,5515000,None,86677000,40000,40000,3479000,4042000,None,None,None,639000,167433000,36995000,None,23535090
2018-09-30,USD,153626000,49620000,None,9785000,46652000,106974000,274000,25789000,9482000,100687000,3906000,19622000,4699000,32904000,42701000,72000,None,-320000,16355000,63330000,None,37732000,0,18963000,45000,1678000,16840000,0,0,9482000,0,100687000,-2424000,None,4699000,None,90296000,45000,45000,3632000,3951000,None,None,None,-451000,153626000,32904000,None,23530629
2018-06-30,USD,162228000,52979000,None,10694000,52479000,109749000,251000,30781000,9482000,104479000,3977000,19622000,4673000,35076000,48451000,96000,147000,-263000,17113000,67841000,None,37148000,0,20306000,51000,1765000,17574000,0,0,9482000,0,104479000,-2425000,None,4673000,None,94387000,51000,51000,3726000,4028000,None,None,None,-1524000,162228000,35076000,None,23526906
2018-03-31,USD,157207000,53665000,None,5593000,48776000,108431000,227000,26820000,9482000,103601000,4138000,19622000,2484000,39943000,44581000,120000,177000,-255000,17512000,63924000,None,35144000,0,16389000,57000,1999000,17641000,0,0,9482000,0,103601000,-2486000,None,2484000,None,93283000,57000,57000,3911000,4195000,None,None,None,-1911000,157207000,39943000,None,23324679
2017-12-31,USD,155918000,54582000,None,6849000,47704000,108214000,2105000,23433000,9482000,103812000,3985000,19622000,76817000,37615000,41564000,113000,163000,-199000,17760000,61341000,None,34010000,0,14746000,50000,2131000,18018000,0,0,9482000,0,103812000,-2463000,None,2613000,None,94577000,50000,50000,3985000,6140000,None,None,None,-2418000,155918000,37615000,None,23402512
2017-09-30,USD,155697000,55692000,None,5428000,46269000,109428000,3349000,22172000,9482000,105745000,3925000,19622000,77838000,38532000,38918000,116000,193000,-182000,16858000,61001000,None,34114000,0,14742000,77000,2299000,16630000,0,0,9482000,0,105745000,-2488000,None,2524000,None,94696000,77000,77000,3925000,7351000,None,None,None,-3129000,155697000,38532000,None,23318471
2017-06-30,USD,164245000,55961000,None,5240000,52330000,111915000,3287000,26944000,9482000,108993000,3922000,19622000,78090000,43408000,45031000,116000,206000,-160000,16862000,69293000,None,36332000,0,18730000,90000,1915000,17971000,0,0,9482000,0,108993000,-2472000,None,2507000,None,94952000,90000,90000,3922000,7299000,None,None,None,-3928000,164245000,43408000,None,23366461
2017-03-31,USD,167305000,55529000,None,6456000,53636000,113669000,3181000,29183000,9482000,112692000,4002000,19600000,77785000,49255000,46337000,121000,237000,-204000,16000000,73520000,None,38540000,0,15598000,116000,2211000,17033000,0,0,9482000,0,112692000,-2519000,None,2634000,None,93763000,116000,116000,4002000,7299000,None,None,None,-5782000,167305000,49255000,None,23210682
2016-12-31,USD,171705000,57079000,None,8593000,53999000,117706000,3180000,27243000,9482000,117979000,4076000,19622000,79178000,52713000,46607000,119000,119000,-189000,13829000,78698000,None,41005000,0,15308000,136000,2084000,19245000,0,0,9482000,0,117979000,-2521000,None,2477000,None,93007000,136000,136000,4076000,7392000,None,None,None,-7045000,171705000,52713000,None,23207376
2016-09-30,USD,171365000,56022000,None,8992000,51858000,119507000,3184000,25412000,9482000,119532000,4182000,19622000,78287000,51629000,44327000,120000,120000,-184000,14001000,79077000,None,43863000,0,16139000,165000,2317000,18795000,0,0,9482000,0,119716000,-2537000,None,2643000,None,92288000,165000,165000,4182000,7531000,None,None,None,-6970000,171365000,51629000,None,23000000
2016-06-30,USD,175126000,54818000,None,8930000,53657000,121469000,3139000,28781000,9482000,122116000,4230000,19622000,77316000,55312000,46094000,122000,122000,-185000,13976000,83834000,None,47029000,0,17312000,194000,2280000,17191000,0,0,9482000,0,122116000,-2601000,None,2876000,None,91292000,194000,194000,4230000,7563000,None,None,None,-7343000,175126000,55312000,None,22939102
2016-03-31,USD,185157000,52791000,None,10184000,115784000,123473000,3075000,87341000,9482000,124413000,4294000,19622000,75459000,60608000,108200000,118000,333000,-177000,14197000,95501000,None,-3040000,0,22017000,215000,2692000,20741000,0,0,9482000,0,124413000,-2600000,None,3046000,None,89656000,215000,215000,4294000,7584000,None,None,None,-7645000,185157000,60608000,None,22942586
2015-12-31,USD,183877000,50251000,None,6587000,59653000,124224000,3049000,29371000,9482000,125951000,4563000,19622000,74543000,65652000,52016000,136000,None,-178000,13857000,95477000,None,54351000,0,20907000,25000,2331000,22509000,0,0,9482000,0,125951000,-2598000,None,4670000,None,88400000,25000,25000,4563000,7637000,None,None,None,-8433000,183877000,65652000,None,22949056
2015-09-30,USD,169235000,47394000,None,3706000,44247000,124988000,3129000,18109000,9482000,127624000,4290000,19622000,71398000,62101000,36797000,139000,None,-170000,13777000,84060000,None,57972000,0,17034000,31000,1219000,18549000,0,0,9482000,0,127624000,-2599000,None,4382000,None,85175000,31000,31000,4290000,7450000,None,None,None,-9349000,169235000,62101000,None,22944100
2015-06-30,USD,170640000,45102000,None,3669000,46247000,124393000,3093000,22501000,9482000,127993000,3577000,19622000,68905000,66034000,39538000,141000,None,-161000,12267000,89468000,None,59669000,0,19242000,39000,523000,16896000,0,0,9482000,0,127993000,-2605000,None,4181000,None,81172000,39000,39000,3577000,6709000,None,None,None,-10316000,170640000,66034000,None,22924212
