fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-245000,0,-245000,-2000,-6000,33123000,-934000,-6938000,-517000,27949000,-4929000,-6938000,1184000,None,34063000,None,None,1342000,243000,None,None,27949000
2020-03-31,USD,-412000,7768000,-412000,-1000,-6000,-45000,-39000,29000,-26992000,4845000,5302000,9075000,1441000,None,-39000,-1830000,None,24814000,411000,-8974000,None,4845000
2019-12-31,USD,-1093000,0,-1093000,-24000,-6000,-6000,None,811000,-2582000,2940000,4039000,3895000,1462000,None,0,None,None,1264000,1069000,None,None,2940000
2019-09-30,USD,-1369000,0,-1369000,-24000,-10000,-37000,-27000,433000,-2918000,1741000,3147000,5206000,1321000,None,-27000,None,None,1113000,1369000,None,None,1765000
2019-06-30,USD,-573000,0,-573000,-2000,-2000,-1028000,-1026000,-4876000,-1575000,-3514000,-1913000,-3276000,891000,None,-1026000,None,None,472000,571000,None,-24000,-3538000
2019-03-31,USD,-1708000,5798000,-1708000,-2000,-30000,-65000,-35000,7973000,-3589000,3749000,5522000,37000,-1321000,None,-35000,-50000,-5874000,1257000,1708000,-7536000,27000,3776000
2018-12-31,USD,None,0,-302000,-25000,-31000,-86000,-55000,2817000,-4047000,4079000,4467000,6540000,1326000,None,-612000,-50000,-5874000,1276000,277000,None,12000,4091000
2018-09-30,USD,None,0,-646000,-57000,-29000,-91000,-62000,-3471000,-3792000,-2122000,-1385000,808000,1350000,0,0,-50000,-5874000,1111000,589000,None,-50000,-2172000
2018-06-30,USD,None,0,-2878000,-2134000,-30000,-525000,-495000,-3978000,-1736000,-4766000,-1363000,6641000,1149000,0,0,-50000,-5874000,357000,744000,None,-101000,-4867000
2018-03-31,USD,None,2920000,-2497000,-1646000,-32000,-13000,19000,-150000,-212000,2266000,4776000,5828000,-682000,0,0,142000,-1622000,-1598000,851000,-1622000,62000,2328000
2017-12-31,USD,None,2217000,-4003000,-1820000,-31000,-702000,-671000,719000,-1932000,-959000,3746000,1657000,1051000,0,0,170000,903000,567000,2183000,16000,42000,-917000
2017-09-30,USD,None,-6128000,-3468000,-2487000,-30000,-284000,-254000,-1370000,-3248000,-4916000,-1164000,2310000,1166000,0,0,-381000,887000,1111000,981000,4006000,40000,-4876000
2017-06-30,USD,None,-693000,-5117000,-2992000,-31000,-296000,-265000,2513000,-2958000,-5897000,-484000,3585000,1096000,0,0,298000,3119000,1307000,2125000,-3119000,50000,-5847000
2017-03-31,USD,None,-8399000,-1363000,595000,-203000,-160000,-1134000,-2369000,-5287000,-3483000,-1960000,12556000,618000,0,0,1073000,6372000,1513000,6357000,13040000,25000,-3458000
2016-12-31,USD,None,-570000,-4405000,-3693000,30000,-30000,None,356000,-1737000,1142000,5577000,-772000,598000,0,0,-226000,6668000,1105000,712000,-806000,-58000,1084000
2016-09-30,USD,None,1692000,-4408000,-3331000,32000,-90000,58000,-293000,-2400000,-3683000,835000,282000,595000,0,0,42000,5862000,103000,1077000,-1162000,-20000,-3683000
2016-06-30,USD,None,-408000,-3689000,-3278000,24000,-567000,346000,702000,-2297000,-5275000,-1019000,-816000,598000,0,0,-413000,4700000,-389000,410000,-4700000,-21000,-5296000
2016-03-31,USD,None,11213000,-3843000,-2680000,-171000,-113000,-870000,572000,-1538000,-5052000,-1096000,-11292000,2837000,0,0,-3747000,3237000,3920000,8462000,7764000,8000,-5044000
2015-12-31,USD,None,2711000,-4938000,-11208000,9000,-9000,None,None,-1673000,3591000,8538000,2888000,568000,0,0,1113000,4527000,-581000,3248000,3871000,-40000,3551000
2015-09-30,USD,-21000,-567000,-5427000,3292000,10000,-33000,23000,None,-369000,-3819000,1641000,41000,541000,0,0,704000,8398000,-16000,843000,-2153000,-114000,-3933000
2015-06-30,USD,None,-6543000,-6805000,-5572000,10000,-422000,412000,None,-185000,-9092000,-1865000,-160000,518000,0,0,-121000,6245000,-46000,1212000,-6245000,59000,-9033000
