fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,130606000,191000,None,30612000,80035000,50571000,None,58668000,233000,-398752000,25977000,None,3649000,42310000,31007000,None,None,-31856000,15181000,89714000,None,50571000,None,39443000,None,3060000,21367000,None,None,233000,None,-398752000,-13443000,None,3627000,None,15181000,25207000,None,4372000,49028000,None,None,None,494389000,130606000,42310000,None,None
2020-03-31,USD,136452000,255000,None,31987000,81830000,54622000,None,60973000,233000,-394482000,27347000,None,26067000,43934000,30789000,None,None,-32075000,16841000,70806000,None,54622000,None,41013000,None,2677000,20857000,None,None,233000,None,-394482000,-13443000,None,3631000,None,16841000,23694000,None,4351000,51041000,None,None,None,494389000,136452000,43934000,None,None
2019-12-31,USD,141045000,319000,None,26854000,83308000,57737000,None,59604000,233000,-391148000,28650000,None,26098000,48626000,31538000,None,None,-32294000,18453000,74804000,None,57737000,None,44539000,None,2573000,23704000,None,None,233000,None,-391148000,-13443000,None,3648000,None,18453000,23120000,None,4264000,51770000,None,None,None,494389000,141045000,48626000,None,22000000
2019-09-30,USD,145620000,458000,None,28047000,90113000,55507000,None,65313000,233000,-388342000,34529000,None,25578000,53249000,31986000,None,None,-37453000,19237000,78228000,None,55507000,None,42473000,None,2614000,24800000,None,None,233000,None,-388342000,-13320000,None,3178000,None,19237000,23598000,None,3917000,58127000,None,None,None,494389000,145620000,53249000,None,21000000
2019-06-30,USD,154231000,3384000,None,30221000,92878000,61353000,None,67738000,233000,-382625000,37756000,15566000,3675000,52017000,31491000,None,None,-37516000,21996000,81747000,None,61353000,None,46543000,None,3454000,25140000,None,None,233000,None,-382625000,-13128000,None,3675000,None,21996000,23631000,None,4679000,59573000,None,None,None,494389000,154231000,52017000,None,22000000
2019-03-31,USD,136251000,3074000,None,30211000,89585000,46666000,None,56021000,233000,-397437000,36855000,13973000,10748000,50301000,28800000,None,None,-37578000,23924000,81186000,None,46666000,None,23580000,23862000,3877000,33564000,None,None,233000,None,-397437000,-12941000,None,4028000,4358000,28282000,23862000,None,4696000,60717000,None,None,None,494389000,136251000,50301000,None,22000000
2018-12-31,USD,122560000,3274000,None,6416000,71762000,50798000,None,33054000,233000,-393582000,40099000,13973000,8601000,55313000,31663000,None,None,-37641000,26261000,87394000,None,50798000,None,27086000,None,3912000,38708000,None,None,233000,None,-393582000,-12601000,None,None,3572000,29833000,None,None,None,None,None,None,None,494389000,122560000,55313000,None,22000000
2018-09-30,USD,145686000,3474000,None,25167000,58645000,87041000,0,20911000,233000,-372217000,28444000,13973000,10802000,58471000,30201000,None,None,-24459000,27294000,90143000,None,87041000,0,23882000,0,4193000,37734000,0,495842000,233000,0,-372217000,-12358000,None,None,6679000,33973000,None,None,None,None,None,None,None,495842000,145686000,58471000,None,22000000
2018-06-30,USD,150634000,3673000,None,29250000,60837000,89797000,0,22013000,233000,-369400000,28925000,13973000,11362000,56751000,31912000,None,None,-24617000,29239000,92387000,None,89797000,0,24242000,0,4101000,38824000,0,495708000,233000,0,-369400000,-12127000,None,None,7051000,36290000,None,None,None,None,None,None,None,495708000,150634000,56751000,None,22000000
2018-03-31,USD,153833000,3873000,None,33291000,61709000,92124000,0,23116000,233000,-367083000,29054000,13973000,11549000,53975000,32655000,None,None,-24774000,30541000,93897000,None,92124000,0,25025000,0,4027000,38593000,0,495605000,233000,0,-367083000,-11857000,None,None,6974000,37515000,None,None,None,None,None,None,None,495605000,153833000,53975000,None,22000000
