fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-142000,1317000,-142000,None,None,-1713000,None,1407000,-3414000,-1624000,231000,49000,1866000,-1713000,0,316000,1165000,-752000,142000,1165000,None,-1624000
2020-03-31,USD,-385000,-3165000,-385000,5000,None,-1713000,None,-2052000,-1621000,-4692000,-2594000,-2005000,1829000,-1713000,0,-4189000,3199000,-831000,390000,3199000,None,-4692000
2019-12-31,USD,-1208000,-701000,-1208000,2241000,None,-1835000,None,-1406000,-1096000,-4623000,-1580000,-2632000,2114000,-1712000,-123000,347000,-1664000,2399000,1208000,-1664000,None,-4623000
2019-09-30,USD,-681000,-716000,-681000,69000,None,-1909000,-1717000,-25000,-4005000,1232000,3822000,1943000,2429000,-1717000,-192000,1178000,3270000,901000,750000,3270000,None,1232000
2019-06-30,USD,1895000,2525000,1895000,2172000,None,-1908000,-1717000,2437000,16528000,1716000,1729000,966000,2473000,-1721000,-187000,982000,-186000,-20577000,277000,-186000,None,1716000
2019-03-31,USD,-180000,-3686000,-180000,None,None,-2066000,-1717000,-1510000,-2135000,-5012000,-2766000,-308000,2462000,-1726000,-340000,-1309000,2105000,-1204000,180000,2105000,None,-5012000
2018-12-31,USD,None,979000,-1312000,None,None,-2017000,-1717000,449000,-19637000,-3158000,171000,-44000,2580000,-1780000,-237000,1889000,-3186000,19479000,1312000,-3186000,None,-3158000
2018-09-30,USD,None,-1027000,-647000,0,None,-2015000,-1721000,-219000,-1036000,1720000,4382000,1189000,2713000,-1784000,-231000,3792000,172000,2371000,647000,172000,None,1720000
2018-06-30,USD,None,372000,-1390000,0,None,-2052000,None,1827000,-534000,2776000,6218000,4031000,2735000,-1782000,-270000,3767000,519000,-905000,1390000,519000,None,2776000
2018-03-31,USD,None,-1550000,-2307000,0,None,-2325000,None,1225000,-4014000,-3685000,947000,-706000,2673000,-1770000,-555000,-1478000,6290000,-1746000,2307000,6290000,None,-3685000
2017-12-31,USD,-18000,886000,8880000,13048000,None,-4870000,-9410000,1241000,12816000,7705000,3695000,14992000,2775000,4430000,-9300000,-3966000,2374000,-26948000,4168000,-826000,None,7705000
2017-09-30,USD,-18000,-15000,5186000,8252000,None,-1775000,None,-141000,2580000,-14901000,-18312000,-14761000,2807000,-1775000,0,0,3200000,-6969000,3048000,-1954000,None,-14901000
2017-06-30,USD,-18000,-3455000,-3937000,0,None,-1897000,-122000,1413000,-805000,-4349000,1485000,820000,2926000,-1775000,0,0,5154000,435000,3937000,1564000,None,-4349000
2017-03-31,USD,-18000,1323000,-852000,0,None,-11051000,-57000,-133000,-4430000,-10866000,1037000,-2821000,2706000,-1763000,-9231000,0,3590000,669000,852000,3590000,None,-10866000
2016-12-31,USD,-250000,-2135000,2629000,5308000,None,-1836000,-72000,154000,-18809000,1730000,937000,-290000,3214000,-1764000,0,528000,2388000,16569000,2429000,2388000,None,1730000
2016-09-30,USD,-250000,411000,-666000,328000,None,-1833000,-71000,409000,-452000,-4043000,-1544000,-4092000,2713000,-1762000,0,0,0,287000,994000,None,None,-4043000
2016-06-30,USD,-250000,2967000,-1079000,0,None,931000,2566000,4063000,674000,7728000,7876000,4604000,2834000,-1758000,123000,0,0,-236000,1079000,None,None,7728000
2016-03-31,USD,None,None,-2095000,0,None,-1976000,-264000,None,-593000,-3724000,347000,-2286000,2858000,-1745000,33000,0,0,368000,2095000,None,None,-3724000
2015-12-31,USD,1046000,-12570000,-3070000,-1090000,None,-2296000,557000,-11548000,-13853000,-1301000,4065000,22544000,3062000,-1750000,-546000,-144000,2894000,1988000,3026000,2894000,None,-1301000
2015-09-30,USD,None,None,-1972000,-100000,None,-2400000,546000,None,-4019000,-4380000,-8000,-2819000,3141000,-1758000,-642000,0,0,3689000,1872000,None,None,-4380000
2015-06-30,USD,None,None,5472000,6976000,None,-2561000,546000,None,-692000,2619000,-292000,-1930000,3248000,-1769000,-792000,0,0,-918000,1504000,None,None,2619000
