fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1643000,7083000,66822000,85427000,-60277000,-73946000,-33000,17293000,12309000,22323000,29447000,6144000,10554000,-18176000,4507000,None,None,-2234000,16962000,-4409000,None,22323000
2020-03-31,USD,-18546000,-4151000,-49170000,-7732000,54630000,38072000,-534000,-858000,9135000,9209000,20307000,8802000,10700000,-17373000,1349000,None,None,3045000,22892000,-7224000,None,9209000
2019-12-31,USD,-7299000,745000,-39169000,-5883000,5836000,12940000,-25000,21682000,7855000,-4027000,22202000,8786000,10664000,-17967000,25096000,None,-22733000,-19000,25987000,-5829000,None,-4027000
2019-09-30,USD,-9284000,0,-9284000,-4589000,-4939000,13514000,-58000,2316000,8313000,21645000,17415000,-6537000,10486000,-15534000,34045000,None,-7173000,-5221000,31779000,421000,None,21645000
2019-06-30,USD,-166807000,-2702000,-166807000,-107847000,107833000,161776000,-2344000,-7489000,4566000,7002000,12033000,3024000,9132000,-14556000,68499000,None,291000,771000,34383000,-4353000,None,7002000
2019-03-31,USD,-12140000,-139000,-79803000,-26367000,42217000,58632000,-344000,3031000,6514000,-5092000,16079000,3708000,8012000,-13447000,30206000,None,-3688000,1170000,41296000,-3186000,None,-5092000
2018-12-31,USD,-55129000,-322000,-57005000,29732000,39280000,31518000,-2661000,-1941000,4895000,3403000,28890000,9676000,9225000,-13347000,8246000,None,11386000,-1460000,31608000,6876000,None,3403000
2018-09-30,USD,-9436000,4004000,-80440000,-26562000,72398000,69733000,-1097000,4422000,5669000,5230000,15937000,1402000,8064000,-13213000,10548000,0,-3942000,-659000,44442000,-2543000,None,5230000
2018-06-30,USD,-5358000,13037000,-33369000,3292000,-9434000,24149000,-343000,-6320000,5945000,-3888000,5332000,-12450000,6913000,-12529000,46455000,0,-3643000,-27000,31303000,-8086000,None,-3888000
2018-03-31,USD,-9263000,-15010000,-69749000,-34048000,72024000,60211000,-206000,-13239000,6983000,-3610000,5928000,4360000,7043000,-11808000,-5000,0,3482000,-930000,26438000,3482000,None,-3610000
2017-12-31,USD,-12053000,-8167000,-32941000,-3889000,28267000,11465000,-5155000,-19732000,5768000,-56000,21420000,12127000,6868000,-11876000,229000,0,10502000,-8707000,16999000,13508000,None,-56000
2017-09-30,USD,-6048000,-6682000,-32428000,-12646000,28493000,16850000,-280000,-9433000,10461000,1134000,16712000,-4531000,6785000,-11643000,96044000,0,0,119000,13734000,10560000,None,1134000
2017-06-30,USD,-14850000,-7770000,-23710000,-319000,-57190000,20279000,-4681000,-9655000,4943000,8548000,11979000,1097000,6697000,-10371000,87840000,0,0,370000,8541000,6642000,None,8548000
2017-03-31,USD,-4041000,5013000,-13347000,-2850000,-49000,-6463000,-682000,-12113000,8753000,-11903000,7907000,769000,6703000,-9726000,3312000,0,0,-194000,6456000,-13137000,None,-11903000
2016-12-31,USD,-11833000,5897000,-38780000,-18193000,7868000,15844000,-58000,16204000,5145000,-1948000,20988000,5036000,6667000,-9141000,17175000,0,-9607000,-1235000,8754000,-522000,None,-1948000
2016-09-30,USD,-12311000,18732000,-38292000,-9979000,11675000,22364000,None,-12046000,7946000,3906000,19834000,-3578000,6150000,-8829000,19518000,0,0,-289000,16002000,-9127000,None,3906000
2016-06-30,USD,-33925000,-923000,-38286000,8531000,19559000,31820000,None,-3830000,3131000,1174000,7640000,781000,5866000,-8252000,20513000,0,0,378000,12892000,-1593000,None,1174000
2016-03-31,USD,-9410000,-4756000,-111103000,-81916000,89421000,91616000,None,None,26533000,-8179000,11308000,-23709000,5665000,-7621000,9816000,0,0,2718000,19777000,4857000,None,-8179000
2015-12-31,USD,-9188000,-4088000,4274000,25888000,-39471000,-7938000,-241000,12707000,8443000,11798000,15462000,-16161000,2867000,-6974000,38748000,0,-17337000,12711000,12426000,11690000,None,11798000
2015-09-30,USD,-1323000,9178000,-40483000,-29917000,18932000,15999000,None,None,4337000,-12165000,12319000,1168000,6487000,-6906000,3973000,0,0,136000,9243000,-8987000,None,-12165000
2015-06-30,USD,-2006000,8117000,-11842000,263000,5472000,2010000,None,None,10285000,-4123000,5709000,2000,5904000,-6776000,3314000,0,0,-7110000,10099000,-11489000,None,-4123000
