fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,100089000,17296000,67884000,32205000,15072000,9302000,None,None,12374000,3007000,2988000,280000,14792000,13806000,2587000,65000,4412000,-2815000,None,502000,None,2667000,2554000,None,9707000,8127000,1175000
2020-03-31,USD,89557000,18404000,59258000,30299000,10217000,6992000,None,None,8878000,2143000,3793000,-1678000,11895000,14426000,733000,-257000,7226000,-962000,None,185000,None,-58000,-1863000,None,8936000,5925000,1067000
2019-12-31,USD,81573000,72150000,52602000,81573000,9909000,6290000,None,None,7703000,1565000,-17411000,486000,9423000,89122000,1866000,-152000,6593000,-2206000,None,546000,None,1820000,-60000,None,5883000,5223000,1067000
2019-09-30,USD,69858000,59086000,40550000,29308000,36479000,8313000,None,None,11864000,5510000,2977000,-168000,10772000,41898000,9056000,-199000,5710000,-3346000,None,93000,None,-199000,4438000,None,12063000,9869000,1234000
2019-06-30,USD,57822000,48030000,31601000,26221000,26877000,4566000,None,None,5796000,1260000,2951000,-1929000,9792000,33601000,7603000,-30000,5593000,-2010000,None,57000,None,327000,-1986000,None,5826000,4412000,154000
2019-03-31,USD,47945000,39844000,26139000,47945000,6971000,4884000,None,None,6404000,1630000,13254000,-1130000,8101000,26190000,567000,-110000,-1757000,-567000,None,400000,None,1287000,-1530000,None,5117000,4884000,None
2018-12-31,USD,47690000,38629000,22512000,47690000,7381000,3642000,0,0,5418000,1253000,13507000,-1680000,9061000,23414000,1963000,None,None,None,0,1708000,0,4920000,-1279000,0,498000,3642000,None
2018-09-30,USD,48880000,41551000,28985000,48880000,7681000,4202000,0,0,5549000,1467000,12310000,352000,7329000,29169000,2132000,None,None,None,0,72000,0,1330000,-1783000,0,4219000,4202000,None
2018-06-30,USD,49252000,41394000,29353000,49252000,7901000,4319000,0,0,5779000,1626000,12021000,43000,7858000,29266000,2122000,None,None,None,0,107000,0,-166000,-2177000,0,5945000,4319000,None
2018-03-31,USD,51749000,43974000,31735000,51749000,8858000,5040000,0,0,6717000,1943000,12198000,1083000,7775000,31692000,2141000,None,None,None,0,84000,0,-266000,-1058000,0,6983000,5040000,None
2017-12-31,USD,60297000,53293000,50449000,60297000,15845000,4152000,0,0,5712000,1616000,11757000,8841000,7004000,41305000,2046000,None,None,None,0,231000,0,8822000,-1177000,0,-3110000,4152000,None
2017-09-30,USD,68297000,60317000,58158000,68297000,8141000,7488000,0,0,10490000,2973000,11621000,161000,7980000,48616000,2343000,None,None,None,0,80000,0,29000,0,0,10461000,7488000,None
2017-06-30,USD,83426000,75159000,72112000,83426000,8229000,3471000,0,0,5393000,1472000,11444000,-38000,8267000,63319000,2836000,None,None,None,0,396000,0,450000,0,0,4943000,3471000,None
2017-03-31,USD,90751000,82285000,79252000,90751000,8797000,5936000,0,0,9055000,2817000,11563000,331000,8466000,70671000,3137000,None,None,None,0,51000,0,302000,0,0,8753000,5936000,None
2016-12-31,USD,76991000,69879000,67114000,76991000,8428000,3458000,0,0,5248000,1687000,10900000,1316000,7112000,58731000,3273000,None,None,None,0,248000,0,10953000,16064000,0,-5705000,3458000,None
2016-09-30,USD,63857000,56999000,54498000,63857000,7309000,5212000,0,0,7962000,2734000,10346000,451000,6858000,46159000,3100000,None,None,None,0,494000,0,2750000,0,0,5212000,5212000,None
2016-06-30,USD,57451000,50741000,48080000,57451000,6380000,2034000,0,0,3137000,1097000,9677000,-330000,6710000,40627000,3256000,None,None,None,0,437000,0,1103000,0,0,2034000,2034000,None
2016-03-31,USD,60086000,54087000,50899000,60086000,3686000,17370000,0,0,26751000,9163000,10162000,-2313000,5999000,43186000,3609000,None,None,None,0,739000,0,218000,0,0,26533000,17370000,None
2015-12-31,USD,63080000,56426000,53441000,63080000,-6783000,5328000,0,0,8326000,3115000,-115983000,-13437000,6654000,171506000,3285000,None,None,None,0,903000,0,-7954000,4524000,0,16280000,5328000,None
2015-09-30,USD,75125000,67115000,64954000,75125000,7973000,2688000,0,0,4455000,1649000,60510000,-37000,8010000,6317000,3518000,None,None,None,0,288000,0,1382000,0,0,3073000,2688000,None
2015-06-30,USD,66974000,60349000,57662000,66974000,13639000,6521000,0,0,10281000,3764000,53969000,7014000,6625000,5766000,3358000,None,None,None,0,614000,0,3847000,0,0,6434000,6521000,None
