fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-03-31,USD,16039392,None,None,312002,6623245,9416147,None,2737635,52139,-18148407,None,None,501891,1155099,6623245,None,None,-18148407,3585970,11951531,None,9416147,None,3663219,None,6821211,3885610,None,None,52139,None,None,-20980788,None,4087861,None,501891,None,None,None,0,None,None,None,48493203,16039392,1155099,None,4013537
2019-12-31,USD,15250157,None,None,243361,5504055,9746102,None,None,52139,-17817923,None,None,501891,351583,5504055,985790,985790,-17817923,3706602,11041664,None,9746102,None,2949661,None,7497059,4518265,None,None,52139,None,None,-20980788,None,4208493,None,501891,None,None,None,0,None,None,None,48492674,15250157,351583,None,4013537
2019-09-30,USD,15479086,None,None,283709,4202064,11277022,None,None,52139,-16286439,None,None,501891,302436,4202064,850004,850004,-16286439,3846301,11130894,None,11277022,None,3191703,None,7353046,3352060,None,None,52139,None,None,-20980788,None,4348192,None,501891,None,None,None,0,None,None,None,48492110,15479086,302436,None,4013537
2019-06-30,USD,15453896,None,None,244908,3563544,11890352,None,562905,52139,-15672316,None,None,501891,195454,3563544,None,None,-15672316,4001081,10950924,None,11890352,None,3177467,None,7333095,3563544,None,None,52139,None,None,-20980788,None,4502972,501891,4502972,None,None,None,0,None,None,None,48491317,15453896,195454,None,4013537
2019-03-31,USD,16472139,None,None,290271,4108417,12363722,None,None,52139,-15198150,None,None,520660,135810,4108417,410735,410735,-15198154,4187281,11764195,None,12363722,None,3444669,None,7893445,3697682,None,None,52139,None,None,-20980788,None,4707944,520663,4707944,None,None,None,0,None,None,None,48490525,16472139,135810,None,4013537
2018-12-31,USD,17038589,None,None,222794,5054137,11984452,None,None,52139,-15576633,None,None,520663,333246,5054137,1356667,None,-15576633,4387420,12130506,None,11984452,None,3436997,None,8137469,3697470,None,None,52139,None,None,-20980788,None,None,520663,4908083,None,None,None,None,None,None,None,48489734,17038589,333246,None,4013537
2018-09-30,USD,17111054,0,None,210347,4347949,12763105,0,1940000,52139,-14797206,None,0,520663,800,4347949,377960,None,-14797206,4604046,11986345,None,12763105,0,3223520,0,8551678,3969989,0,0,52139,0,0,-20980788,None,None,520663,5124709,None,None,None,None,None,None,None,48488960,17111054,800,None,4013537
2018-06-30,USD,17321241,0,None,250605,3324301,13996940,0,370885,52139,-13562631,None,0,520663,136112,3324301,None,None,-13562631,4823149,11977429,None,13996940,0,3760171,0,7830541,3324301,0,0,52139,0,0,-20980788,None,None,520663,5343812,None,None,None,None,None,None,None,48488220,17321241,136112,None,4013537
2018-03-31,USD,18277010,0,None,256374,4137604,14139406,0,1815000,52139,-13419427,None,0,547377,266645,4137604,682772,682772,-13419427,5050872,12678761,None,14139406,0,3753187,0,8402555,3454832,0,0,52139,0,0,-20980788,None,None,547377,5598249,None,None,None,None,None,None,None,48487482,18277010,266645,None,4013537
2017-12-31,USD,18769852,0,None,243492,3730148,15039704,0,1650000,52139,-12518390,None,0,547000,800,3730148,None,None,-12518390,5278595,12943880,None,15039704,0,3593400,0,9106188,3730148,0,0,52139,0,0,-20980788,None,None,547377,5825972,None,None,None,None,None,None,None,48486743,18769852,800,None,4013537
2017-09-30,USD,19355776,0,None,332009,3936087,15419689,0,2367000,52139,0,None,0,692000,244250,3936087,None,None,-12137697,5506318,13158009,None,15419689,0,3447837,0,9133913,3936087,0,0,52139,0,0,-20980788,None,7686,683763,6197767,None,None,None,None,None,None,None,48486035,19355776,244250,None,4013537
2017-06-30,USD,19636649,0,None,315678,3450369,16186280,0,2010000,52139,-11370461,None,0,705000,995704,3450369,None,None,-11370461,5734041,13198329,None,16186280,0,3374993,0,8511954,3450369,0,0,52139,0,0,-20980788,None,20516,683763,6438320,None,None,None,None,None,None,None,48485390,19636649,995704,None,4013537
2017-03-31,USD,20562992,0,None,245424,3882968,16680024,0,2404000,52139,0,None,0,1464000,803715,3882968,None,None,-10876072,5967847,13130358,None,16680024,0,3461756,0,8619463,3882968,0,0,52139,0,0,-20980788,None,34402,1430385,7432634,None,None,None,None,None,None,None,48484745,20562992,803715,None,4013537
2016-12-31,USD,20902497,0,None,216078,3819875,17082622,0,2456000,52139,0,None,0,1478000,847193,3819875,None,None,-10472830,6223880,13199943,None,17082622,0,3285723,0,8850949,3819875,0,0,52139,0,0,-20980788,None,48289,1430385,7702554,None,None,None,None,None,None,None,48484101,20902497,847193,None,4013537
2016-09-30,USD,22042202,0,None,408622,4585504,17456698,0,2784000,104279,0,None,0,1492000,1364423,4585504,None,None,-10098131,6487314,14062325,None,17456698,0,3229994,0,9059286,4585504,0,0,104279,0,0,-20980788,None,62178,1430385,7979877,None,None,None,None,None,None,None,48431338,22042202,1364423,None,8027147
2016-06-30,USD,23195681,0,None,255711,4923226,18272455,0,3059000,104279,-9281795,None,0,1506000,1703663,4923226,None,None,-9281795,6747570,14941661,None,18272455,0,4107017,0,8875270,4923226,0,0,104279,0,0,-20980788,None,76065,1430385,8254020,None,None,None,None,None,None,None,48430759,23195681,1703663,None,8027147
2016-03-31,USD,24339131,0,None,316665,5785213,18553918,0,3323000,104279,0,None,0,2056000,1733754,5785213,None,None,-8999752,7023072,15260051,None,18553918,0,4167343,0,9042289,5785213,0,0,104279,0,0,-20980788,None,89952,1966056,9079080,None,None,None,None,None,None,None,48430179,24339131,1733754,None,8027147
2015-12-31,USD,24176146,0,None,352682,4838340,19337806,0,2865000,104279,0,None,0,2026000,1638462,4838340,None,None,-8215286,7316436,14833776,None,19337806,0,3744388,0,9098244,4838340,0,0,104279,0,0,-20980788,None,103839,1922095,9342370,None,None,None,None,None,None,None,48429601,24176146,1638462,None,8027147
2015-09-30,USD,24790973,0,None,421618,4745139,20045834,0,3166000,104279,0,None,0,2040000,1997845,4745139,None,None,-7506522,7542443,15208709,None,20045834,0,3566283,0,9222963,4745139,0,0,104279,0,0,-20980788,None,117727,1922094,9582264,None,None,None,None,None,None,None,48428865,24790973,1997845,None,8027147
2015-06-30,USD,24989467,0,None,328756,4296270,20693197,0,2927000,104279,-6976964,None,0,2021000,2039946,4296270,None,None,-6976964,7821206,15146774,None,20693197,0,3587161,0,9190911,4296270,0,0,104279,0,0,-20980788,None,131615,1889872,9842693,None,None,None,None,None,None,None,48546670,24989467,2039946,None,8027147
2015-03-31,USD,25631923,0,None,400159,4408072,21223851,0,3009000,104279,0,None,0,2109000,1827743,4408072,None,None,-6455870,8129865,15393033,None,21223851,0,3781864,0,9383267,4408072,0,0,104279,0,0,-20980788,None,145501,1963524,10238890,None,None,None,None,None,None,None,48556230,25631923,1827743,None,8027147
