fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-03-31,USD,-18776,2104980,-18776,None,-985790,-985790,None,64960,-330484,803516,1808082,-68641,139408,None,None,675848,-736619,23590,18776,-736619,None,803516
2019-12-31,USD,-2382,1166205,-2382,None,135786,135786,None,881919,-1531484,49147,-84257,34173,142081,None,None,-144013,252655,-3874,2382,252655,None,49147
2019-09-30,USD,-26005,-211484,-26005,None,850004,850004,None,-350734,-614123,106982,-717017,-38901,180785,None,None,-19951,-17136,3793,26005,-17136,None,106982
2019-06-30,USD,None,-134138,-26005,None,-410735,-410735,None,275462,-474162,59644,470379,53483,186200,None,None,560350,259611,19035,26005,259611,None,59644
2019-03-31,USD,None,212,-26005,None,-945932,-945932,None,-86132,378479,-197436,748496,-67477,200139,None,None,244024,-19852,12971,26005,-19852,None,-197436
2018-12-31,USD,None,-272519,-26005,None,978707,978707,None,-138479,-779427,332446,-646261,-12647,216626,None,None,414209,-220289,7786,26005,-220289,None,332446
2018-09-30,USD,None,645688,0,0,377960,377960,None,129505,-1234575,-135312,-513272,32338,219103,0,0,-721137,543585,1726,0,543585,None,-135312
2018-06-30,USD,None,-130531,0,0,-682772,-682772,None,41567,-143204,-130533,552239,15707,227723,0,0,572014,-9928,20458,0,-9928,None,-130533
2018-03-31,USD,None,-275316,0,0,682772,682772,None,151586,-901037,265845,-416927,-15310,227723,0,0,703633,-151159,-5461,0,-151159,None,265845
2017-12-31,USD,None,-205939,0,0,682772,682772,None,-628346,-380693,-243450,-243450,82284,235409,0,0,27725,-139316,137080,0,-139316,None,-243450
2017-09-30,USD,None,485718,0,0,682772,0,None,340983,-767236,-751454,-751454,-17231,240553,0,0,-621959,0,1735,0,-73034,None,-751454
2017-06-30,USD,None,284822,-21048,0,None,0,None,-391203,-494389,191989,191989,-61379,247692,0,0,107509,722000,29781,21000,77953,None,191989
2017-03-31,USD,None,63093,-9551,0,None,0,None,-31924,-403242,-43478,-33927,-31924,279471,0,0,231486,644000,606,9551,-173417,None,-43478
2016-12-31,USD,None,-765629,-2895,0,None,0,None,191650,-374699,-517230,-514335,191650,280218,0,0,208337,817000,249,2895,-54461,None,-517230
2016-09-30,USD,None,-337722,-8602,0,None,0,None,None,-816336,-339240,-330638,-158314,282745,0,0,-184016,871000,11594,8602,871411,None,-339240
2016-06-30,USD,None,-740367,-99300,0,None,0,None,254681,-282043,-30091,-30091,72240,289390,0,0,167019,-522647,414865,99000,48805,None,-30091
2016-03-31,USD,None,902911,0,0,None,0,None,None,-784466,95292,95292,34438,307251,0,0,55955,0,344,99000,-421141,None,95292
2015-12-31,USD,None,93201,-73982,0,None,0,None,None,-708764,-359383,-285401,68686,313876,0,0,124719,0,3162,73982,-180281,None,-359383
2015-09-30,USD,None,421697,-25318,0,None,0,None,None,-529558,-42101,-16783,-102387,317968,0,0,-32052,30000,-122421,25318,29970,None,-42101
2015-06-30,USD,None,-48761,-141166,0,None,0,None,616721,-521094,212203,212203,87997,322547,0,0,192356,76000,7848,141000,171310,None,212203
2015-03-31,USD,None,622667,-55078,0,None,0,None,None,-503291,288890,343968,148540,321437,0,0,236182,0,28294,55078,-509861,None,288890
