fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-03-31,USD,8097215,1890296,6511688,1585527,-304730,-330484,None,None,-330484,None,1890296,39,-304769,None,25754,0,48,-25706,None,None,None,None,-9,None,-330484,-330484,None
2019-12-31,USD,7309785,2859633,5962607,1347178,-1512447,-1531484,None,None,-1531484,None,2859633,8,-1512455,None,19037,0,21,-19016,None,None,None,None,-13,None,-1531484,-1531484,None
2019-09-30,USD,7975637,1867087,6715943,1259694,-607371,-614123,None,None,-614123,None,1867087,22,-607393,None,6752,0,32,-6720,None,None,None,None,-10,None,-614123,-614123,None
2019-06-30,USD,7689599,1837070,6285515,1404084,-433040,-474162,459455,None,-444714,None,1837070,-54,-432986,None,11674,29448,31,-11644,None,None,None,29448,-85,None,-474162,-474162,None
2019-03-31,USD,8316027,1903408,6765552,1550475,397069,378479,459455,None,378479,None,1903408,750002,-352933,None,18590,0,-18540,-18543,None,None,None,None,749955,None,378479,378479,None
2018-12-31,USD,8106998,1967028,6901756,1205242,-761756,-779427,459455,None,-779427,None,1967028,30,-761786,None,17671,None,None,None,None,None,None,0,-17641,None,-779427,-779427,None
2018-09-30,USD,7268897,2105143,6390071,878826,-1226287,-1234575,459455,None,-1234575,None,2105143,30,-1226317,None,8288,None,None,None,None,None,None,0,-8258,None,-1234575,-1234575,None
2018-06-30,USD,8677673,2048154,6725976,1951697,-96416,-143204,472077,0,-106552,0,2048154,41,-96457,0,10136,None,None,None,0,0,0,36652,-10096,0,-143204,-143204,None
2018-03-31,USD,8466825,2120384,7234067,1232758,-887604,-901037,472077,0,-901037,0,2120384,22,-887626,0,13433,None,None,None,0,0,0,-136000,-13411,0,-901037,-901037,None
2017-12-31,USD,8718602,2153050,6809684,1908918,-244307,-380693,472077,0,-244307,0,2153050,-175,-244132,0,-13433,None,None,None,0,0,0,136386,-175,0,-380693,-380693,None
2017-09-30,USD,7896853,2124468,6539784,1357069,-767236,-767236,0,0,-767236,0,2124468,163,-767399,0,0,None,None,None,0,0,0,0,0,0,-767236,-767236,None
2017-06-30,USD,8221468,2026423,6653227,1568241,-457888,-494388,410000,0,-457888,0,2026423,294,-458182,0,-23569,None,None,None,0,0,0,36500,-272,0,-494388,-494388,None
2017-03-31,USD,8581171,2138384,6846148,1735023,-403242,-403242,0,0,-403242,0,2138384,119,-403361,0,0,None,None,None,0,0,0,0,0,0,-403242,-403242,None
2016-12-31,USD,8268978,2068657,6573722,1695256,-374700,-374700,0,0,-374700,0,2068657,-1299,-373401,0,0,None,None,None,0,0,0,0,0,0,-374700,-374700,None
2016-09-30,USD,8440413,2374120,6883243,1557170,-816336,-816336,0,0,-816336,0,2374120,614,-816950,0,0,None,None,None,0,0,0,0,0,0,-816336,-816336,None
2016-06-30,USD,9803069,2091125,7546325,2256744,143294,-282043,464000,0,143294,0,2091125,-22325,165619,0,-23569,None,None,None,0,0,0,425337,-84074,0,-282043,-282043,None
2016-03-31,USD,8840222,2388566,7214133,1626089,-784466,-784466,0,0,-784466,0,2388566,-21989,-762477,0,0,None,None,None,0,0,0,0,0,0,-784466,-784466,None
2015-12-31,USD,8846359,2466359,7067748,1778611,-708764,-708764,0,0,-708764,0,2466359,-21016,-687748,0,0,None,None,None,0,0,0,0,0,0,-708764,-708764,None
2015-09-30,USD,8462837,2333011,6764546,1698291,-653464,-529558,0,0,-653464,0,2333011,-18744,-634720,0,0,None,None,None,0,0,0,-123906,0,0,-529558,-529558,None
2015-06-30,USD,9113667,2109089,7476631,1637036,-504497,-521093,528000,0,-504497,0,2109089,-32444,-472053,0,-23569,None,None,None,0,0,0,16596,-66977,0,-521093,-521093,None
2015-03-31,USD,8503173,2188457,6803879,1699294,-503292,-503292,0,0,-503292,0,2188457,-14129,-489163,0,0,None,None,None,0,0,0,0,0,0,-503292,-503292,None
