fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,785800000,None,None,None,546815000,238985000,None,None,357000,-1845043000,909000,None,71275000,595549000,2138000,None,None,None,None,688580000,70064000,202600000,None,93031000,74229000,None,2138000,None,None,357000,36385000,-1845043000,None,None,27156000,None,97220000,None,74229000,470448000,544677000,None,None,None,2047286000,785800000,595549000,None,None
2020-03-31,USD,2358307000,None,None,None,2125498000,232809000,None,None,368000,-1854498000,753000,None,45436000,767000000,2068000,2036466000,None,None,None,2252522000,61577000,195611000,None,1485522000,86211000,None,2068000,None,None,368000,37198000,-1854498000,None,None,44208000,None,105785000,None,86211000,2037219000,2123430000,None,None,None,2049741000,2358307000,767000000,None,None
2019-12-31,USD,4000114000,None,None,37123000,3672866000,327248000,None,8494000,368000,-1759626000,507000,None,47138000,3821633000,16786000,3581237000,None,None,None,3903495000,46417000,290034000,None,81862000,74336000,None,16786000,None,None,368000,37214000,-1759626000,None,None,50202000,None,96619000,None,74336000,3581744000,3656080000,None,None,None,2049292000,4000114000,3821633000,None,36000000
2019-09-30,USD,4099538000,None,None,43298000,3791361000,308177000,None,8397000,368000,-1777841000,3204000,None,7761000,4025315000,15255000,3697906000,None,None,None,4036999000,675000,270950000,None,11684000,74996000,None,15255000,None,None,368000,37227000,-1777841000,None,None,61864000,None,62539000,None,74996000,3701110000,3776106000,None,None,None,2048423000,4099538000,4025315000,None,37000000
2019-06-30,USD,4063892000,None,None,31247000,3739603000,324289000,None,8392000,366000,-1760933000,3534000,None,3377000,3449290000,14164000,3531539000,None,None,None,4007867000,6243000,287049000,None,558577000,77347000,None,14164000,None,None,366000,37240000,-1760933000,None,None,49782000,None,56025000,None,77347000,3648092000,3725439000,None,None,None,2047616000,4063892000,3449290000,None,37000000
2019-03-31,USD,4673158000,None,None,53446000,4316747000,356411000,None,14190000,366000,-1728523000,4297000,None,3628000,4229902000,20673000,3964127000,None,None,None,4585828000,15248000,319241000,None,355926000,76506000,None,20673000,None,None,366000,37170000,-1728523000,None,None,72082000,None,87330000,None,76506000,4219568000,4296074000,None,None,None,2047398000,4673158000,4229902000,None,33000000
2018-12-31,USD,4099450000,None,None,61052000,3825006000,274444000,None,11736000,305000,-1731982000,2200000,None,521000,4008843000,20114000,None,None,None,None,4022192000,438000,266199000,None,13349000,81063000,None,20114000,None,None,305000,8245000,-1731982000,None,None,76820000,None,77258000,None,81063000,3723829000,3804892000,None,None,None,1997876000,4099450000,4008843000,None,29000000
2018-09-30,USD,4536412000,0,None,73966000,4225722000,310690000,33639000,12723000,303000,-1695032000,35363000,0,570000,4431702000,20629000,None,None,None,0,4446520000,91000,302552000,4399503000,14818000,77479000,0,20629000,0,0,303000,8138000,-1695032000,0,None,89801000,None,89892000,None,77479000,4093975000,4205093000,None,None,None,1997281000,4536412000,4431702000,None,29000000
2018-06-30,USD,4254376000,0,None,61550000,3947909000,306467000,24011000,12265000,282000,-1678131000,25276000,0,666000,4069215000,18406000,3826808000,3826808000,None,0,4166932000,9921000,298460000,4050519000,97717000,74226000,0,18406000,0,0,282000,8007000,-1678131000,0,None,77523000,None,87444000,None,74226000,3831266000,3929503000,None,None,None,1976309000,4254376000,4069215000,None,28000000
2018-03-31,USD,4460519000,0,None,57624000,4141514000,319005000,17518000,17836000,281000,-1664212000,18676000,0,811000,3922312000,22942000,3659333000,3659333000,None,0,4382076000,5024000,311438000,3907093000,459764000,75975000,0,22942000,0,0,281000,7567000,-1664212000,0,None,73419000,None,78443000,None,75975000,4025079000,4118572000,None,None,None,1975369000,4460519000,3922312000,None,28000000
