fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,569388000000,None,None,None,506570000000,62234000000,None,None,4766000000,15847000000,317515000000,None,169142000000,3408000000,None,None,None,9169000000,None,56893000000,352445000000,61749000000,279821000000,53485000000,71281000000,None,None,None,None,4766000000,485000000,15847000000,-49327000000,None,102197000000,None,23297000000,None,71281000000,425257000000,496538000000,None,None,None,81294000000,569388000000,3408000000,None,861433842
2020-03-31,USD,510477000000,None,None,None,448634000000,60173000000,None,None,4766000000,24062000000,305267000000,None,163274000000,2738000000,None,None,None,-994000000,None,54737000000,334648000000,59688000000,261549000000,51999000000,25268000000,None,None,None,None,4766000000,485000000,24062000000,-49334000000,None,95228000000,None,25864000000,None,25268000000,413224000000,438492000000,None,None,None,81188000000,510477000000,2738000000,None,861290608
2019-12-31,USD,525064000000,12076000000,None,43955000000,457637000000,65675000000,430000000,26218000000,4766000000,23084000000,317008000000,4038000000,169265000000,2856000000,106278000000,1536000000,1536000000,4982000000,648000000,51107000000,339949000000,65190000000,264316000000,48251000000,35350000000,None,78328000000,None,None,4766000000,485000000,23084000000,-48987000000,None,109655000000,None,24353000000,None,35350000000,422287000000,457637000000,None,None,None,81345000000,525064000000,2856000000,None,869999031
2019-09-30,USD,525122000000,11000000000,None,43408000000,457677000000,65603000000,None,28184000000,4766000000,22439000000,314348000000,None,169204000000,3361000000,108163000000,96000000,96000000,5615000000,724000000,54630000000,343384000000,65118000000,267334000000,51269000000,35262000000,None,79883000000,None,None,4766000000,485000000,22439000000,-48989000000,None,103054000000,None,24054000000,None,35262000000,422415000000,457677000000,None,None,None,81287000000,525122000000,3361000000,None,869949246
2019-06-30,USD,522269000000,11386000000,None,44032000000,456164000000,64539000000,None,27781000000,4766000000,22077000000,311035000000,None,169235000000,2935000000,110079000000,1241000000,1241000000,4991000000,724000000,56069000000,337287000000,64054000000,260577000000,53134000000,36291000000,None,81057000000,None,None,4766000000,485000000,22077000000,-48991000000,None,104190000000,None,24723000000,None,36291000000,419873000000,456164000000,None,None,None,81211000000,522269000000,2935000000,None,869901511
2019-03-31,USD,512922000000,12128000000,None,44546000000,450829000000,60787000000,None,26896000000,4766000000,21259000000,305661000000,None,14908000000,2565000000,110645000000,1253000000,1253000000,2128000000,724000000,55778000000,327345000000,60302000000,249334000000,53213000000,35776000000,None,82496000000,None,None,4766000000,485000000,21259000000,-48999000000,None,103126000000,None,26673000000,None,35776000000,415053000000,450829000000,None,None,None,81148000000,512922000000,2565000000,None,869736901
2018-12-31,USD,491984000000,13623000000,None,41819000000,434675000000,56361000000,752000000,20486000000,4766000000,20884000000,296010000000,4082000000,156437000000,2873000000,105513000000,1388000000,1388000000,-1413000000,None,52056000000,316598000000,56361000000,9674000000,49183000000,34540000000,None,83639000000,None,None,4766000000,None,20884000000,-49144000000,None,95415000000,None,27915000000,None,34540000000,400135000000,434675000000,None,None,None,81268000000,491984000000,2873000000,None,866609429
2018-09-30,USD,504860000000,12683000000,None,41034000000,445683000000,58586000000,0,22131000000,4766000000,21749000000,306999000000,0,170826000000,2741000000,104435000000,345000000,345000000,-536000000,0,52157000000,318587000000,58586000000,8835000000,49416000000,34594000000,0,81959000000,0,81064000000,4766000000,0,21749000000,-48401000000,None,106345000000,None,27771000000,None,34594000000,411089000000,445683000000,None,None,None,81008000000,504860000000,2741000000,None,884647527
2018-06-30,USD,496829000000,11997000000,None,37910000000,435032000000,61186000000,0,20946000000,4766000000,23318000000,303589000000,0,163044000000,2135000000,98286000000,627000000,627000000,230000000,0,47492000000,322207000000,61186000000,16992000000,45357000000,33784000000,0,76713000000,0,80913000000,4766000000,0,23318000000,-48052000000,None,100380000000,None,26750000000,None,33784000000,401248000000,435032000000,None,None,None,80924000000,496829000000,2135000000,None,891214033
2018-03-31,USD,499143000000,11631000000,None,38176000000,435786000000,62792000000,0,21171000000,4766000000,22671000000,302898000000,0,161175000000,2103000000,100339000000,1070000000,1070000000,2220000000,0,47954000000,324765000000,62792000000,14569000000,45851000000,33619000000,0,78098000000,0,80846000000,4766000000,0,22671000000,-47706000000,None,100235000000,None,26189000000,None,33619000000,402167000000,435786000000,None,None,None,80841000000,499143000000,2103000000,None,897681508
