fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1595000000,None,-2270000000,-675000000,2543000000,1480000000,-780000000,None,-7766000000,549000000,1339000000,None,682000000,-283000000,0,None,None,9105000000,0,None,None,549000000
2020-03-31,USD,677000000,0,-633000000,-1310000000,1089000000,660000000,354000000,-1937000000,1654000000,13000000,-14000000,None,1878000000,-283000000,-500000000,None,None,-1668000000,0,None,None,13000000
2019-12-31,USD,1101000000,0,-682000000,-1783000000,536000000,424000000,174000000,-3306000000,869000000,-397000000,-139000000,None,1173000000,-286000000,0,None,479000000,-9188000000,0,None,None,-397000000
2019-09-30,USD,-905000000,0,-646000000,259000000,-1146000000,737000000,2169000000,-966000000,973000000,574000000,483000000,None,1176000000,-286000000,0,None,-64000000,490000000,0,None,None,574000000
2019-06-30,USD,278000000,0,-2168000000,-2446000000,429000000,2454000000,2311000000,-966000000,1390000000,-10000000,-296000000,None,1358000000,-286000000,0,None,-64000000,1688000000,0,None,None,-10000000
2019-03-31,USD,-132000000,0,-1979000000,-1847000000,860000000,2764000000,1697000000,-4073000000,937000000,-191000000,-976000000,None,1299000000,-278000000,485000000,None,315000000,1913000000,0,None,None,-191000000
2018-12-31,USD,2319000000,0,694000000,-11729000000,-209000000,-539000000,695000000,-970000000,-560000000,254000000,99000000,None,1549000000,-280000000,-745000000,None,-81000000,-655000000,0,None,None,254000000
2018-09-30,USD,1466000000,0,553000000,9191000000,-274000000,-90000000,815000000,-818000000,-1259000000,765000000,302000000,None,1029000000,-283000000,-348000000,0,955000000,-1483000000,0,None,None,765000000
2018-06-30,USD,2828000000,0,502000000,-2326000000,-167000000,-1063000000,-262000000,-1718000000,931000000,37000000,598000000,None,1402000000,-286000000,-348000000,0,-387000000,333000000,0,None,None,37000000
2018-03-31,USD,3161000000,0,-1972000000,-5133000000,1712000000,2486000000,1361000000,-4083000000,949000000,-424000000,-938000000,None,1382000000,-289000000,-298000000,0,400000000,1889000000,0,None,None,-424000000
2017-12-31,USD,19019000000,0,14671000000,-2143000000,-342000000,-5697000000,2092000000,-13633000000,-6084000000,630000000,-7818000000,None,3874000000,-1172000000,0,0,410000000,634000000,0,None,None,None
2017-09-30,USD,-78000000,0,-145000000,-67000000,-961000000,-99000000,1424000000,1015000000,-1713000000,-154000000,90000000,None,0,-287000000,-275000000,0,0,-1801000000,0,None,3000000,-151000000
2017-06-30,USD,1379000000,0,432000000,-947000000,1066000000,-979000000,660000000,1015000000,1118000000,527000000,1074000000,None,0,-290000000,-2415000000,0,0,28000000,0,None,58000000,585000000
2017-03-31,USD,14170000000,446000000,14487000000,317000000,-451000000,-4048000000,295000000,-417000000,1211000000,80000000,-10359000000,None,0,-307000000,-3585000000,0,0,11570000000,0,None,-82000000,-2000000
2016-12-31,USD,6040000000,0,4744000000,1789000000,1872000000,-6833000000,4127000000,-1687000000,-849000000,-131000000,2276000000,None,4090000000,-1372000000,0,0,536000000,1720000000,0,None,None,None
2016-09-30,USD,1041000000,212000000,589000000,-452000000,-22000000,-1107000000,1511000000,-769000000,436000000,664000000,1182000000,None,0,-338000000,-2258000000,0,0,746000000,0,None,50000000,714000000
2016-06-30,USD,528000000,859000000,-649000000,-1177000000,1438000000,-643000000,1031000000,-1546000000,1924000000,247000000,1539000000,None,0,-350000000,-2762000000,0,0,-385000000,0,None,38000000,285000000
2016-03-31,USD,1739000000,-109000000,385000000,-1354000000,2331000000,453000000,1971000000,-1950000000,-203000000,-130000000,-968000000,None,0,-363000000,-3486000000,0,0,-765000000,0,None,None,-130000000
2015-12-31,USD,13550000000,0,8462000000,-52000000,-2938000000,-11429000000,3228000000,-4605000000,2196000000,-129000000,2877000000,None,4629000000,-1028000000,0,0,-70000000,179000000,0,None,None,None
2015-09-30,USD,683000000,None,1394000000,711000000,-967000000,-3498000000,1551000000,None,-197000000,-363000000,1741000000,None,0,-352000000,-3730000000,0,0,1938000000,0,None,-5000000,-368000000
2015-06-30,USD,4485000000,None,4972000000,487000000,-1619000000,-4962000000,-833000000,None,1791000000,115000000,105000000,None,None,-165000000,-2345000000,None,None,-1686000000,0,None,-1000000,114000000
