fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,9396000000,19057000000,None,9396000000,-9661000000,-7928000000,None,None,-9661000000,162000000,2087000000,None,-9661000000,19057000000,365000000,-1896000000,498000000,-365000000,None,None,None,-1896000000,206000000,-1000000,-7765000000,-7936000000,8000000
2020-03-31,USD,14443000000,11885000000,None,14443000000,2558000000,1749000000,None,None,2558000000,-95000000,2153000000,None,2558000000,11885000000,355000000,904000000,513000000,-355000000,None,None,None,904000000,218000000,-1000000,1654000000,1742000000,7000000
2019-12-31,USD,11815000000,10779000000,8172000000,11815000000,1036000000,929000000,None,None,1036000000,-60000000,2157000000,None,1036000000,10779000000,360000000,216000000,519000000,-360000000,49000000,None,None,216000000,261000000,49000000,820000000,922000000,7000000
2019-09-30,USD,12914000000,11654000000,9110000000,12914000000,1260000000,656000000,None,None,1260000000,317000000,2187000000,None,1260000000,11654000000,348000000,287000000,495000000,-348000000,None,None,None,287000000,227000000,49000000,973000000,648000000,8000000
2019-06-30,USD,12561000000,10724000000,8208000000,12561000000,1837000000,1109000000,None,None,1837000000,281000000,2140000000,None,1837000000,10724000000,360000000,446000000,518000000,-360000000,-1000000,None,None,446000000,213000000,-1000000,1391000000,1102000000,7000000
2019-03-31,USD,12456000000,11302000000,8908000000,12456000000,1154000000,654000000,None,None,1154000000,283000000,2053000000,None,1154000000,11302000000,349000000,217000000,-349000000,-349000000,None,None,None,217000000,218000000,-1000000,937000000,654000000,None
2018-12-31,USD,12560000000,13255000000,10471000000,12560000000,-695000000,-622000000,0,0,-695000000,62000000,2237000000,None,-695000000,13255000000,-407000000,None,None,None,-2000000,0,0,-137000000,-617000000,-2000000,-558000000,-622000000,None
2018-09-30,USD,11486000000,13013000000,10363000000,11486000000,-1527000000,-1259000000,0,0,-1527000000,591000000,2199000000,None,-1527000000,13013000000,-326000000,None,None,None,0,0,0,-307000000,-446000000,-39000000,-1220000000,-1259000000,None
2018-06-30,USD,11631000000,10379000000,7777000000,11631000000,1252000000,937000000,0,0,1252000000,-6000000,2123000000,None,1252000000,10379000000,-299000000,None,None,None,0,0,0,321000000,-455000000,-39000000,931000000,937000000,None
2018-03-31,USD,11712000000,10485000000,7941000000,11712000000,1227000000,938000000,0,0,1227000000,11000000,2247000000,None,1227000000,10485000000,-277000000,None,None,None,0,0,0,277000000,-296000000,-1000000,950000000,938000000,None
2017-12-31,USD,12435000000,74383000000,10482000000,11698000000,1239000000,-6084000000,0,0,875000000,511000000,8694000000,None,885000000,92000000,288000000,None,None,None,4000000,0,0,7544000000,-1538000000,-11000000,-7174000000,-6935000000,None
2017-09-30,USD,11751000000,14554000000,13366000000,11751000000,-2803000000,-1739000000,0,0,-2803000000,26000000,0,None,-2803000000,14554000000,290000000,None,None,None,0,0,0,-1091000000,0,-1000000,-1712000000,-1739000000,None
2017-06-30,USD,12502000000,10835000000,9449000000,12502000000,1667000000,1130000000,0,0,1667000000,-12000000,0,None,1667000000,10835000000,292000000,None,None,None,0,0,0,557000000,0,8000000,1110000000,1130000000,None
2017-03-31,USD,12632000000,10905000000,9315000000,12632000000,1727000000,1185000000,0,0,1727000000,26000000,0,None,1727000000,10905000000,298000000,None,None,None,0,0,0,516000000,0,8000000,1211000000,1185000000,None
2016-12-31,USD,13037000000,50958000000,14727000000,10546000000,11345000000,-1311000000,0,0,-811000000,535000000,10295000000,None,-1521000000,92000000,305000000,None,None,None,0,0,0,-119000000,-325000000,149000000,7980000000,-1308000000,None
2016-09-30,USD,12854000000,12117000000,11176000000,12854000000,737000000,462000000,0,0,737000000,-26000000,0,None,737000000,12117000000,329000000,None,None,None,0,0,0,304000000,0,3000000,433000000,462000000,None
2016-06-30,USD,14724000000,11866000000,10601000000,14724000000,2858000000,1913000000,0,0,2858000000,11000000,0,None,2858000000,11866000000,320000000,None,None,None,0,0,0,924000000,0,-10000000,1934000000,1913000000,None
2016-03-31,USD,11779000000,11993000000,10217000000,11779000000,-214000000,-183000000,0,0,-214000000,-20000000,0,None,-214000000,11993000000,306000000,None,None,None,0,0,0,-58000000,0,-47000000,-156000000,-183000000,None
2015-12-31,USD,13716000000,-256846000000,15109000000,17927000000,-66437000000,2196000000,0,0,3281000000,518000000,12178000000,None,5083000000,92000000,304000000,None,None,None,0,0,0,994000000,-2468000000,210000000,-43222000000,-42978000000,None
2015-09-30,USD,12822000000,12937000000,11080000000,12822000000,-115000000,-231000000,0,0,-115000000,34000000,0,None,-115000000,12937000000,321000000,None,None,None,0,0,0,65000000,0,-17000000,-180000000,-231000000,None
2015-06-30,USD,15699000000,13147000000,11304000000,15699000000,2552000000,1800000000,0,0,2552000000,-9000000,0,None,2552000000,13147000000,316000000,None,None,None,0,0,0,777000000,0,16000000,1775000000,1800000000,None
