fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,15843629,756871,None,45898,16729739,832616,None,1399712,2901,-25685348,None,None,1404031,516598,12904731,None,330682,-498074,7597876,6084851,None,75745,None,1887056,52226,1097680,421153,None,None,None,None,None,None,None,None,None,9758778,8057961,None,None,3825008,None,None,None,None,None,None,None,None
2020-03-31,USD,15630718,777621,None,72575,14158361,2803697,None,654810,2901,-23704863,None,None,1616223,833888,11132530,152680,226753,-507478,6630735,6606139,None,2026076,None,2045997,64221,1000675,377091,None,None,None,None,None,None,None,None,None,9024579,6736814,2640320,None,3025831,None,None,None,27013140,None,833890,None,None
2019-12-31,USD,14711042,30191,None,27935,8305311,6369920,None,1034295,2884,-19846811,None,None,2764800,1173521,7842506,212140,211248,-621957,1077102,10867768,None,6368548,None,5188212,41696,1526077,165625,None,None,None,None,None,None,None,133062,None,3843274,630297,41700,None,462805,None,None,None,26835800,None,1173520,None,29000000
2019-09-30,USD,15645331,33409,None,32406,4133232,11506303,None,193569,2869,-14519644,None,None,2886072,2538667,3612181,794130,205775,-763605,1267670,11458180,None,11472894,435853,4562715,72724,2195382,401020,None,None,None,None,None,None,None,4187151,None,4187151,771891,72720,None,521051,None,None,None,26786680,None,2538670,None,28000000
2019-06-30,USD,17854623,315130,None,30916,9074163,8728464,0,4156147,2773,-15609898,0,0,1717588,5438125,8818556,1728750,359841,-486718,812957,15008948,0,8413334,316984,4376438,126375,2536026,585239,0,0,0,0,0,0,0,2845675,0,2845675,320572,126380,0,255607,0,0,0,24822310,0,5438130,0,26000000
2019-03-31,USD,12314140,296090,None,1093470,3938740,8375400,0,1415009,2600,-15031540,0,0,470710,5020510,3753600,1972740,695922,-428770,125890,11399160,0,8079307,294986,2891020,177790,1508240,157382,0,0,0,0,0,0,0,914980,0,914980,0,177790,0,177789,0,0,0,23833110,0,5020510,0,26000000
2018-12-31,USD,14202231,1556920,None,2429827,3899090,10300100,0,95181,2588,-12973371,0,0,416112,9291719,3671105,0,213877,-386524,63930,12165269,0,8743180,228138,88555,227985,0,112152,0,0,0,0,0,0,0,0,0,0,0,227990,0,0,0,0,0,23657410,0,9291720,0,26000000
2018-09-30,USD,12439586,1668129,None,37181,1387985,11051601,0,2514,2588,-12202038,0,0,600000,10066074,1387985,0,0,-360461,29588,10141869,0,9383472,0,38614,0,0,38182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000
2018-06-30,USD,13350709,1771598,None,38577,1451138,11899571,0,4047,2588,-11412033,0,0,1221149,10251687,1451138,0,117334.95,-302496,24374,10333588,0,10127973,0,43324,0,0,90941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000
2018-03-31,USD,17682472.63,2402783.86,None,28099.40,1839601.43,15842871.20,0,17180.47,3183.66,-12894167.79,0,0,1476196.33,13705949.07,1839601.43,45878.07,45878.07,-312167.55,10914.01,13792578.42,0,13440087.34,0,3343.58,0,0,239811.78,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000
