fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,32463000,None,None,105000,969000,31494000,None,None,3000,-154912000,None,None,None,2831000,969000,None,None,None,None,29249000,3214000,31494000,26313000,None,None,None,969000,None,None,3000,None,-154912000,-264000,None,None,None,3214000,None,None,None,0,None,None,None,186667000,32463000,29144000,None,34920219
2020-03-31,USD,21590000,None,None,165000,615000,20975000,None,None,2000,-152599000,None,None,None,252000,615000,None,None,None,None,16558000,5032000,20975000,16141000,None,None,None,615000,None,None,2000,None,-152599000,-264000,None,5032000,None,5032000,None,None,None,0,None,None,None,173836000,21590000,16393000,None,4825549
2019-12-31,USD,11282000,None,None,181000,750000,10532000,None,None,None,-144266000,None,None,None,91000,750000,None,None,None,None,1129000,10153000,10532000,857000,None,None,None,750000,None,None,None,None,-144266000,-264000,None,10153000,None,10153000,None,None,None,0,None,None,None,155062000,11282000,948000,None,4825549
2019-09-30,USD,9433000,None,None,52000,852000,8581000,None,1000,None,-145239000,None,None,None,313000,852000,1000,None,None,None,1303000,8130000,8581000,938000,None,None,None,851000,None,None,None,None,-145239000,-264000,None,8130000,None,8130000,None,None,None,0,None,None,None,154084000,9433000,1251000,None,2593783
2019-06-30,USD,12052000,None,None,106000,845000,11207000,None,8000,None,-141876000,None,None,None,564000,845000,8000,None,None,None,1487000,10565000,11207000,817000,None,None,None,837000,None,None,None,None,-141876000,-264000,None,10565000,None,10565000,None,None,None,0,None,None,None,153347000,12052000,1381000,None,2321088
2019-03-31,USD,11937000,None,None,165000,982000,10955000,None,77000,None,-141232000,None,None,None,446000,982000,135000,None,None,None,1867000,10070000,10955000,1256000,None,None,None,770000,None,None,None,None,-141232000,-264000,None,10070000,None,10070000,None,None,None,0,None,None,None,152451000,11937000,1702000,None,2010025
2018-12-31,USD,13251000,None,None,None,1153000,12098000,None,None,1000,-140083000,None,None,None,17000,1153000,None,None,None,1000,2905000,None,None,None,None,None,None,None,None,None,None,None,None,-264000,None,None,None,None,None,None,None,None,None,None,None,152444000,None,2717000,None,2000000
2018-09-30,USD,7846000,1500000,None,76000,1256000,6590000,None,348000,1000,-145585000,None,None,None,109000,1256000,262000,None,None,1000,3594000,2725000,5090000,3409000,None,None,None,646000,None,None,1000,None,-145585000,-264000,None,26000,None,4252000,None,None,None,None,None,None,None,152438000,7846000,3518000,None,None
2018-06-30,USD,9608000,2897000,None,146000,1155000,8453000,None,None,1000,-143694000,None,None,None,178000,1155000,357000,None,None,2000,4958000,1725000,5556000,4634000,None,None,None,798000,None,None,1000,None,-143694000,-264000,None,26000,None,4650000,None,None,None,None,None,None,None,152410000,9608000,4812000,None,None
2018-03-31,USD,10178000,3240000,None,228000,1425000,8753000,None,None,1000,-143296000,None,None,None,63000,1425000,634000,None,None,2000,5865000,1045000,5513000,5574000,None,None,None,791000,None,None,1000,None,-143296000,-264000,None,26000,None,4313000,None,None,None,None,None,None,None,152312000,10178000,5637000,None,None
2017-12-31,USD,8972000,3578000,None,150000,4866000,4106000,2288000,957000,None,-145055000,None,None,None,197000,2578000,870000,None,None,3000,4345000,1020000,528000,3998000,None,None,None,751000,None,None,None,None,-145055000,-264000,None,26000,None,4627000,None,None,None,2288000,None,None,None,149425000,8972000,4195000,None,None
2017-09-30,USD,9984000,3924000,None,42000,4902000,5082000,2530000,1000000,None,-144069000,None,None,None,233000,2372000,1055000,None,None,4000,5010000,1020000,1158000,4735000,None,None,None,317000,None,None,None,None,-144069000,-264000,None,26000,None,4974000,None,None,None,2530000,None,None,None,149415000,9984000,4968000,None,None
2017-06-30,USD,8723000,4270000,None,95000,6197000,2526000,2771000,1073000,None,-144528000,None,None,None,733000,3426000,2168000,None,None,4000,3748000,675000,-1744000,2920000,None,None,None,185000,None,None,None,None,-144528000,-264000,None,26000,None,4975000,None,None,None,2771000,None,None,None,147318000,8723000,3653000,None,None
2017-03-31,USD,10082000,4613000,None,145000,5679000,4403000,3009000,1145000,None,-142668000,None,None,None,210000,2670000,1011000,None,None,5000,5438000,None,-210000,5083000,None,None,None,514000,None,None,None,None,-142668000,-264000,None,26000,None,4644000,None,None,None,3009000,None,None,None,147335000,10082000,5293000,None,None
2016-12-31,USD,11277000,4951000,None,135000,5959000,5318000,3289000,1216000,None,-141749000,None,None,None,134000,2670000,885000,None,None,6000,6294000,None,367000,6025000,None,None,None,569000,None,None,None,None,-141749000,-264000,None,26000,None,4983000,None,None,None,3289000,None,None,None,147331000,11277000,6159000,None,None
2016-09-30,USD,15563000,8201000,None,59000,9481000,9012000,3529000,2930000,None,-137846000,None,None,None,303000,2930000,None,None,None,6000,7330000,None,-2119000,6968000,None,None,None,None,None,None,None,None,-137846000,-264000,None,26000,None,8233000,92000,92000,None,6551000,None,None,None,147122000,15563000,7271000,None,3228600
2016-06-30,USD,14932000,8737000,None,99000,11355000,7264000,3843000,3687000,None,-137400000,None,None,None,392000,3687000,None,None,None,7000,6162000,None,-5160000,5671000,None,None,None,None,None,None,None,None,-137400000,-264000,None,26000,None,8770000,138000,138000,None,7668000,None,None,None,144928000,14932000,6063000,None,3228600
2016-03-31,USD,11555000,9268000,None,292000,2723000,8832000,372000,290000,None,-135322000,None,None,None,494000,2351000,1595000,None,None,7000,2254000,None,-436000,1468000,None,None,None,466000,None,None,None,None,-135322000,-264000,None,26000,None,9301000,None,None,None,372000,None,None,None,144418000,11555000,1962000,None,2962768
2015-12-31,USD,13694000,9799000,None,330000,4944000,8750000,488000,290000,None,-135273000,None,None,None,142000,4456000,3137000,None,None,5000,3864000,None,-1049000,3392000,None,None,None,1029000,None,None,None,None,-135273000,-264000,None,26000,None,9830000,None,None,None,488000,None,None,None,144287000,13694000,3534000,None,2539847
2015-09-30,USD,14891000,13910000,None,20000,2866000,7025000,274000,None,3000,-130928000,None,None,None,157000,2592000,1936000,None,None,3000,952000,None,-1885000,775000,None,None,None,656000,None,None,3000,None,-130928000,-264000,None,26000,None,13939000,None,None,None,274000,None,None,5000000,138214000,14891000,932000,None,34402763
2015-06-30,USD,12452000,9776000,None,73000,1290000,6162000,319000,None,3000,-131346000,None,1712000,None,87000,971000,175000,None,None,3000,935000,None,-326000,775000,None,None,None,796000,None,None,3000,None,-131346000,-264000,None,26000,None,11517000,None,None,None,319000,None,None,5000000,137769000,12452000,862000,None,28611967
