fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-9664000,361000,-9306000,358000,None,12825000,10000,-85000,-2313000,2579000,-940000,6892000,None,None,12815000,None,None,-5880000,102000,None,None,2579000
2020-03-31,USD,-16163000,-142000,-17174000,-1011000,None,18783000,6549000,-178000,-8333000,161000,-1448000,1077000,None,None,12234000,None,None,5950000,1011000,None,None,161000
2019-12-31,USD,41000,-189000,41000,1616000,None,525000,-27000,59000,973000,-222000,-788000,None,0,None,1941000,None,None,-1631000,360000,None,None,None
2019-09-30,USD,-159000,14000,-159000,1215000,None,523000,523000,43000,-3363000,-251000,-615000,47000,0,None,1389000,None,None,2687000,360000,None,None,-251000
2019-06-30,USD,54000,67000,54000,1374000,None,787000,-79000,-56000,-644000,123000,-718000,-140000,0,None,787000,None,None,-1000,360000,None,None,123000
2019-03-31,USD,1320000,-94000,1320000,1320000,None,0,-79000,-196000,-1149000,424000,-896000,-59000,0,None,None,None,None,406000,360000,None,None,424000
2018-12-31,USD,None,None,-151000,-115000,None,2700000,None,None,1727000,-180000,-2729000,None,38000,None,2700000,None,None,None,36000,None,None,None
2018-09-30,USD,490000,-152000,470000,None,None,None,None,None,-1891000,-69000,-539000,-25000,367000,None,None,None,None,1162000,20000,None,None,-69000
2018-06-30,USD,805000,7000,789000,None,None,None,None,None,-398000,115000,-674000,-195000,359000,None,None,None,None,-447000,16000,None,None,115000
2018-03-31,USD,-1758000,-8000,-1758000,None,None,2700000,None,None,-1486000,-134000,-1076000,-266000,339000,None,2700000,None,None,345000,0,None,None,-134000
2017-12-31,USD,689000,388000,689000,None,None,None,None,None,-986000,-36000,-725000,-531000,347000,None,None,None,None,57000,0,None,None,-36000
2017-09-30,USD,-1864000,86000,-1864000,None,None,2095000,None,None,459000,-500000,-731000,-1328000,346000,None,2095000,None,None,-294000,0,None,None,-500000
2017-06-30,USD,1518000,-376000,1518000,None,None,-24000,None,None,-1860000,523000,-971000,943000,344000,None,-24000,None,None,-22000,0,None,None,523000
2017-03-31,USD,921000,-95000,921000,None,None,None,None,None,-919000,76000,-845000,-195000,339000,None,None,None,None,25000,0,None,None,76000
2016-12-31,USD,667000,-3888000,666000,None,None,None,None,None,-3903000,-169000,-835000,3219000,539000,None,None,None,None,3198000,1000,None,None,-169000
2016-09-30,USD,-1330000,-93000,-1330000,None,None,2140000,None,None,-446000,-89000,-899000,-984000,536000,None,2140000,None,None,88000,0,None,None,-89000
2016-06-30,USD,-4177000,3949000,-4178000,None,None,756000,-4000,None,-2078000,-102000,3320000,775000,532000,None,760000,None,None,142000,1000,None,None,-102000
2016-03-31,USD,1870000,-608000,1868000,None,None,None,None,None,-49000,352000,-1516000,-1575000,531000,None,None,None,None,185000,2000,None,None,352000
2015-12-31,USD,-2553000,329000,-2555000,None,None,3446000,None,None,-4345000,-15000,-906000,-1085000,723000,None,3446000,None,None,3472000,2000,None,None,-15000
2015-09-30,USD,None,-163000,None,None,None,1321000,None,None,418000,70000,-1251000,827000,723000,None,1321000,None,None,-3056000,0,None,None,70000
2015-06-30,USD,2680000,-620000,2680000,None,None,-935000,-935000,None,-43452000,-24000,-1769000,-2000,2450000,None,None,None,None,39810000,0,None,None,-24000
