fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,1794000,None,None,-2313000,-2313000,675000,None,-2313000,None,1017000,-519000,-1794000,102000,None,None,None,None,None,None,None,None,-519000,None,-2313000,-2313000,None
2020-03-31,USD,None,2399000,None,None,-8333000,-8333000,85000,None,-8333000,None,1303000,-5934000,-2399000,1011000,None,None,-5071000,None,None,None,None,None,-5934000,None,-8333000,-8333000,None
2019-12-31,USD,9000,3191000,None,9000,-3182000,973000,2502000,None,973000,None,689000,None,-3182000,None,None,None,4172000,None,None,None,None,None,4155000,None,973000,973000,None
2019-09-30,USD,0,902000,None,None,-3363000,-3363000,10000,None,-3363000,None,892000,-2461000,-902000,10000,None,None,-2428000,None,None,None,None,None,-2461000,None,-3363000,-3363000,None
2019-06-30,USD,0,888000,175000,-175000,-644000,-644000,10000,None,-644000,None,822000,244000,-888000,None,None,None,272000,None,None,66000,None,None,178000,None,-644000,-644000,None
2019-03-31,USD,0,713000,181000,-181000,-1149000,-1149000,10000,None,-1149000,None,702000,-436000,-713000,None,None,None,-528000,None,None,11000,None,None,-447000,None,-1149000,-1149000,None
2018-09-30,USD,None,1951000,None,None,-1891000,-1891000,None,None,-1891000,None,514000,60000,-1951000,367000,None,None,None,None,None,1070000,None,None,None,None,-1891000,-1891000,None
2018-06-30,USD,None,1262000,None,None,-398000,-398000,None,None,-398000,None,836000,864000,-1262000,360000,None,None,None,None,None,66000,None,None,None,None,-398000,-398000,None
2018-03-31,USD,None,1577000,None,None,-1486000,-1486000,None,None,-1486000,None,1094000,91000,-1577000,338000,None,None,None,None,None,145000,None,None,None,None,-1486000,-1486000,None
2017-12-31,USD,284000,1401000,None,284000,-986000,-986000,None,None,-986000,None,1055000,131000,-1117000,346000,None,None,None,None,None,None,None,None,None,None,-986000,-986000,None
2017-09-30,USD,314000,1273000,None,314000,459000,459000,None,None,459000,None,927000,1418000,-959000,346000,None,None,None,None,None,None,None,None,None,None,459000,459000,None
2017-06-30,USD,311000,1088000,None,311000,-1860000,-1860000,None,None,-1860000,None,745000,-1083000,-777000,343000,None,None,None,None,None,None,None,None,None,None,-1860000,-1860000,None
2017-03-31,USD,327000,1296000,None,327000,-919000,-919000,None,None,-919000,None,958000,50000,-969000,338000,None,None,None,None,None,None,None,None,None,None,-919000,-919000,None
2016-12-31,USD,314000,4196000,None,314000,-3903000,-3903000,None,None,-3903000,None,946000,-21000,-3882000,537000,None,None,None,None,None,2713000,None,None,None,None,-3903000,-3236000,-32147000
2016-09-30,USD,314000,1800000,None,314000,-446000,-446000,None,None,-446000,None,1264000,1040000,-1486000,536000,None,None,None,None,None,None,None,None,None,None,-446000,-446000,None
2016-06-30,USD,177000,1799000,None,177000,-2078000,-2078000,None,None,-2078000,None,1268000,-456000,-1622000,531000,None,None,None,None,None,None,None,None,None,None,-2078000,29402000,None
2016-03-31,USD,72000,1633000,None,72000,-49000,-49000,None,None,-49000,None,1102000,1512000,-1561000,531000,None,None,None,None,None,None,None,None,None,None,-49000,-716000,667000
2015-12-31,USD,31000,2519000,None,31000,-1201000,-1201000,None,None,-1201000,None,1552000,1287000,-2488000,724000,None,None,None,None,None,243000,None,None,None,None,-1201000,7961000,323000
2015-09-30,USD,None,1959000,None,None,-2726000,-2726000,None,None,-2726000,None,1237000,-767000,-1959000,722000,None,None,None,None,None,None,None,None,None,None,-2726000,-2726000,None
2015-06-30,USD,None,43447000,None,None,-43452000,-43452000,None,None,-43452000,None,641000,-5000,-43447000,2449000,None,None,None,None,None,40357000,None,None,None,None,-43452000,-43452000,None
2015-03-31,USD,2000,4118000,None,2000,-4086000,-4086000,None,None,-4086000,None,1696000,30000,-4116000,2422000,None,None,None,None,None,None,None,None,None,None,-4086000,-4086000,None
