fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-04-30,USD,50123000,1381000,None,None,3131000,46992000,None,None,34000,-335269000,207000,None,1354000,33908000,833000,None,None,63000,6915000,35165000,5308000,44874000,1093000,46000,None,None,255000,None,None,None,None,None,None,None,1354000,None,14958000,2344000,None,None,2298000,None,None,None,None,None,None,None,None
2020-01-31,USD,42407000,1240000,None,None,7296000,35111000,None,None,28000,-331917000,239000,None,1354000,27590000,703000,None,None,-4000,7091000,29710000,3012000,33102000,499000,46000,4198000,None,165000,None,None,None,None,None,None,None,1354000,None,12697000,2408000,None,None,6593000,None,None,None,None,None,None,None,None
2019-10-31,USD,20219000,1151000,None,None,7312000,12907000,None,None,10000,-328109000,57000,None,1354000,1470000,1127000,None,None,None,7268000,10446000,None,10978000,7308000,44000,3910000,None,472000,None,None,None,None,None,None,None,1354000,None,9773000,2470000,None,None,6185000,None,None,None,None,None,None,None,None
2019-07-31,USD,22490000,1061000,None,None,8646000,13844000,None,None,6000,-326918000,82000,None,1354000,9616000,4191000,None,2287000,1000,7454000,12621000,None,12000000,2114000,62000,2093000,None,620000,None,None,None,None,None,None,None,1354000,None,9869000,2531000,None,None,4455000,None,None,None,None,None,None,None,None
2019-04-30,USD,13808000,1062000,None,None,7260000,6548000,None,None,2000,-323970000,874000,None,1354000,959000,1747000,None,None,1000,7638000,3754000,None,4265000,1905000,76000,2283000,None,672000,None,None,None,None,None,None,None,1354000,None,10054000,2604000,None,None,5513000,None,None,None,None,None,None,None,None
2018-12-31,USD,13845000,912000,None,None,8671000,5174000,None,None,49000,-318573000,1061000,None,1352000,299000,5292000,None,None,-3000,7782000,3799000,None,4262000,1526000,1094000,None,None,680000,None,None,None,None,None,None,None,None,None,None,None,2318000,None,None,None,None,None,323701000,None,1825000,None,None
2018-09-30,USD,15170000,879000,None,None,8731000,6439000,None,None,48000,-316966000,1400000,None,1372000,4055000,4962000,None,None,None,7976000,4943000,None,5560000,20000,28000,None,None,791000,None,None,None,None,None,None,None,None,None,None,None,2369000,None,None,None,None,None,323357000,None,4075000,None,None
2013-04-30,USD,22114000,366000,None,2638000,10399000,11715000,None,4078000,1780000,6595000,None,366000,3062000,None,6876000,None,None,None,4616000,None,None,None,None,None,3299000,8136000,1724000,None,None,None,None,None,-3163000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2013-01-31,USD,23324000,366000,None,2082000,11284000,12040000,None,4444000,1759000,7008000,None,366000,3060000,None,6646000,None,None,None,4534000,None,None,None,None,None,4414000,8195000,1439000,None,None,None,None,None,-3163000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2012-10-31,USD,21782000,366000,None,1860000,11553000,10229000,None,4458000,1711000,5216000,None,366000,1154000,None,11120000,None,None,None,6416000,None,None,None,None,None,398000,8420000,1556000,None,None,None,None,None,-3163000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
