fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-04-30,USD,-2892000,90000,-2892000,None,-4373000,10675000,None,796000,-3370000,6318000,-1465000,None,26000,None,None,None,776000,338000,2000,None,None,None
2020-01-31,USD,3493000,-307000,3493000,None,-86000,25687000,None,64000,-3808000,26120000,-3060000,None,381000,None,None,None,-2000,431000,304000,None,None,None
2019-10-31,USD,-5289000,-231000,-5289000,None,-564000,-568000,None,-661000,-1188000,-8146000,-2289000,None,182000,None,None,None,-758000,382000,95000,None,None,None
2019-07-31,USD,-232000,-14000,-232000,None,1815000,11433000,None,191000,-2948000,8657000,-2544000,None,195000,None,None,None,14000,-214000,23000,None,None,None
2019-04-30,USD,472000,-49000,472000,None,-85000,870000,None,-217000,-2029000,-1435000,-2777000,None,193000,None,None,None,None,-392000,109000,None,None,None
2018-12-31,USD,-1506000,-111000,-1518000,219000,-44000,181000,59000,396000,-1607000,-3756000,-2419000,None,133000,None,5070000,None,-1066000,-219000,3000,None,None,None
2018-09-30,USD,675000,151000,617000,1725000,2936000,2846000,-230000,-437000,-3078000,487000,-2976000,None,230000,None,4904000,None,7000,-57000,48000,None,None,None
2013-04-30,USD,None,None,None,None,None,None,None,None,None,None,974000,None,None,None,None,36000,1825000,None,202000,None,None,None
2013-01-31,USD,None,None,615000,1382000,None,None,None,None,1792000,None,2194000,None,None,None,None,None,None,None,780000,None,None,None
2012-10-31,USD,None,None,None,None,None,None,None,None,455000,None,2971000,None,None,None,None,None,1049000,None,489000,None,None,None
2012-07-31,USD,None,None,None,None,None,None,None,None,None,None,889000,None,None,None,None,None,296000,None,303000,None,None,None
2012-04-30,USD,None,None,None,None,None,None,None,None,413000,None,27000,None,None,None,None,None,None,None,115000,None,None,None
2012-01-31,USD,None,None,None,None,None,None,None,None,730000,None,1524000,None,None,None,None,460000,None,None,1068000,None,None,None
2011-10-31,USD,None,None,None,None,None,9000,None,None,146000,None,599000,None,None,None,None,None,306000,None,770000,None,None,None
2011-07-31,USD,None,None,None,None,None,250000,None,None,None,None,100000,None,None,None,None,None,752000,None,512000,None,None,None
2011-04-30,USD,None,None,None,None,None,139000,None,None,None,None,None,None,None,None,None,None,493000,None,290000,None,None,None
2011-01-31,USD,None,None,None,None,None,559000,None,None,255000,None,511000,None,None,None,None,None,None,None,908000,None,None,None
2010-10-31,USD,None,None,None,None,None,1632000,None,None,93000,None,None,None,None,None,None,None,None,None,716000,None,None,None
2010-07-31,USD,None,None,None,None,None,1709000,None,None,18000,None,None,None,None,None,None,16000,None,None,672000,None,None,None
2010-04-30,USD,None,None,None,None,None,836000,None,None,259000,None,None,None,None,None,None,131000,None,None,388000,None,None,None
2010-01-31,USD,None,None,None,None,None,2023000,None,None,1602000,None,None,None,None,None,None,89000,None,67000,1991000,None,None,None
