fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-04-30,USD,40000,3380000,200000,-160000,-3095000,-3370000,1463000,None,-3370000,None,1717000,None,-3340000,None,249000,None,46000,-203000,None,None,None,None,173000,None,-3370000,-3370000,None
2020-01-31,USD,45000,3370000,204000,-159000,-3105000,-3808000,898000,None,-3808000,None,2268000,None,-3325000,None,322000,None,21000,-301000,None,None,None,None,-182000,None,-3808000,-3808000,None
2019-10-31,USD,50000,3138000,217000,-167000,-1116000,-1188000,1437000,None,-1188000,None,1484000,None,-3088000,None,-110000,None,53000,163000,None,None,None,None,1737000,None,-1188000,-1188000,None
2019-07-31,USD,61000,3266000,230000,-169000,-2560000,-2948000,1190000,None,-2948000,None,1846000,None,-3205000,None,193000,None,8000,-185000,None,None,None,None,442000,None,-2948000,-2948000,None
2019-04-30,USD,29000,3253000,215000,-186000,-1737000,-2029000,1096000,None,-2029000,None,1942000,None,-3224000,None,99000,None,16000,-83000,None,None,None,None,1278000,None,-2029000,-2029000,None
2018-12-31,USD,240000,2860000,282000,-42000,-2620000,-1607000,946000,None,-1607000,None,1632000,None,-2620000,None,-250000,None,None,None,None,None,None,None,1013000,None,-1607000,-1607000,None
2018-09-30,USD,38000,3076000,208000,-170000,-3038000,-3078000,1595000,None,-3078000,None,1273000,None,-3038000,None,-59000,None,None,None,None,None,None,None,-40000,None,-3078000,-3078000,None
2013-04-30,USD,7108000,None,4523000,None,None,None,None,None,None,None,3094000,None,None,None,31000,None,None,None,None,None,None,None,None,None,None,None,None
2013-01-31,USD,8921000,None,5122000,None,None,1792000,4948000,None,2317000,None,3236000,None,453000,None,58000,None,None,None,None,None,None,525000,None,None,None,1792000,None
2012-10-31,USD,7267000,None,4020000,None,None,455000,None,None,699000,None,2358000,None,766000,None,61000,None,None,None,None,None,None,244000,None,None,None,455000,None
2012-07-31,USD,7472000,None,5106000,None,None,None,None,None,None,None,2366000,None,None,None,66000,None,None,None,None,None,None,None,None,None,None,None,None
2012-04-30,USD,7361000,None,4392000,None,None,413000,None,None,647000,None,2098000,None,720000,None,73000,None,None,None,None,None,None,234000,None,None,None,413000,None
2012-01-31,USD,9157000,None,5694000,None,None,730000,2644000,None,1403000,None,1713000,None,1608000,None,83000,None,None,None,None,None,None,673000,None,None,None,730000,None
2011-10-31,USD,7320000,None,5218000,None,None,146000,None,None,298000,None,1635000,None,336000,None,84000,None,None,None,None,None,None,152000,None,None,None,146000,None
2011-07-31,USD,6421000,None,4902000,None,None,None,None,None,None,None,1597000,None,None,None,86000,None,None,None,None,None,None,None,None,None,None,None,None
2011-04-30,USD,6709000,None,4918000,None,None,None,None,None,None,None,2048000,None,None,None,118000,None,None,None,None,None,None,None,None,None,None,None,None
2011-01-31,USD,8825000,None,5932000,None,None,255000,3787000,None,511000,None,1923000,None,847000,None,179000,None,None,None,None,None,None,256000,None,None,None,255000,None
2010-10-31,USD,7049000,None,4899000,None,None,93000,None,None,94000,None,1679000,None,345000,None,205000,None,None,None,None,None,None,1000,None,None,None,93000,None
2010-07-31,USD,6813000,None,4640000,None,None,18000,None,None,38000,None,1764000,None,280000,None,211000,None,None,None,None,None,None,20000,None,None,None,18000,None
2010-04-30,USD,6931000,None,4708000,None,None,259000,None,None,437000,None,1700000,None,399000,None,150000,None,None,None,None,None,None,178000,None,None,None,259000,None
2010-01-31,USD,6711000,None,3877000,None,None,1602000,1423000,None,290000,None,1958000,None,752000,None,207000,None,None,None,None,None,None,None,None,None,None,1602000,None
