fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,4100700000,1450400000,None,35800000,2261800000,1808500000,368200000,13000000,100000,206700000,411200000,1543000000,10200000,220100000,315000000,17000000,17000000,-100100000,339700000,716000000,None,-1154500000,None,237000000,1535600000,223100000,285000000,None,None,100000,None,206700000,None,None,50600000,None,1000000,43400000,1535600000,43000000,1946800000,None,None,None,1701800000,4100700000,220100000,None,64575115
2020-03-31,USD,4216200000,1457700000,None,32300000,2430100000,1757100000,357400000,12800000,100000,187700000,399600000,1528300000,10500000,326900000,337600000,17200000,17200000,-128800000,343400000,836100000,None,-1199900000,None,247500000,1658500000,229400000,307600000,None,None,100000,None,187700000,None,None,49700000,None,1000000,41800000,1658500000,76600000,2092500000,None,None,None,1698100000,4216200000,326900000,None,64564526
2019-12-31,USD,4283700000,1502400000,None,29100000,2336700000,1922300000,369100000,13500000,100000,315400000,414200000,1694900000,28100000,167300000,339700000,18000000,18000000,-89900000,354400000,667300000,None,-1250300000,None,248400000,1563800000,222500000,308200000,None,None,100000,None,315400000,None,None,61700000,None,3000000,38200000,1563800000,64100000,1997000000,None,None,None,1696700000,4283700000,167300000,None,64222603
2019-09-30,USD,4293700000,1507400000,None,31200000,2399900000,1867500000,394600000,13900000,100000,289300000,440900000,1658700000,41000000,168000000,333200000,18700000,18700000,-115200000,351600000,696300000,100000,-1272300000,None,266800000,1602800000,230300000,300600000,None,None,100000,None,289300000,None,None,78800000,None,900000,40200000,1602800000,69300000,2066700000,None,None,None,1693300000,4293700000,168000000,None,64500000
2019-06-30,USD,4357800000,1546500000,None,34600000,2445700000,1884400000,401200000,14300000,100000,274500000,447600000,1686100000,13700000,153600000,334400000,19200000,19200000,-82000000,360800000,710300000,100000,-1320500000,None,284600000,1642500000,237500000,300900000,None,None,100000,None,274500000,None,None,53200000,None,900000,42000000,1642500000,67600000,2111300000,None,None,None,1691800000,4357800000,153600000,None,64300000
2019-03-31,USD,4380300000,1559900000,None,32800000,2477800000,1872400000,399100000,14900000,100000,256700000,441800000,1683500000,15800000,152400000,347000000,18200000,18200000,-72900000,360500000,716500000,300000,-1340900000,None,290300000,1676600000,241000000,313900000,None,None,100000,None,256700000,None,None,56600000,None,3300000,45000000,1676600000,55100000,2130800000,None,None,None,1688500000,4380300000,152400000,None,64300000
2018-12-31,USD,4337243000,1585728000,None,33791000,2489047000,1848196000,393217000,18940000,64000,232604000,444732000,1662341000,20342000,168957000,337110000,17188000,17054000,-71593000,364433000,703907000,492000,-1399873000,None,269987000,1706782000,231172000,319922000,None,None,64000,None,232604000,None,None,15903000,None,4931000,None,1690898000,67822000,2151937000,None,None,None,1687121000,4337243000,168957000,None,64186308
2018-09-30,USD,912569000,148389000,None,21911000,495409000,417160000,49929000,17268000,29000,248534000,79867000,202114000,3081000,50097000,158195000,1306000,16179000,-55719000,187800000,370468000,717000,66657000,0,141411000,257347000,157049000,156889000,0,0,29000,0,248534000,0,None,2256000,None,1542000,None,255161000,32124000,337214000,None,None,None,224316000,912569000,50097000,None,29167951
2018-06-30,USD,906552000,151639000,None,21713000,493660000,412892000,50214000,16549000,29000,241249000,82727000,203292000,3912000,38114000,138872000,1364000,4940000,-52912000,189328000,357670000,711000,57961000,0,148251000,272061000,149592000,137508000,0,0,29000,0,241249000,0,None,3031000,1592000,548882000,None,260024000,44550000,354788000,None,None,None,224526000,906552000,38114000,None,29107811
2018-03-31,USD,938527000,160767000,None,18864000,525563000,412964000,52342000,69375000,29000,227198000,51823000,209722000,374624000,46396000,143116000,1430000,6918000,-37412000,194293000,369610000,None,42475000,0,155666000,278282000,148684000,141686000,0,0,29000,0,227198000,0,None,2466000,1669000,568917000,None,278282000,51823000,382447000,None,None,None,223149000,938527000,46396000,None,29103205
