fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-9100000,-9900000,-9100000,56200000,76000000,-135200000,-200200000,-3300000,21600000,-105500000,38800000,-45700000,33400000,-11000000,None,8200000,15600000,5700000,9100000,15600000,None,-105500000
2020-03-31,USD,48000000,-900000,48000000,56200000,-6600000,80100000,98000000,-13100000,-116600000,163000000,34900000,-14000000,33200000,-11300000,None,-11800000,-4700000,148800000,8200000,-4700000,None,163000000
2019-12-31,USD,-30900000,-11300000,-30900000,-16100000,-42100000,-52100000,1300000,20900000,37300000,-7500000,75500000,36100000,33300000,-11300000,None,9500000,4600000,-29100000,14800000,4600000,None,-7500000
2019-09-30,USD,-12700000,4900000,-12700000,100000,-40300000,-53400000,-2000000,-4700000,25700000,18200000,84300000,200000,33600000,-11100000,None,2600000,20400000,1800000,12800000,20400000,None,18200000
2019-06-30,USD,-10100000,-15300000,-10100000,-13200000,-33800000,-45200000,-500000,-10100000,29000000,1500000,56800000,-30400000,33400000,-10900000,None,4300000,12300000,3300000,10100000,12300000,None,1500000
2019-03-31,USD,-27200000,-4900000,-27200000,-13200000,-13800000,-27200000,-2300000,4100000,35200000,-15100000,39300000,4400000,33200000,-11100000,None,-10600000,-22500000,4500000,14000000,-22500000,None,-15100000
2018-12-31,USD,None,16248000,-965587000,-949185000,1323460000,1022863000,-295601000,-4156000,-4980000,114580000,57304000,9387000,32811000,-4996000,None,-184000,9077000,-5055000,16402000,9077000,None,114580000
2018-09-30,USD,None,5105000,-6193000,0,-28673000,-11138000,22527000,4534000,12313000,12539000,29870000,4534000,9502000,-4992000,0,-8350000,5421000,1345000,6193000,5421000,None,12539000
2018-06-30,USD,None,7943000,-10624000,-2663000,3000000,-21821000,-19826000,-7569000,19007000,-7000000,25445000,-7569000,9425000,-4995000,0,-4963000,-65000,1667000,7961000,-65000,None,-8371000
2018-03-31,USD,None,-5919000,-6975000,0,8000000,-3658000,-6681000,-1951000,9001000,-6969000,3664000,-1951000,9553000,-4977000,0,-515000,-12906000,6401000,6975000,-12906000,1371000,-5598000
2017-12-31,USD,None,5805000,-9565000,0,20958000,-24800000,-40755000,1915000,12440000,2927000,37292000,5879000,9272000,-5003000,0,7099000,-8103000,-4801000,9565000,1598000,-4084000,-1157000
2017-09-30,USD,None,413000,-5624000,3221000,2000000,-20049000,-17093000,-2438000,13277000,-8340000,17333000,-2438000,9438000,-4956000,0,-8005000,9701000,1537000,8845000,3111000,2510000,-5830000
2017-06-30,USD,None,-2215000,-4200000,2883000,-10833000,-15452000,-11056000,716000,15384000,3282000,22934000,716000,8959000,-4396000,0,-108000,12812000,1662000,7083000,-1464000,2762000,6044000
2017-03-31,USD,None,-6997000,-7333000,0,4046000,-13747000,-13889000,-2242000,10326000,-18058000,3022000,105000,8955000,-3904000,0,-1365000,11348000,3346000,7333000,-11348000,1877000,-16181000
2016-12-31,USD,None,1107000,-191224000,-187967000,199748000,191715000,563000,2378000,1668000,30238000,29747000,885000,8526000,-3883000,-4713000,3161000,-4140000,8079000,3257000,6321000,-885000,29353000
2016-09-30,USD,None,1756000,-4823000,4990000,2178000,-7606000,-5903000,1665000,5313000,3933000,16362000,1665000,9037000,-3881000,0,-1075000,10461000,1199000,4823000,-1571000,1502000,5435000
2016-06-30,USD,None,8302000,-5208000,3131000,-2502000,-29710000,-23305000,828000,9349000,-10513000,24482000,828000,8740000,-3903000,0,-2691000,8890000,795000,5208000,-803000,-77000,-10513000
2016-03-31,USD,None,-6832000,-5653000,1552000,1155000,-4627000,-5782000,None,8810000,-4230000,6050000,-1000000,8402000,0,0,2929000,8087000,1828000,5653000,-8087000,-1247000,-5477000
2015-12-31,USD,878000,-4290000,-3725000,0,17485000,-17475000,15003000,-5238000,6107000,2071000,23271000,-1569000,9083000,22058000,18176000,3682000,7223000,1483000,42087000,8775000,-1400000,671000
2015-09-30,USD,None,4844000,-4498000,1201000,-6886000,-20135000,-9297000,None,10221000,8798000,33431000,-2457000,8688000,-3952000,0,-375000,1552000,742000,5699000,11768000,-1426000,7372000
2015-06-30,USD,None,-561000,-5751000,3068000,-12215000,-18173000,-3984000,None,9680000,-5488000,17340000,-1220000,8774000,-3178000,-878000,1751000,13320000,2200000,5751000,-3229000,339000,-5149000
