fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,365286000,None,None,None,185428000,179858000,None,27000,7000,-880356000,1618000,None,581000,266559000,43001000,None,None,239000,36937000,323641000,4127000,179858000,47394000,25000,131462000,5646000,15107000,None,None,None,None,None,None,None,None,None,41645000,11722000,None,1642000,142427000,None,None,None,None,None,None,None,None
2020-03-31,USD,420052000,None,None,None,185005000,235047000,None,24000,7000,-811112000,1474000,None,557000,298418000,45419000,None,None,163000,38419000,367820000,13256000,235047000,59933000,772000,128250000,4076000,13952000,None,None,None,None,None,None,None,52232000,None,52232000,12139000,128288000,1512000,139586000,None,None,None,1045989000,None,358351000,None,65000000
2019-12-31,USD,204369000,None,None,None,100345000,104024000,None,23000,6000,-724680000,1307000,None,515000,79880000,47448000,None,None,80000,40116000,149077000,14661000,104024000,63633000,None,41028000,None,13882000,None,None,None,None,None,None,None,55292000,None,55292000,12781000,41028000,1345000,52897000,None,None,None,828618000,None,143513000,None,63000000
2019-09-30,USD,248398000,None,None,None,95706000,152692000,None,21000,6000,-657782000,1166000,None,507000,76844000,43605000,None,None,140000,40617000,202236000,5038000,152692000,118626000,None,39782000,None,11941000,None,None,None,None,None,None,None,46162000,None,46162000,13316000,39782000,1166000,52101000,None,None,None,810328000,None,195470000,None,63000000
2019-06-30,USD,298776000,None,None,None,93802000,204974000,None,20000,6000,-593326000,1029000,None,511000,72564000,43211000,None,None,236000,41150000,250531000,6584000,204974000,171108000,None,38526000,None,14086000,None,None,None,None,None,None,None,48245000,None,48245000,13058000,38526000,1029000,50591000,None,None,None,798058000,None,243672000,None,62000000
2019-03-31,USD,344153000,None,None,None,87852000,256301000,None,19000,6000,-530449000,805000,None,514000,81058000,38091000,1967000,1967000,63000,39071000,291391000,13177000,256301000,202113000,None,37268000,None,10517000,None,None,None,None,None,None,None,52762000,None,52762000,13600000,37268000,860000,49761000,None,None,None,786681000,None,283171000,None,62000000
2018-12-31,USD,339555000,None,None,None,40608000,298947000,None,18000,6000,-476234000,2535000,None,608000,107511000,38012000,None,None,-108000,26328000,312619000,None,298947000,196421000,None,None,None,8833000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,775283000,None,303932000,None,57000000
2018-09-30,USD,287463000,0,None,6543000,40299000,247164000,0,16000,6000,-419236000,2848000,0,626000,78420000,37451000,None,None,-138000,25045000,261792000,None,247164000,176829000,None,0,0,13890000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58000000
2018-06-30,USD,326656000,0,None,6826000,38818000,287838000,0,39000,6000,-367535000,2724000,0,664000,142157000,36094000,None,None,-123000,23265000,296826000,5901000,287838000,147843000,None,0,0,8211000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58000000
2018-03-31,USD,361845000,0,None,8413000,32753000,329092000,0,31300,6000,-314982000,2341000,0,664000,209324000,30412000,None,None,-125000,21021000,330297000,9863000,329092000,112560000,None,0,0,6252000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54000000
