fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,21241000,1168000,21241000,None,None,2000000,None,-2714000,-69244000,-31859000,-55108000,None,1440000,None,None,-4995000,747000,18490000,488000,None,None,None
2020-03-31,USD,4864000,191000,4864000,5183000,85000000,285476000,-1427000,395000,-86432000,218538000,-71812000,None,1298000,None,201903000,-4012000,-772000,17520000,319000,None,None,None
2019-12-31,USD,44491000,1879000,44491000,119946000,85000000,11108000,-4528000,1890000,-66898000,3036000,-52563000,None,1178000,None,20406000,None,None,9388000,953000,None,None,None
2019-09-30,USD,52102000,-1145000,52102000,74502000,85000000,3028000,-4528000,4727000,-64455000,4280000,-50850000,None,1157000,None,9298000,None,None,8866000,2234000,None,None,None
2019-06-30,USD,34834000,3521000,34834000,20166000,85000000,2838000,-4528000,2724000,-62878000,-8494000,-46166000,None,1085000,None,6270000,None,None,9382000,3488000,None,None,None
2019-03-31,USD,-19528000,1945000,-19528000,-18156000,40000000,38904000,-4346000,-2462000,-54266000,-26453000,-45829000,None,666000,None,3250000,None,None,8288000,1372000,None,None,None
2018-12-31,USD,-19203000,-5445000,-20323000,-86590000,40000000,100964000,-3856000,2704000,-56998000,29091000,-51550000,None,477000,None,299162000,None,None,7712000,1120000,None,None,None
2018-09-30,USD,-22797000,5574000,-24854000,0,40000000,2378000,-3856000,-3594000,-51702000,-63737000,-41261000,None,383000,0,190435000,0,0,8078000,2057000,None,None,None
2018-06-30,USD,-31118000,2990000,-34978000,0,40000000,4364000,-3856000,4153000,-52552000,-67167000,-36553000,None,382000,0,190435000,0,0,8474000,3860000,None,None,None
2018-03-31,USD,-13472000,-431000,-15855000,0,None,191456000,None,2229000,-49500000,135837000,-39764000,None,356000,0,189463000,0,0,7582000,2383000,None,None,None
2017-12-31,USD,48987000,13872000,42562000,0,None,6520000,None,11209000,-131325000,-50523000,-99605000,None,966000,0,6520000,0,0,17230000,6425000,None,None,None
2017-09-30,USD,14648000,9801000,14537000,0,None,2952000,None,1003000,-90159000,-10630000,-67678000,None,0,0,0,0,0,4156000,5252000,None,None,None
2017-06-30,USD,27551000,6297000,2290000,0,None,1503000,None,7013000,-58367000,5737000,-43352000,None,0,0,0,0,0,4359000,2851000,None,None,None
2017-03-31,USD,-22410000,-1246000,-23310000,0,None,1118000,None,35000,-25870000,-45296000,-23104000,None,0,0,0,0,0,3593000,900000,None,None,None
2016-12-31,USD,-36231000,5809000,-43896000,0,None,147843000,None,11110000,-80824000,47333000,-56614000,None,534000,0,145000000,0,0,13560000,7665000,None,None,None
2016-09-30,USD,14759000,6738000,33435000,0,None,801000,None,1454000,-55748000,2481000,-34002000,None,0,0,0,0,0,3488000,6725000,None,None,None
2016-06-30,USD,24379000,669000,20857000,0,None,216000,None,2389000,-33662000,9385000,-23320000,None,0,0,0,0,0,3074000,4544000,None,None,None
2016-03-31,USD,None,199000,-94000,0,None,45000,None,None,-15523000,None,-11583000,None,0,0,0,0,0,None,1116000,None,None,None
2015-12-31,USD,-123561000,2931000,-125229000,40000,None,235327000,-221000,-7542000,-35816000,74408000,-35690000,None,115000,0,168119000,0,0,6481000,1708000,None,None,None
2015-09-30,USD,None,1126000,-107941000,0,None,235431000,None,None,-8991000,None,-17098000,None,0,0,168117000,0,0,None,1091000,None,None,None
2015-06-30,USD,None,1368000,-656000,0,None,65683000,None,None,-7376000,None,-8794000,None,0,0,0,0,0,None,596000,None,None,None
