fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,0,65991000,4850000,-4850000,-64271000,-69244000,23047000,None,-68923000,None,38094000,None,-65991000,None,3212000,321000,428000,-2784000,None,None,None,321000,-148000,None,-69244000,-69244000,None
2020-03-31,USD,575000,85858000,257000,318000,-82786000,-86432000,36463000,None,-86313000,None,49138000,None,-85283000,None,2229000,119000,978000,-1251000,None,None,None,119000,221000,None,-86432000,-86432000,None
2019-12-31,USD,0,66986000,None,None,-58869000,-66898000,30125000,None,-66155000,None,36861000,None,-66986000,None,1250000,743000,4659000,-257000,None,None,None,743000,1156000,None,-66898000,-66898000,None
2019-09-30,USD,0,64602000,None,None,-63445000,-64455000,30558000,None,-64559000,None,34044000,None,-64602000,None,-4916000,-104000,43000,43000,None,None,None,-104000,43000,None,-64455000,-64455000,None
2019-06-30,USD,0,63188000,None,None,-62103000,-62878000,31988000,None,-62830000,None,31200000,None,-63188000,None,-4916000,48000,358000,358000,None,None,None,48000,358000,None,-62878000,-62878000,None
2019-03-31,USD,0,55028000,None,None,-54362000,-54266000,31316000,None,-54237000,None,23712000,None,-55028000,None,-4916000,29000,791000,791000,None,None,None,29000,791000,None,-54266000,-54266000,None
2018-12-31,USD,0,58433000,0,0,-58433000,-56998000,33029000,0,-57016000,0,25404000,None,-58433000,0,0,None,None,None,0,0,0,-18000,1417000,0,-56998000,-56998000,None
2018-09-30,USD,0,52976000,0,0,-52976000,-51702000,31691000,0,-51673000,0,21285000,None,-52976000,0,0,None,None,None,0,0,0,29000,1303000,0,-51702000,-51702000,None
2018-06-30,USD,0,53813000,0,0,-53813000,-52552000,35254000,0,-52519000,0,18559000,None,-53813000,0,0,None,None,None,0,0,0,33000,1294000,0,-52552000,-52552000,None
2018-03-31,USD,0,50119000,0,0,-50119000,-49500000,33446000,0,-49483000,0,16673000,None,-50119000,0,0,None,None,None,0,0,0,17000,636000,0,-49500000,-49500000,None
2017-12-31,USD,0,199997000,0,0,-122387000,-99533000,28654000,0,-131269000,0,41377000,None,-100985000,0,0,None,None,None,0,0,0,56000,2005000,0,-119414000,-119414000,None
2017-09-30,USD,0,-99727000,0,0,-55493000,705000,21063000,0,0,0,31973000,None,715000,0,0,None,None,None,0,0,0,0,0,0,-57024000,-57024000,None
2017-06-30,USD,0,33004000,0,0,70476000,-6627000,22191000,0,0,0,32761000,None,-6663000,0,0,None,None,None,0,0,0,0,0,0,70983000,70983000,None
2017-03-31,USD,0,0,0,0,-25870000,-25870000,17417000,0,0,0,26197000,None,-26341000,0,0,None,None,None,0,0,0,0,0,0,-25870000,-25870000,None
2016-12-31,USD,0,81527000,0,0,-113711000,-58738000,16958000,0,-80824000,0,25160000,None,-59286000,0,49000,None,None,None,0,0,0,0,703000,0,-113155000,-113155000,None
2016-09-30,USD,0,0,0,0,50274000,-3947000,15888000,0,0,0,22105000,None,-3955000,0,-74000,None,None,None,0,0,0,0,0,0,50470000,50470000,None
2016-06-30,USD,0,0,0,0,-18090000,-2616000,11820000,0,0,0,18154000,None,-2587000,0,1000,None,None,None,0,0,0,0,0,0,-18139000,-18139000,None
2016-03-31,USD,0,0,0,0,0,-15523000,9976000,0,0,0,15574000,None,-15699000,0,24000,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,0,35997000,0,0,-35997000,-26825000,10766000,0,-35816000,0,16100000,None,-26973000,0,36000,None,None,None,0,0,0,0,181000,0,-35816000,-35816000,None
2015-09-30,USD,0,0,0,0,0,-1615000,3850000,0,0,0,8994000,None,-1647000,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,-7376000,3131000,0,0,0,7358000,None,-7377000,0,0,None,None,None,0,0,0,0,0,0,0,0,None
