fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,1461960000,49706000,None,122301000,755802000,703311000,8702000,None,41000,726233000,127899000,181302000,136718000,204037000,177202000,17000,17000,-199627000,443046000,650480000,36901000,472303000,None,208610000,435000000,115532000,177185000,None,None,41000,None,726233000,-256074000,None,59526000,None,40999000,None,435000000,134898000,578600000,None,None,None,432738000,1461960000,204037000,None,None
2020-03-31,USD,1483631000,51323000,None,None,814070000,666961000,None,None,41000,700021000,131686000,179366000,145773000,222680000,175621000,None,20000,-208546000,446890000,659514000,None,436272000,None,197951000,491002000,109426000,58874000,None,None,None,None,None,-256391000,None,59349000,None,824117000,None,491002000,134918000,638449000,None,None,None,431836000,None,222680000,None,32000000
2019-12-31,USD,1474368000,52892000,None,103212000,771679000,698683000,12226000,53187000,41000,698496000,102347000,180934000,136184000,195540000,202719000,20000,20000,-175981000,466462000,618334000,41234000,464857000,None,224433000,424009000,95149000,202699000,None,None,41000,None,698496000,-256391000,None,62891000,51621000,856034000,5858000,424009000,132725000,568960000,None,None,None,432518000,1474368000,195540000,None,32300000
2019-09-30,USD,1404722000,44530000,None,89420000,741641000,659530000,7934000,12900000,41000,675491000,91035000,162075000,134271000,173739000,191542000,20000,20000,-191471000,449299000,599870000,45699000,452925000,None,231006000,424012000,105705000,191522000,None,None,41000,None,675491000,-256391000,None,51488000,51761000,804852000,None,424012000,118153000,550099000,None,None,None,431860000,1404722000,173739000,None,32000000
2019-06-30,USD,1458099000,46089000,None,79539000,806783000,647868000,8433000,23202000,41000,641297000,93833000,164083000,103020000,215233000,196689000,19000,19000,-168116000,458038000,626775000,45651000,437696000,None,227749000,482019000,104254000,196670000,None,None,41000,None,641297000,-256391000,None,51381000,66082000,831324000,None,482019000,119642000,610094000,None,None,None,431037000,1458099000,215233000,None,32000000
2019-03-31,USD,1443281000,47646000,None,81565000,816874000,623166000,8328000,18252000,40000,613057000,93555000,163438000,144869000,187385000,204798000,19000,19000,-163380000,460520000,612274000,45354000,412082000,None,240945000,491022000,102379000,204779000,None,None,40000,None,613057000,-256603000,None,50313000,63736000,831007000,None,491022000,112726000,612076000,None,None,None,430052000,1443281000,187385000,None,32000000
2018-12-31,USD,1417992000,49206000,None,78741000,809712000,605249000,8422000,59224000,40000,589645000,96699000,164382000,143621000,197755000,189306000,1224000,1224000,-158388000,462055000,593049000,45061000,391661000,None,230649000,523707000,85904000,188082000,None,None,40000,None,589645000,-256603000,None,41617000,62622000,824943000,None,523707000,88277000,620406000,None,None,None,430555000,1417992000,197755000,None,32300000
2018-09-30,USD,1448326000,50765000,None,76641000,839684000,605276000,12915000,33135000,40000,581369000,105133000,165103000,162177000,160593000,205548000,1231000,1231000,-149761000,462438000,596106000,79865000,389408000,0,259107000,529003000,99765000,204317000,608642000,430231000,40000,0,581369000,-256603000,None,94049000,None,852220000,None,529003000,92218000,634136000,None,None,None,430231000,1448326000,160593000,None,32000000
2018-06-30,USD,1422461000,52322000,None,78803000,830802000,588557000,13556000,27240000,40000,558639000,111119000,165474000,157249000,154744000,196497000,1870000,1844000,-143155000,450694000,586775000,81237000,370761000,0,255569000,523186000,97659000,194627000,591659000,429635000,40000,0,558639000,-256602000,None,85959000,None,835686000,None,523186000,97563000,634305000,None,None,None,429635000,1422461000,154744000,None,32000000
2018-03-31,USD,1400335000,53881000,None,61570000,805191000,591994000,11339000,8212000,40000,533759000,111509000,168311000,143479000,151426000,175026000,2047000,1821000,-113788000,459388000,567700000,70174000,369802000,0,254670000,518656000,100034000,172979000,573015000,428423000,40000,0,533759000,-256876000,None,80881000,None,832635000,None,518656000,100170000,630165000,None,None,None,428859000,1400335000,151426000,None,32000000
