fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-9212000,-9337000,-9212000,None,-56334000,-62455000,None,3482000,32354000,-18643000,50672000,None,17954000,-6141000,None,-4878000,11511000,5200000,9212000,None,None,None
2020-03-31,USD,-12805000,-1046000,-12805000,None,60860000,54231000,-490000,-18053000,9109000,27140000,-6638000,None,18070000,-6139000,None,-19750000,-3394000,21074000,12805000,None,None,None
2019-12-31,USD,-49596000,-157000,-49596000,-31084000,-3000,-6116000,-304000,-697000,29591000,18047000,73759000,-8369000,17831000,-5816000,7000,13004000,2447000,5132000,18512000,16727000,3754000,21801000
2019-09-30,USD,-13699000,-1841000,-13699000,-257000,-58006000,-64085000,-298000,-107000,40125000,-34287000,43497000,-12025000,17254000,-5814000,33000,-3760000,-9950000,13694000,13442000,-9950000,-7207000,-41494000
2019-06-30,USD,-14633000,-9626000,-14633000,-27000,-9004000,-14967000,-178000,-3433000,34259000,28930000,58530000,2023000,17754000,-5813000,28000,-1505000,14434000,1191000,14606000,14434000,-1082000,27848000
2019-03-31,USD,-20820000,12161000,-20820000,-22000,-8004000,-15139000,-1371000,-16886000,29408000,-11393000,24566000,-6145000,17956000,-5808000,44000,-16662000,-11624000,-528000,20798000,-11624000,1023000,-10370000
2018-12-31,USD,None,-15017000,-22192000,-1177000,-5299000,-10784000,-1652000,-6887000,13747000,38054000,71030000,-11916000,18613000,-5485000,202000,11875000,27862000,15474000,21015000,38254000,-892000,37162000
2018-09-30,USD,None,11603000,-21519000,-78000,-7471000,-12904000,None,-2736000,28484000,10292000,44715000,-8248000,19802000,-5485000,52000,-2228000,-1137000,4155000,21441000,-8853000,-4443000,5849000
2018-06-30,USD,None,27293000,-23375000,-23000,4367000,-1112000,None,-2692000,30306000,11200000,35687000,-16550000,19673000,-5482000,3000,-1371000,-26780000,-4064000,23352000,-19600000,-7882000,3318000
2018-03-31,USD,None,-7154000,-15800000,-29000,4521000,-2458000,-1652000,-5351000,10482000,-37205000,-18947000,-4815000,20948000,-5474000,147000,-9244000,-29351000,-224000,15771000,-28940000,4904000,-32301000
2017-12-31,USD,None,2629000,-25375000,-1589000,8533000,9472000,6346000,-21129000,5158000,26598000,42501000,-5540000,18700000,-5473000,66000,20300000,-21859000,6455000,23786000,-5201000,3664000,30262000
2017-09-30,USD,None,4128000,-15466000,-147000,9507000,4393000,4216000,-7776000,15220000,6825000,17898000,-5262000,18130000,-5470000,356000,-3944000,-4794000,2378000,15319000,-12752000,7848000,14673000
2017-06-30,USD,None,10590000,-21713000,-353000,15574000,10207000,4216000,10437000,1233000,-3117000,8389000,412000,17833000,-5467000,100000,1655000,10384000,-5318000,21360000,-18016000,-1424000,-4541000
2017-03-31,USD,None,-9933000,-25083000,-38000,-4457000,-11205000,-1364000,-2617000,10974000,-40860000,-4572000,-4213000,17293000,-5459000,75000,-14921000,902000,884000,25045000,-4656000,2451000,-38409000
2016-12-31,USD,None,6099000,-21684000,-469000,-7549000,-12910000,34000,-21899000,15986000,-6903000,27691000,223000,16237000,-5458000,63000,366000,-12697000,9030000,21215000,-20250000,-7525000,-14428000
2016-09-30,USD,None,4907000,-17829000,4095000,12394000,7012000,11000,-13323000,13069000,20145000,29174000,-5830000,18445000,-5457000,64000,-5511000,-4794000,-1040000,21924000,4794000,1788000,20145000
2016-06-30,USD,None,4859000,-205965000,-185853000,206708000,179358000,-5136000,5816000,10367000,7376000,18609000,-84000,17959000,-5454000,185000,-6027000,10384000,2185000,20112000,-10384000,-966000,6410000
2016-03-31,USD,None,-11047000,-8075000,-82000,-10202000,-15374000,66000,-12078000,13316000,-19405000,4044000,-12185000,14820000,-5443000,205000,-1348000,0,1390000,7993000,-902000,3907000,-15498000
2015-12-31,USD,None,4771000,-10317000,-1384000,-4809000,-10132000,21000,10473000,37466000,16243000,36692000,355000,14833000,-5442000,98000,2480000,-404000,-27196000,8933000,3983000,-2910000,13333000
2015-09-30,USD,None,4165000,-9275000,-252000,-32197000,-37563000,None,None,9658000,-4945000,41893000,1338000,14743000,-5441000,75000,-3626000,0,10493000,9023000,5100000,-5749000,-10694000
2015-06-30,USD,None,-5311000,-18759000,-304000,18413000,14687000,342000,None,-2120000,6871000,10943000,8619000,15184000,-5107000,1039000,-4061000,0,-5580000,18455000,4212000,4765000,11636000
