fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,616007000,285745000,None,6532000,295823000,-159414000,51560000,49421000,3000,-447649000,63496000,66834000,3037000,65518000,156259000,57411000,57411000,-114000,108122000,116273000,3729000,-508311000,374000,5484000,4559000,1564000,48380000,None,None,3000,475665000,-447649000,-428000,None,35304000,None,499734000,75719000,4559000,83445000,139564000,None,3682000,None,288774000,616007000,65518000,None,2504588
2020-03-31,USD,610674000,292715000,None,6963000,274228000,-143073000,55905000,33486000,2000,-430731000,68952000,66834000,3023000,75577000,130683000,57944000,57944000,-309000,110438000,101698000,3712000,-498502000,340000,17241000,4507000,1577000,39253000,None,None,2000,474870000,-430731000,-149000,None,35277000,None,508976000,74076000,4507000,83133000,143545000,None,4120000,None,288114000,610674000,75577000,None,2459887
2019-12-31,USD,782500000,347961000,None,7212000,262285000,41396000,69521000,23113000,2000,-244084000,87692000,205606000,276000,54444000,71559000,3550000,3550000,-216000,116190000,77292000,3476000,-508040000,1195000,13994000,33033000,1642000,44896000,None,None,2000,474060000,-244084000,-131000,None,31975000,None,705208000,73780000,33033000,88172000,190726000,None,4131000,None,285825000,782500000,54444000,None,2202580
2019-09-30,USD,421837000,193766000,None,4236000,148779000,66467000,31656000,21291000,26000,-229379000,47896000,61969000,1877000,48378000,56417000,3549000,3549000,-393000,72043000,67321000,3339000,-185627000,None,13351000,25126000,1356000,31577000,None,None,26000,202185000,-229379000,None,None,23399000,None,354516000,21546000,25126000,35580000,92362000,None,3641000,None,296213000,421837000,48378000,None,2614719
2019-06-30,USD,418178000,189742000,None,3875000,142743000,69588000,31750000,16813000,25000,-219965000,51855000,65040000,1542000,53315000,49417000,2933000,2933000,-293000,62546000,74721000,2990000,-181579000,None,16027000,21925000,1504000,29671000,None,None,25000,201822000,-219965000,None,None,23139000,None,343457000,21612000,21925000,39651000,93326000,None,3615000,None,289821000,418178000,53315000,None,2475848
2019-03-31,USD,420106000,192755000,None,3713000,144363000,69968000,31806000,15200000,25000,-216703000,57919000,65112000,1208000,52557000,41005000,2933000,2933000,-483000,54647000,76833000,3400000,-184089000,None,19026000,21672000,1537000,22872000,None,None,25000,201338000,-216703000,None,None,27359000,None,343273000,26163000,21672000,49880000,103358000,None,3810000,None,287129000,420106000,52557000,None,2470293
2018-12-31,USD,379005000,193194000,None,3902000,108726000,65443000,31506000,8739000,24000,-214242000,55303000,59683000,872000,59443000,38246000,2595000,2595000,-498000,47947000,76809000,500000,-183903000,None,12217000,15177000,1202000,26912000,None,None,24000,200847000,-214242000,None,None,872000,None,302196000,None,15177000,23797000,70480000,None,3531000,None,280159000,379005000,59443000,None,2391541
2018-09-30,USD,389818000,196171000,None,3003000,121763000,63050000,27988000,21469000,24000,-214174000,57045000,59487000,11357000,75659000,48150000,1726000,1726000,-252000,31856000,90447000,500000,-188830000,10722000,10564000,16568000,1221000,24955000,63699000,277452000,24000,200578000,-214174000,0,None,11357000,None,299371000,None,16568000,29057000,73613000,None,3778000,None,277452000,389818000,75659000,None,2380705
2018-06-30,USD,138145000,9230000,None,2982000,90331000,41541000,12817000,23999000,21000,-215435000,25911000,13103000,11758000,53257000,53099000,1670000,1670000,-348000,26333000,77221000,500000,24060000,12389000,19753000,11321000,1229000,27430000,42962000,257303000,21000,0,-215435000,0,None,11758000,None,60924000,None,11321000,13094000,37232000,None,4852000,None,257303000,138145000,53257000,None,2109388
2018-03-31,USD,119597000,9472000,None,2971000,82830000,30545000,12852000,14641000,21000,-224281000,32272000,13103000,587000,49955000,39024000,1736000,1736000,-232000,23259000,72676000,500000,12632000,15045000,18613000,11534000,1137000,22647000,32105000,255037000,21000,0,-224281000,0,None,587000,None,46921000,None,11534000,19420000,43806000,None,4662000,None,255037000,119597000,49955000,None,2103353
2017-12-31,USD,114810000,9713000,None,2913000,78742000,30185000,13440000,9846000,21000,-219396000,32466000,12947000,23910000,45556000,36320000,1751000,1751000,-135000,21154000,69746000,500000,12636000,9076000,20211000,9956000,1066000,24723000,30957000,249695000,21000,0,-219396000,0,None,750000,None,45064000,None,9956000,19026000,42422000,None,5111000,None,249695000,114810000,45556000,None,2093556
2017-09-30,USD,84012000,157000,None,1201000,49754000,31862000,11488000,11311000,20000,-210988000,23953000,813000,2100000,55670000,25781000,340000,240000,None,11753000,70159000,500000,32828000,11109000,13288000,20000,0,14130000,32322000,242830000,20000,0,-210988000,0,None,None,630000,13853000,None,20000,12465000,23973000,None,1936000,None,242830000,84012000,55670000,None,2022403
2017-06-30,USD,79465000,166000,None,901000,45003000,32093000,10462000,13472000,20000,-209029000,20991000,813000,1479000,50972000,23936000,337000,413000,None,11752000,66234000,500000,32880000,14000000,14361000,76000,0,10127000,32696000,241102000,20000,0,-209029000,0,None,None,None,13231000,None,76000,10529000,21067000,None,1766000,None,241102000,79465000,50972000,None,2021754
2017-03-31,USD,91154000,0,None,1236000,51278000,37877000,5249000,13266000,20000,-201904000,17513000,0,9169000,53272000,33765000,None,None,None,12194000,69791000,500000,39548000,16000,15267000,0,0,20499000,38205000,239761000,20000,0,-201904000,0,None,None,8669000,21363000,None,None,12264000,17513000,None,1671000,None,239761000,91154000,53288000,None,2017024
2016-12-31,USD,129797000,0,None,1305000,38168000,37377000,4515000,9896000,20000,-200439000,13736000,0,6502000,93843000,24432000,None,None,None,12044000,111251000,500000,38857000,91000,16012000,0,0,14536000,90149000,237796000,20000,0,-200439000,0,None,None,6002000,18546000,None,None,9221000,13736000,None,1480000,None,237796000,129797000,93934000,None,2015589
2016-09-30,USD,125957000,0,None,945000,35648000,34346000,3649000,10091000,20000,-202268000,13960000,0,9454000,89693000,21688000,None,None,None,10834000,105669000,500000,35732000,7153000,7878000,0,0,11597000,88923000,236639000,20000,0,-202268000,-45000,None,4000000,4954000,20288000,None,None,10311000,13960000,None,1386000,None,236639000,125957000,96846000,None,2015599
2016-06-30,USD,126312000,0,None,1377000,37608000,32374000,2381000,11348000,20000,-202668000,13090000,0,7943000,86432000,24518000,3019000,None,None,8756000,109613000,500000,33641000,3147000,168000,0,0,10151000,87437000,235067000,20000,0,-202668000,-45000,None,4000000,3443000,16699000,None,None,10709000,13090000,None,1267000,None,235067000,126312000,89579000,None,2000000
2016-03-31,USD,164799000,0,None,1858000,31997000,30565000,1643000,12050000,20000,-202292000,11401000,0,6592000,122438000,20596000,105000,None,None,6579000,151628000,500000,31684000,2226000,2920000,0,0,8441000,0,0,20000,0,-202292000,-44000,None,4000000,2092000,13171000,None,None,9758000,11401000,None,1119000,None,232881000,164799000,124664000,None,2010067
2015-12-31,USD,166991000,3100000,None,1909000,30115000,32165000,629000,5684000,20000,-202546000,12219000,0,11577000,55956000,17896000,983000,None,None,6550000,148864000,3335000,32405000,81072000,9927000,0,0,11229000,0,0,20000,0,-202546000,-25000,None,4000000,4242000,18127000,None,None,11590000,12219000,None,240000,None,234716000,166991000,137028000,None,2010569
2015-09-30,USD,173821000,0,None,804000,45444000,26091000,344000,6576000,20000,-207673000,13908000,0,9213000,31868000,31536000,13418000,None,None,6464000,158144000,2456000,26377000,116176000,9296000,0,0,11542000,0,0,20000,0,-207673000,-87000,None,4000000,2757000,15677000,None,None,13564000,13908000,None,286000,None,233831000,173821000,148044000,None,2010104
