fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2808975000,None,None,None,1811032000,997943000,14898000,None,65000,-1101998000,7284000,None,14898000,35255000,None,None,None,None,None,None,2680179000,997943000,None,None,None,None,36962000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-03-31,USD,2871058000,None,None,None,1846743000,1024315000,16054000,None,65000,-1075626000,6787000,None,16054000,37301000,None,None,None,None,None,None,2791808000,1024315000,None,978000,1794617000,None,32254000,None,None,None,None,None,None,None,None,None,None,None,1794617000,None,None,None,None,None,2099876000,None,37301000,None,67000000
2019-12-31,USD,3060024000,None,None,None,1844142000,1215882000,16797000,29946000,66000,-902836000,6631000,None,16797000,36310000,51874000,None,None,None,None,76030000,2973113000,1215882000,None,5686000,1785637000,None,38884000,None,None,None,None,None,None,None,None,None,None,None,1785637000,None,None,None,None,None,2118652000,None,36310000,None,67000000
2019-09-30,USD,2892962000,None,None,None,1639570000,1253392000,17693000,30171000,67000,-873177000,7150000,None,17693000,31637000,48292000,None,None,None,None,70509000,2809561000,1253392000,None,269000,1584128000,None,33837000,None,None,None,None,None,None,None,None,None,None,None,1584128000,None,None,None,None,None,2126502000,None,31637000,None,67000000
2019-06-30,USD,2700430000,None,None,None,1409720000,1290710000,18836000,30624000,68000,-850073000,7260000,None,18836000,29210000,52862000,None,None,None,None,61282000,2621672000,1290710000,None,684000,1349598000,None,41028000,None,None,None,None,None,None,None,None,None,None,None,1349598000,None,None,None,None,None,2140715000,None,29210000,None,69000000
2019-03-31,USD,2497797000,None,None,None,1185170000,1312627000,19776000,31040000,69000,-843278000,7086000,None,19776000,36280000,49398000,None,None,None,None,69889000,2413041000,1312627000,None,28364000,1128686000,None,37535000,None,None,None,None,None,None,None,None,None,None,None,1128686000,None,None,None,None,None,2155836000,None,36280000,None,71000000
2018-12-31,USD,2383667000,None,None,None,1067062000,1316605000,20603000,31302000,69000,-1274069000,6666000,None,20603000,29937000,65909000,None,None,None,None,55098000,2307966000,1316605000,None,24192000,994487000,None,7811000,None,None,None,None,None,None,None,None,None,None,None,994487000,None,None,None,None,None,2590605000,None,22654000,None,70000000
2018-09-30,USD,2386792000,None,None,1865000,1015640000,1371152000,12094000,32476000,212000,-1241589000,8271000,None,12094000,19258000,61133000,None,None,None,None,49957000,2324741000,1371152000,None,27647000,946236000,None,3877000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,71000000
2018-06-30,USD,2573371000,None,None,4228000,1182205000,1391166000,13121000,33499000,215000,-1237680000,5309000,None,13121000,12667000,74217000,1102679000,1102679000,None,None,64791000,2495459000,1391166000,None,47095000,1102679000,None,11453000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72000000
2018-03-31,USD,2311810000,None,None,6862000,893724000,1418086000,14137000,32447000,216000,-1218637000,5202000,None,14137000,15333000,98676000,789846000,789846000,-41937000,None,49626000,2248047000,1418086000,None,27012000,789846000,None,41827000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73000000
2017-12-31,USD,2415572000,None,None,5547000,974522000,1441050000,14806000,44805000,218000,-1475344000,5203000,None,2376002000,12222000,95070000,875165000,875165000,-50800000,None,48204000,2352562000,1441050000,None,28013000,875165000,None,49349000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,73000000
