fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-05-31,USD,2079000000,6000000,None,219000000,1176400000,902600000,88000000,29900000,45300000,706000000,122400000,115700000,59600000,424700000,383100000,None,None,-327300000,135700000,1438700000,17800000,780900000,None,171900000,600000000,623100000,353200000,None,None,45300000,None,706000000,None,None,382900000,None,640300000,70900000,600000000,105300000,793300000,None,None,None,478600000,2079000000,424700000,-246500000,None
2020-02-29,USD,1828900000,12000000,None,245900000,899500000,929400000,101300000,40400000,45300000,725100000,128200000,116500000,80900000,64900000,485300000,None,None,-322500000,136700000,1158100000,None,800900000,None,225700000,206000000,621600000,444900000,None,None,45300000,None,725100000,-282600000,None,405600000,None,670800000,80000000,206000000,106900000,414200000,None,None,None,481500000,1828900000,64900000,None,35000000
2019-11-30,USD,1754900000,12600000,None,141000000,833200000,921700000,122500000,41900000,45300000,725400000,146600000,116800000,89600000,38200000,406500000,None,None,-40000000,238100000,1072200000,None,792300000,None,132500000,196100000,580400000,231400000,None,None,45300000,None,725400000,-287700000,None,89600000,None,682700000,84000000,196100000,24100000,426700000,None,None,None,478700000,1754900000,52700000,None,35000000
2019-08-31,USD,1683100000,13000000,None,109000000,773600000,909500000,75600000,54900000,45300000,713800000,100300000,115800000,81800000,39900000,396400000,None,None,-40800000,225700000,1021600000,None,780700000,None,121600000,202200000,553600000,212800000,None,None,45300000,None,713800000,-284800000,None,81800000,None,661500000,74700000,202200000,24700000,377200000,None,None,None,476000000,1683100000,58000000,None,35000000
2019-05-31,USD,1517200000,22200000,None,101500000,611300000,905900000,None,29200000,45300000,709800000,112100000,116200000,77500000,21300000,357500000,None,None,-40900000,132800000,952500000,12300000,767500000,None,197800000,141700000,523700000,187800000,None,None,45300000,None,709800000,-287700000,None,37800000,None,564700000,0,141700000,28300000,253800000,None,None,None,479400000,1517200000,41100000,-231800000,35000000
2019-02-28,USD,1546500000,24400000,None,190700000,647100000,899400000,89000000,26000000,45300000,689600000,110300000,117400000,67500000,50400000,359600000,None,None,-310300000,134400000,993400000,None,757600000,None,237600000,177200000,514700000,333600000,None,None,45300000,None,689600000,-278500000,None,276900000,None,553100000,None,177200000,21300000,287500000,None,None,None,474800000,1546500000,50400000,None,35000000
2018-11-30,USD,1604200000,25200000,None,286400000,668600000,935600000,10500000,24600000,45300000,729600000,105500000,116600000,85800000,40700000,344200000,None,None,-310100000,133400000,1040700000,None,793800000,15000000,218600000,218900000,495000000,319600000,0,470800000,45300000,0,729600000,-277500000,None,288300000,None,563500000,None,218900000,95000000,324400000,None,None,None,470800000,1604200000,40700000,None,35000000
2018-08-31,USD,1537800000,26500000,None,278900000,608700000,929100000,11000000,24700000,45300000,725200000,84500000,118100000,90700000,44800000,315100000,209100000,209100000,-311200000,132500000,982400000,None,784500000,22100000,191000000,209100000,467700000,290400000,0,469800000,45300000,0,725200000,-279000000,None,278300000,None,555400000,None,209100000,73500000,293600000,None,None,None,469800000,1537800000,44800000,None,35000000
2018-05-31,USD,1524700000,27800000,None,238400000,588400000,936300000,15700000,25000000,45300000,733200000,77900000,118700000,100700000,41600000,333300000,177200000,177200000,-32000000,133200000,942700000,7600000,789800000,10500000,202000000,177200000,460700000,308300000,0,470500000,45300000,0,733200000,-280700000,None,302300000,None,582000000,None,177200000,62200000,255100000,None,None,None,470500000,1524700000,41600000,-214400000,35000000
2018-02-28,USD,1512200000,28200000,None,223500000,597000000,915200000,13700000,26500000,45300000,723800000,62400000,119600000,259700000,34600000,326600000,100000,100000,-318000000,135300000,933600000,None,767400000,10700000,203400000,194300000,472100000,300000000,0,464100000,45300000,0,723800000,-282400000,None,295500000,None,578600000,None,194300000,62400000,270400000,None,None,None,464100000,1512200000,34600000,None,35000000
