fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-05-31,USD,-4800000,-108600000,-4800000,500000,395800000,391900000,-1300000,21300000,-16500000,359900000,-27200000,18700000,10900000,-2600000,0,3500000,49400000,-1100000,5300000,49400000,None,359900000
2020-02-29,USD,-8300000,74000000,-8300000,-200000,10000000,11500000,4100000,-32600000,2300000,12200000,9000000,-16400000,11000000,-2600000,0,-41200000,-23600000,5200000,8100000,-23600000,None,12200000
2019-11-30,USD,-8200000,17700000,-8200000,-2500000,-5000000,-11700000,3000000,5400000,14200000,-5300000,14500000,30200000,11000000,-2600000,-4100000,-26800000,-10400000,3500000,5700000,-10400000,None,-5400000
2019-08-31,USD,-3500000,24800000,-3500000,1000000,60000000,52800000,-4300000,-55900000,4400000,16900000,-32400000,-24500000,10800000,-2900000,-4300000,-30000000,-600000,16800000,4500000,-600000,None,16900000
2019-05-31,USD,-5200000,-10100000,-5200000,-100000,-35000000,-46900000,-1400000,-1100000,22800000,-9300000,42900000,-2000000,11500000,-2600000,-9500000,-9100000,38900000,13700000,5100000,38900000,None,-9200000
2019-02-28,USD,-4400000,44800000,-4400000,-100000,-42000000,-46000000,-700000,47100000,-37400000,9600000,60000000,38200000,10800000,-2600000,-700000,-19700000,-21200000,7100000,4300000,-21200000,None,9600000
2018-11-30,USD,None,30200000,-4400000,-600000,10000000,8900000,-200000,4400000,7000000,-4000000,-8500000,15000000,10400000,-2600000,1700000,-27600000,-45700000,17600000,3800000,-31400000,None,-4000000
2018-08-31,USD,None,-24500000,-5000000,-800000,32000000,35300000,-500000,-33600000,15100000,3300000,-27000000,-4400000,10100000,-2700000,6500000,-24500000,-19800000,14300000,4200000,-20700000,None,3300000
2018-05-31,USD,-7300000,13300000,-5900000,5000000,-17000000,-18400000,-400000,-9700000,12000000,7100000,31400000,-10600000,9100000,-2600000,1600000,10900000,700000,-16200000,3600000,700000,None,7100000
2018-02-28,USD,-7300000,19100000,-4200000,-3700000,-21000000,-31100000,-500000,200000,15600000,7500000,42800000,-25100000,-1800000,-2500000,-7100000,-21000000,35200000,-86300000,500000,38500000,None,7500000
2017-11-30,USD,7300000,14100000,-25900000,-23500000,27800000,27200000,-700000,200000,-22600000,12000000,10700000,-16600000,15600000,-2600000,2700000,-26500000,0,36600000,9700000,9900000,None,12000000
2017-08-31,USD,-7300000,-36700000,-6900000,1300000,34000000,32300000,-400000,-48000000,10600000,4800000,-20600000,-11800000,17600000,-2600000,1300000,10800000,0,2100000,8200000,-13200000,None,4800000
2017-05-31,USD,None,-11900000,-17300000,-11700000,-13000000,-15500000,8500000,-103700000,21200000,200000,33000000,-6800000,17500000,-2500000,-8500000,-6800000,-14700000,18200000,5600000,13800000,None,200000
2017-02-28,USD,7300000,-11800000,-9100000,15200000,10000000,6200000,-900000,-37800000,13700000,-12900000,-10000000,-49800000,18600000,-2500000,-400000,-6000000,0,-7800000,9100000,11900000,None,-12900000
2016-11-30,USD,200000,41700000,2900000,12200000,12000000,12400000,-900000,-24800000,12100000,15200000,-100000,-8600000,18000000,-2600000,3900000,-9000000,0,7500000,9500000,-39400000,-100000,15100000
2016-08-31,USD,-200000,-21000000,-6600000,3000000,2000000,-15200000,200000,-18000000,9500000,-22900000,-1100000,-17300000,16900000,-2600000,-14800000,3000000,9700000,-2700000,9400000,9700000,-400000,-23300000
2016-05-31,USD,None,-700000,-10900000,41800000,-50700000,-54400000,300000,-36800000,12000000,-19300000,46000000,-31800000,16200000,-2600000,-1400000,14000000,-2200000,7000000,14200000,8000000,100000,-19200000
2016-02-29,USD,18200000,-17600000,-29200000,-3800000,25000000,15100000,1500000,None,4800000,-12100000,2000000,8100000,18700000,-2600000,-8800000,-14900000,0,6800000,43600000,900000,-300000,-12400000
2015-11-30,USD,17800000,7200000,1900000,-300000,-9600000,-15400000,-300000,None,8000000,34300000,47800000,9500000,17900000,-2600000,-2900000,-3300000,0,None,15600000,16500000,-200000,34100000
2015-08-31,USD,2500000,-21600000,21300000,33800000,24700000,16300000,-100000,None,22900000,-26100000,-63700000,4000000,18000000,-2600000,-5700000,-22200000,0,-400000,15000000,-41500000,100000,-26000000
2015-05-31,USD,44300000,8500000,713100000,691400000,-526800000,-674800000,-800000,59100000,15100000,-13700000,-52000000,29100000,25700000,-3100000,-144100000,27300000,-6500000,-178200000,22600000,20500000,1400000,-12300000
