fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-05-31,USD,416500000,49400000,380100000,-380100000,-432700000,-16500000,None,None,-435500000,None,47300000,-3200000,-429500000,None,2800000,-4000000,200000,-2600000,None,2100000,None,-4000000,-3400000,-1500000,-431500000,-16500000,None
2020-02-29,USD,553100000,60000000,487800000,-487800000,-547900000,2300000,None,None,-550300000,None,58100000,-100000,-547800000,None,2400000,200000,100000,-2300000,-300000,1900000,None,200000,-200000,-300000,-550500000,2300000,None
2019-11-30,USD,560900000,532800000,475000000,85900000,39000000,14200000,None,None,26100000,None,57100000,-100000,28100000,None,1900000,6000000,100000,-1800000,-5900000,700000,None,6000000,-200000,-5900000,20100000,14100000,None
2019-08-31,USD,541500000,518700000,459900000,81600000,33500000,4400000,None,None,20500000,None,58100000,-100000,22800000,None,2200000,3400000,100000,-2100000,-12700000,700000,None,3400000,-200000,-12700000,17100000,4300000,None
2019-05-31,USD,562700000,533400000,468000000,94700000,40600000,22800000,None,None,26800000,None,63300000,600000,29300000,None,2300000,200000,200000,-2100000,-6100000,27500000,None,200000,-400000,-3800000,26600000,22800000,None
2019-02-28,USD,529500000,55500000,444200000,-444200000,-500100000,-37400000,0,None,-502700000,None,54800000,-400000,-499700000,None,2600000,-600000,200000,-2400000,-60100000,700000,None,-600000,-600000,-64800000,-502100000,-37400000,None
2018-11-30,USD,493300000,36700000,415000000,-415000000,-451800000,7000000,0,None,-454300000,None,49100000,-100000,-451700000,None,2500000,None,None,None,None,-12400000,None,3000000,-2900000,-4200000,-457300000,7000000,None
2018-08-31,USD,466300000,48800000,395100000,-395100000,-443000000,15100000,0,None,-445100000,None,48800000,900000,-443900000,None,2100000,None,None,None,None,None,None,2300000,-1500000,-3800000,-447400000,15100000,None
2018-05-31,USD,403100000,1200000,323100000,80000000,78800000,12100000,0,0,76700000,0,55400000,None,78800000,0,2100000,None,None,None,0,0,0,22400000,-1500000,-42200000,54300000,12100000,None
2018-02-28,USD,456300000,53900000,378700000,77600000,23700000,15500000,0,0,21500000,0,53900000,None,23700000,0,2200000,None,None,None,0,0,0,-9800000,-3800000,-15800000,31300000,15500000,None
2017-11-30,USD,449700000,106400000,377200000,72500000,-33800000,-22600000,0,0,-35800000,0,52200000,100000,-33900000,54200000,2000000,None,None,None,0,0,0,-13300000,0,-100000,-22500000,-22600000,None
2017-08-31,USD,439200000,48000000,374700000,64500000,16500000,10600000,0,0,14800000,0,48000000,None,16500000,0,1700000,None,None,None,0,0,0,4200000,0,-15800000,10600000,10600000,None
2017-05-31,USD,492300000,58200000,412500000,79800000,21400000,21200000,0,0,19900000,0,58200000,-200000,21600000,0,1500000,None,None,None,0,0,0,5000000,-5200000,10900000,14900000,21200000,None
2017-02-28,USD,446700000,47400000,377700000,69000000,21700000,13700000,0,0,20200000,0,47400000,100000,21600000,0,1500000,None,None,None,0,0,0,6900000,0,600000,13300000,13700000,None
2016-11-30,USD,423800000,46300000,357600000,66200000,20000000,12100000,0,0,18800000,0,46300000,100000,19900000,0,1200000,None,None,None,0,0,0,6700000,0,3000000,12100000,12100000,None
2016-08-31,USD,404800000,44800000,343300000,61500000,16700000,9500000,0,0,15400000,0,44800000,None,16700000,0,1300000,None,None,None,0,0,0,5500000,0,-400000,9900000,9500000,None
2016-05-31,USD,458200000,46300000,394000000,64200000,18000000,12000000,0,0,16800000,0,46300000,100000,17900000,0,1200000,None,None,None,0,0,0,5700000,-6600000,800000,11100000,12000000,None
2016-02-29,USD,402800000,42600000,344500000,58300000,15800000,4800000,0,0,14100000,0,42600000,100000,15700000,0,1700000,None,None,None,0,0,0,3400000,0,-5900000,10700000,4800000,None
2015-11-30,USD,423800000,42500000,363900000,59900000,17300000,8000000,0,0,15800000,0,42500000,-100000,17400000,0,1500000,None,None,None,0,0,0,5300000,0,-2400000,10500000,8000000,None
2015-08-31,USD,377800000,39400000,323300000,54500000,14900000,22900000,0,0,12900000,0,39400000,-200000,15100000,0,2000000,None,None,None,0,0,0,4400000,0,14700000,8500000,22900000,None
2015-05-31,USD,255000000,37700000,299600000,-44600000,-128400000,15100000,0,0,-129300000,0,37700000,-46100000,-82300000,0,900000,None,None,None,0,0,0,-43600000,-96300000,101200000,-85700000,15100000,None
