fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,51322000,3475000,None,None,4543000,46779000,None,None,1000,-46006000,85000,3700000,203000,28593000,4458000,None,None,16000,2211000,41733000,None,39604000,6520000,4587000,None,871000,2258000,None,None,None,None,None,None,None,203000,None,9589000,None,None,None,85000,None,None,None,None,None,None,None,None
2020-03-31,USD,52342000,3633000,None,None,5107000,47235000,None,None,1000,-45270000,61000,3700000,218000,22533000,5046000,None,None,-7000,2140000,42651000,None,39902000,11016000,7016000,None,996000,3568000,None,None,None,None,None,-4849000,None,218000,None,9691000,None,None,None,61000,None,None,None,97360000,None,33549000,None,10000000
2019-12-31,USD,54726000,3797000,None,None,6822000,47904000,None,85000,1000,-44068000,63000,3700000,10000,13197000,6759000,None,None,8000,2108000,45111000,None,40407000,21686000,7656000,None,1193000,3838000,None,None,None,None,None,-4659000,None,10000,None,9615000,None,None,None,63000,None,None,None,96622000,None,34883000,None,10000000
2019-09-30,USD,55140000,3961000,None,None,7521000,47619000,None,127000,1000,-44131000,84000,3700000,601000,12871000,7437000,None,None,13000,1791000,45087000,None,39958000,21001000,8564000,None,1265000,4447000,None,None,None,None,None,-4231000,None,601000,None,10053000,None,None,None,84000,None,None,None,95967000,None,33872000,None,10000000
2019-06-30,USD,55802000,4124000,None,None,8182000,47620000,None,71000,1000,-43996000,172000,3700000,229000,13641000,8010000,None,None,12000,1707000,46042000,None,39796000,20572000,9722000,None,1095000,5537000,None,None,None,None,None,-3625000,None,229000,None,9760000,None,None,None,172000,None,None,None,95228000,None,34213000,None,10000000
2019-03-31,USD,52643050,4287960,None,None,6597280,46045770,None,81332,1000,-44657620,214152,3700450,207450,11747420,6383130,None,None,-1010,1382330,43064860,None,38057363,21137627,7980630,None,1283060,4640622,None,None,None,None,None,-3624810,None,207449,None,9578185,None,None,None,214152,None,None,None,94328210,None,32885050,None,10000000
2018-12-31,USD,52907112,4451723,None,None,7759780,45147332,None,81332,995,-44994061,248960,3700447,269136,13620656,7510820,None,None,-11141,1400591,43085215,None,36995162,20168981,7013220,None,1351104,4136943,None,None,None,None,None,-3431530,None,None,None,None,None,None,None,None,None,None,None,93583070,None,33789640,None,10000000
2018-09-30,USD,51338563,4620213,None,876000,7646231,43692332,0,81332,991,-46268620,277044,3700447,339000,13064656,7369187,333333,333333,-6434,1366309,41312594,None,35371672,18765236,7388688,0,1217831,3879235,0,0,0,0,0,-3094000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000
2018-06-30,USD,50615698,4789559,None,639000,7575230,43040468,0,81332,975,-46705879,310186,3700447,338121,13259357,7265044,666667,666667,-9920,1423211,40364360,None,34550462,18817655,6854651,0,793874,3975266,0,0,0,0,0,-2580000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9000000
2018-03-31,USD,53224825,4958905,None,1182000,8427085,44797740,0,1081332,966,-43515532,329745,3700447,288132,15462507,8097340,1000000,1000000,-21043,1418657,42858684,None,36138388,17515408,8180047,0,518688,4215806,0,0,0,0,0,-2037000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9000000
2017-12-31,USD,56298000,8828000,None,610000,10073000,46225000,0,4428000,1000,-42409741,335000,3700000,9178000,15026000,9730000,1333333,1333333,-16907,1037000,46082607,None,37396281,21287000,8418132,0,742000,3969000,0,0,0,0,0,-1257000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000
