fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,4265000,-1285000,4265000,None,None,-397000,None,718000,-736000,6060000,2192000,None,278000,None,-418000,125000,2429000,663000,234000,None,None,None
2020-03-31,USD,10533000,-291000,10533000,10648000,None,-120000,None,-1207000,-1202000,9511000,-902000,None,286000,None,-190000,197000,640000,675000,115000,None,None,None
2019-12-31,USD,-777000,-608000,-777000,-1186000,None,-372000,None,207000,63000,326000,1475000,None,284000,None,-428000,72000,908000,549000,151000,None,None,None
2019-09-30,USD,-1005000,-926000,-1005000,-560000,None,-416000,None,-38000,-135000,-770000,651000,None,268000,None,-606000,-170000,1158000,494000,640000,None,None,None
2019-06-30,USD,435874,727321,435874,-195000,None,358399,None,583999,662000,1893236,1098963,None,254849,None,278,187956,-1741589,424870,245874,None,None,None
2019-03-31,USD,-1035874,503679,-1035870,-876750,None,37600,None,-1594999,336440,-1873240,-874960,None,177390,None,37600,68044,-967411,438130,159130,None,None,None
2018-12-31,USD,-1301182,257708,-1539050,1325440,-333333,-522123,-375000,196277,1274559,556000,2617173,None,332825,None,-1409160,-133273,375468,313609,237868,None,None,None
2018-09-30,USD,96949,-96031,-2243,0,-333334,-530489,None,259503,437259,-194701,338031,None,325440,0,0,-423957,-534037,369854,99192,None,None,None
2018-06-30,USD,-1246131,-114738,-1395723,0,-333333,-1055343,-375000,1198540,-3190347,-2203150,247916,None,314384,0,0,-275186,963327,1351936,149592,None,None,None
2018-03-31,USD,3775800,246723,3272586,0,-333333,-1009541,-375000,-2072463,-1105791,436439,-1826606,None,290763,0,0,222869,238085,353208,503214,None,None,None
2017-12-31,USD,-21212486,424000,-27824279,0,-1388563,-2056400,1000,-117411,592000,-30135335,-254656,None,1017633,0,15000000,-161972,-2678746,646386,263000,None,None,None
2017-09-30,USD,-18441161,-205728,-24985813,0,-333334,-1016568,1000,-60401,234000,-18417345,-993375,None,0,0,0,30265,1969507,236663,196000,None,None,None
2017-06-30,USD,-18441161,39699,-6518661,0,-333333,-284420,1000,923006,314970,-5276306,-1775330,None,0,0,0,29655,2358425,187910,170000,None,None,None
2017-03-31,USD,-18441161,-1405204,-119312,0,-388563,-64131,1000,-75203,385000,-3302105,-3118662,None,0,0,0,38000,2357941,83309,119000,None,None,None
2016-12-31,USD,-21212486,1899000,-275649,0,-1624999,35432000,-3478436,597007,1101000,39825490,4669000,None,868697,0,15000000,-27082,-1422998,1381433,276000,None,None,None
2016-09-30,USD,None,1252000,-275649,0,-406838,9798000,None,-121328,1183000,11566206,1968000,None,0,0,0,15000,2034467,111871,276000,None,None,None
2016-06-30,USD,None,427000,-47030,0,-405621,-985265,None,-176494,1311000,1222740,956000,None,0,0,0,43000,888337,-298180,47000,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,139000,None,None,None,None,None,None,73000,53000,None,41000,None,None,None
2015-12-31,USD,-21212486,1176000,-4132854,-4000000,3726825,4029000,-3478436,749729,-2715296,1745168,1849000,None,472747,None,302372,-119733,210000,2952320,133000,None,None,None
2015-09-30,USD,None,None,None,None,None,None,None,None,1000,None,None,None,None,None,None,None,None,None,0,None,None,None
2015-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
