fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-231000,281000,-231000,None,-614000,1534000,2003000,-12000,-1584000,574000,-729000,1351000,706000,None,145000,-4051000,2413000,155000,231000,2413000,None,574000
2020-03-31,USD,-78000,1197000,-78000,None,-86000,592000,-161000,-249000,1058000,200000,-314000,-1486000,686000,None,839000,-1162000,-1033000,426000,78000,-1033000,None,200000
2019-12-31,USD,-367000,-1190000,-367000,None,-780000,2486000,3379000,-491000,-1261000,961000,-1158000,58000,917000,None,-113000,1706000,-1696000,308000,367000,-1696000,None,961000
2019-09-30,USD,-318000,-445000,-318000,None,-2033000,-2469000,-436000,-182000,187000,-1024000,1763000,160000,630000,None,800000,-189000,1396000,24000,318000,1396000,None,-1024000
2019-06-30,USD,-133000,1232000,-133000,None,1286000,813000,-473000,-160000,-735000,915000,235000,-45000,789000,None,800000,-1476000,322000,148000,49000,322000,None,915000
2019-03-31,USD,54000,-430000,54000,84000,-265000,104000,-431000,-514000,-923000,-1570000,-1728000,8000,666000,None,800000,364000,-1669000,256000,30000,-1669000,None,-1570000
2018-12-31,USD,5472000,1172000,4714000,-123000,-4358000,-4149000,-791000,112000,-6579000,1095000,530000,3090000,766000,None,1000000,2231000,606000,-756000,635000,606000,None,1095000
2018-09-30,USD,None,-379000,-413000,-72000,-828000,-1568000,-495000,-901000,-1477000,-1283000,698000,-317000,706000,None,-245000,630000,1152000,693000,341000,883000,None,-1283000
2018-06-30,USD,None,0,-200000,None,169000,504000,-125000,-901000,0,512000,208000,None,721000,None,None,-996000,1152000,2619000,117000,None,None,None
2018-03-31,USD,None,78000,-308000,-164000,2179000,2875000,-369000,-226000,-1468000,785000,-1782000,184000,788000,None,1065000,-733000,-1025000,353000,144000,-1025000,None,785000
2017-12-31,USD,None,-3117000,1761000,3275000,-6132000,1551000,-50000,241000,-22551000,-674000,-3986000,None,3396000,None,7733000,905000,1004000,12785000,1514000,None,None,None
2017-09-30,USD,None,-2671000,-550000,-241000,-2040000,4890000,-832000,-970000,-2880000,-18000,-4358000,99000,698000,None,7762000,347000,-133000,182000,309000,-133000,None,-18000
2017-06-30,USD,None,-539000,-447000,-238000,4546000,4126000,-420000,374000,-1972000,-617000,-4296000,879000,1050000,None,7762000,-1457000,-2424000,167000,209000,-2424000,None,-617000
2017-03-31,USD,4260000,-845000,3926000,-245000,-3018000,-5087000,-2069000,-194000,-1154000,-261000,900000,53000,1087000,None,7762000,1719000,578000,-538000,89000,578000,None,-261000
2016-12-31,USD,None,4495000,-924000,708000,-1426000,2391000,-1433000,287000,-15623000,775000,-692000,None,4626000,None,4587000,-2902000,4616000,2860000,1632000,None,None,None
2016-09-30,USD,None,1408000,-362000,-250000,2802000,2135000,-667000,None,-2047000,538000,-1235000,307000,1532000,None,None,-2549000,3730000,-1316000,112000,1430000,None,538000
2016-06-30,USD,None,-258000,615000,1489000,-2017000,564000,-2669000,None,-252000,390000,-789000,-60000,1382000,None,5250000,-14000,2300000,-37000,874000,-1550000,None,390000
2016-03-31,USD,None,1304000,-567000,-212000,145000,-493000,-638000,None,-1430000,-160000,900000,272000,1394000,None,None,-3826000,3850000,-664000,355000,3850000,None,-160000
2015-12-31,USD,None,3593000,-8560000,-6996000,13495000,8565000,-462000,-737000,-832000,-889000,-894000,None,4352000,-4468000,4587000,-8412000,91000,23000,1564000,None,None,None
2015-09-30,USD,None,5539000,-2226000,-1630000,4279000,3028000,2083000,None,337000,-423000,-1225000,-34000,1413000,-3334000,None,-5856000,None,-589000,596000,-2035000,None,-423000
2015-06-30,USD,None,-536000,-429000,-201000,2102000,397000,-1699000,None,-601000,-1244000,-1212000,-145000,1280000,-2200000,None,-2112000,1921000,183000,228000,719000,None,-1244000
