fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,8494000,1906000,7880000,614000,-1156000,-1584000,None,None,-1584000,None,None,136000,-1292000,None,428000,0,None,-428000,None,None,None,None,136000,None,-1584000,-1584000,None
2020-03-31,USD,13447000,2262000,11266000,2181000,24000,1058000,None,None,-356000,None,None,105000,-81000,None,380000,-1414000,-380000,-380000,None,None,None,-1414000,105000,None,1058000,1058000,None
2019-12-31,USD,13330000,2697000,11616000,1714000,-480000,-1261000,None,None,-1251000,None,2697000,503000,-983000,None,771000,15000,-771000,-771000,5000,None,None,15000,228000,5000,-1266000,-1261000,None
2019-09-30,USD,13997000,1808000,11034000,2963000,1255000,187000,None,None,420000,None,1808000,100000,1155000,None,835000,22000,-835000,-835000,-211000,None,None,22000,100000,-211000,398000,187000,None
2019-06-30,USD,13368000,1972000,11177000,2191000,257000,-735000,None,None,-735000,None,1972000,38000,219000,None,992000,None,-992000,-992000,None,None,None,None,38000,-211000,-735000,-735000,None
2019-03-31,USD,13878000,2062000,11604000,2274000,-32000,-923000,None,None,-995000,None,2062000,31000,-63000,275000,963000,0,-963000,-963000,72000,None,None,None,31000,72000,-995000,-923000,None
2018-12-31,USD,5644000,1347000,7467000,-260000,-5607000,-6579000,0,0,-7057000,0,1601000,101000,-5708000,-573000,1450000,None,None,None,-2283000,495000,0,1000,-3885000,479000,-7058000,-6579000,None
2018-09-30,USD,11043000,1975000,9683000,1360000,-527000,-3130000,0,0,-1360000,0,1975000,88000,-615000,0,833000,None,None,None,0,0,0,0,-745000,-1770000,-1360000,-3130000,None
2018-06-30,USD,17380000,2901000,13506000,2311000,1046000,185000,0,0,185000,0,1975000,73000,973000,0,861000,None,None,None,0,0,0,-2000,760000,-1770000,185000,185000,None
2018-03-31,USD,12242000,2616000,10239000,2003000,-597000,-1468000,0,0,-1374000,0,3097000,16000,-613000,2616000,777000,None,None,None,0,0,0,2000,-760000,-92000,-1376000,-1468000,None
2017-12-31,USD,16632000,38273000,17070000,442000,-7491000,-20153000,0,0,-14299000,0,4092000,None,-6521000,0,1610000,None,None,None,0,6195000,0,2000,-8707000,-4562000,-13675000,-21681000,None
2017-09-30,USD,17278000,3038000,15121000,2157000,-974000,-2880000,0,0,-2851000,0,2507000,-93000,-881000,3038000,1877000,None,None,None,0,0,0,29000,-128000,-3924000,-2880000,-2880000,None
2017-06-30,USD,17084000,4117000,14165000,2919000,-1296000,-1972000,0,0,-2171000,0,2691000,-98000,-1198000,4117000,875000,None,None,None,0,0,0,-199000,-1130000,2708000,-1972000,-2736000,764000
2017-03-31,USD,16153000,3221000,13451000,2702000,-261000,-1154000,0,0,-1154000,0,3221000,258000,-519000,3221000,893000,None,None,None,0,0,0,0,258000,-700000,-1154000,-1154000,None
2016-12-31,USD,16658000,61456000,18053000,4269000,-10135000,-15623000,0,0,-12766000,0,4613000,None,-10135000,0,825000,None,None,None,0,6195000,0,4214000,-2631000,-756000,-14867000,-15623000,None
2016-09-30,USD,15710000,4298000,13713000,1997000,-2477000,-2047000,0,0,-3367000,0,-4000,-172000,-2305000,4302000,894000,None,None,None,0,0,0,-1320000,0,0,-2047000,-2299000,252000
2016-06-30,USD,19363000,4161000,15208000,4155000,-27000,-252000,0,0,-399000,0,-21000,None,-27000,4182000,372000,None,None,None,0,0,0,-126000,0,0,-273000,-334000,82000
2016-03-31,USD,15184000,4402000,12363000,2821000,-1591000,-1430000,0,0,-2096000,0,-10000,None,-1591000,4412000,505000,None,None,None,0,0,0,-656000,0,0,-1440000,-1430000,None
2015-12-31,USD,23498000,79718000,17911000,17281000,724000,-1169000,0,0,-1118000,0,4677000,None,160000,0,517000,None,None,None,0,98000,0,233000,-1842000,-756000,-832000,-1169000,None
2015-09-30,USD,21076000,4116000,16898000,4178000,26000,337000,0,0,-425000,0,-36000,None,26000,4152000,451000,None,None,None,0,0,0,-726000,0,0,301000,337000,None
2015-06-30,USD,19057000,3771000,15160000,3897000,72000,-601000,0,0,-472000,0,-54000,None,72000,3825000,544000,None,None,None,0,0,0,183000,0,0,-472000,-601000,None
