fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,153150000,878000,None,7453000,128649000,23501000,None,None,756000,22927000,1107000,4227000,626000,7095000,60158000,None,37249000,-630000,38366000,103620000,5433000,18396000,2845000,10274000,53703000,63879000,7722000,None,None,None,None,None,None,None,626000,None,49530000,8433000,None,1435000,68491000,None,None,None,None,None,None,None,None
2020-03-31,USD,151427000,749000,None,5279000,120336000,24006000,579000,8647000,756000,23768000,1067000,4227000,609000,16656000,67746000,42684000,42684000,-537000,5272000,98486000,6023000,25110000,1677000,14251000,43136000,60623000,25290000,None,None,756000,None,23768000,-2617000,None,36670000,None,52941000,8647000,43136000,1402000,43715000,None,6080000,None,2636000,151427000,18333000,None,2881853
2019-12-31,USD,158375000,826000,None,7302000,126784000,22388000,1604000,1134000,756000,23180000,2195000,4227000,740000,22613000,76367000,91499000,51504000,-420000,4172000,117208000,6919000,25525000,1845000,17332000,39995000,68116000,23729000,None,None,756000,None,23180000,-2157000,None,24762000,None,261000,8913000,39995000,8818000,10422000,None,8190000,None,1029000,158375000,24458000,None,2912599
2019-09-30,USD,142657000,898000,None,9232000,109310000,26315000,None,11422000,756000,23610000,631931,4227000,1145000,28554000,56118000,75380000,29836000,-461000,4310000,99073000,4831000,27190000,1423000,19494000,45544000,40370000,14860000,None,None,756000,None,23610000,None,None,7518000,None,781000,7577000,45544000,7648000,7648000,None,6000000,None,2410000,142657000,29977000,None,3022745
2019-06-30,USD,133650942,1161111,None,8036080,112663135,19941880,None,10880542,753770,17970387,773495,4417605,999069,16196626,60391189,64060061,27774151,-411479,32806038,88916032,5351087,14363164,1752727,23723077,36285910,36528777,13296498,None,None,753770,None,17970387,None,None,398766,None,44734910,10558383,36285910,1229495,52271946,None,6685000,None,1629200,133650942,17949350,None,3015087
2019-03-31,USD,115142137,998000,None,8875604,86308373,24358392,None,1520000,505657,21191126,596598,4417605,2134000,19089529,52794010,24735224,24735224,-205086,25164497,71348113,311000,25416787,1760052,19727022,32917765,29967037,27135384,None,None,505657,None,21191126,None,None,463892,None,547987,None,32917765,596598,32917765,None,5476000,None,2866695,115142137,20849581,None,2022637
2018-12-31,USD,116903386,1271688,None,33533857,91587857,23275584,None,47000,506084,18694300,1557314,4417605,1471436,9438458,56572672,66799117,33437246,-120284,4904741,71616212,311000,20584452,2457609,20420083,33457871,39585915,23776506,None,None,506084,None,18694300,None,None,562430,None,11467464,None,33361870,1012234,1012234,None,2998161,None,4195484,116903386,11896067,None,2024331
2018-09-30,USD,117713811,1347606,None,10555411,89364504,26704245,689655,1550312,511152,22075937,1464701,4417605,1480737,6693576,43776794,15242526,15242526,-70677,37071213,64543095,8510936,27939801,2341786,21055172,44123009,29450138,28534268,25766145,4187833,511152,0,22075937,0,None,687973,None,47617728,None,44123009,775046,45587710,None,2583162,None,4187833,117713811,9035362,None,2044614
2018-06-30,USD,97114952,1371561,None,15029558,67596210,27977053,681000,1523000,510901,23418334,1400252,4417605,3455398,6884843,34873860,40866830,9544732,-124051,19417752,60059453,5238982,30422616,1055075,21554865,31322098,27619851,26048380,27073179,4171869,510901,0,23418334,0,None,314026,None,24970760,None,None,None,681000,None,2445563,None,4171869,97114952,7939918,None,2043607
2018-03-31,USD,97146886,1312472,None,2114196,70910863,25117851,0,2669019,510901,20695981,877797,4417605,3088488,6308302,31177806,48084950,9229690,-260900,20273171,61671108,6370188,21380713,290449,18727156,38855260,34231005,22825913,24243084,4171869,510901,0,20695981,0,None,3102342,None,35475778,None,None,None,None,None,1992939,None,4171869,97146886,6598751,None,2043607
2017-12-31,USD,80011851,5575000,None,6043326,54868256,23928735,0,8113000,510696,19137023,2375000,4417605,11624000,8875457,20188384,2500000,2500000,117580,18138660,50249738,2495072,21508689,1363540,17725269,32304523,19667205,17688384,23146036,4163436,510696,0,19137023,0,None,3625487,155302,26337054,None,32304523,2375349,34679872,None,1997559,None,4163436,80011851,10238997,None,2042789
2017-09-30,USD,70463941,1225163,None,12017841,45295414,24152920,81566,9207000,510696,19851437,2131000,4418000,10781000,2249288,22835064,21872748,21872748,-381199,12675063,47007900,1966791,24723781,2210389,21055093,20247000,18131734,21210064,23372503,4171986,510696,0,19851437,0,None,899370,None,14799596,None,None,2131036,2212602,None,1796024,None,4171986,70463941,4459677,None,2042789
2017-06-30,USD,69728069,1300890,None,5185669,44852102,23949558,0,8821000,510696,19429736,2086000,4417605,10495000,2779193,21874492,23088922,23088922,-171410,5359386,53874000,1724175,19943216,1979686,21629089,20864000,25352376,21763180,23163814,4180536,510696,0,19429736,0,None,None,None,12802056,None,None,None,None,None,1712153,None,4180536,69728069,4758879,None,2042789
2017-03-31,USD,65335189,1376699,None,6090080,41728894,22965532,0,8673000,510696,18461347,3039000,4418000,11152000,3653734,20268971,25000,18437521,-212047,5324488,48859078,2529894,23032734,2130544,21623482,18412521,19778843,23291373,22162394,4205536,510696,0,18461347,0,None,2623425,204000,12058506,None,18412521,None,18412521,None,1443901,None,4205536,65335189,5784278,None,2042789
2016-12-31,USD,62028049,1139922,None,4068674,38822365,23011299,0,6707000,510696,18227554,2992000,4185265,10869000,2442541,16925188,19522319,1163577,4513,5168905,45990430,2876399,18813131,3196810,18212084,18359000,20946720,19300046,22078665,4260030,510696,0,18227554,0,None,2667128,None,13161220,None,None,None,None,None,1127019,None,4268536,62028049,5639351,None,2042789
2016-09-30,USD,65931550,863132,None,11206652,44295066,21828279,0,7830000,510696,17007516,2933000,3987000,11282000,3015802,20054544,1815185,None,41531,4899771,49749408,3934385,22044919,2526208,25752584,20761175,17667401,21718706,20556712,4260030,510696,0,17007516,0,None,None,None,5762903,None,20761175,None,20761175,None,1079772,None,4268536,65931550,5542010,None,2042789
2016-06-30,USD,50373955,0,None,4796558,23000836,28617896,546000,8036000,593131,23070354,24000,0,6015000,4794038,19109637,2177827,None,-1760,4813305,39546440,3603764,28617896,4780300,13871410,3320701,15199716,16931810,27373119,4947665,593131,0,23070354,0,None,2118628,None,6931933,None,3320701,24498,3891199,None,None,None,4956171,50373955,9574338,None,2372527
2016-03-31,USD,52154752,1109112,None,4043469,16883222,34230608,546000,6843000,593131,28821825,615000,275000,8617000,6166106,15717146,1859300,1864135,-140519,4577774,38959534,4711343,33121496,4944572,14328272,4835,12274104,13857846,35271530,4947665,593131,0,28821825,0,None,None,None,10398229,None,4835,615241,1166076,None,None,None,4956171,52154752,11110678,None,2372527
2015-12-31,USD,49757287,0,None,5933641,12646286,35683451,416000,5630000,593131,30191545,53000,0,7145000,5287316,12165596,208000,None,-37743,4516440,38095644,4744406,35683451,3921690,16139811,11000,11557592,11957596,37111001,37111001,593131,37111001,30191545,-37111001,None,2400797,None,6917237,None,11000,53690,480690,None,None,None,4936518,49757287,9209006,None,2372527
2015-09-30,USD,46120525,0,None,4586407,13821897,32298628,0,3388000,593131,27465835,None,0,6413000,4207862,12024000,None,None,-689428,3832902,35875065,4136127,32298628,2139815,19447408,13821897,9900883,7733000,0,0,593131,0,27465835,0,None,2005246,None,5838148,None,13821897,None,13821897,None,None,None,4929090,46120525,6347677,None,2372527
