fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-548000,-3141000,-548000,-78000,5057000,5040000,-17000,-2123000,-841000,1085000,-3335000,None,609000,None,None,-663000,2570000,254000,646000,None,None,None
2020-03-31,USD,84000,-241000,16003000,17341000,-8169000,-6924000,-1236000,3421000,716000,-6304000,-15383000,-28006000,1072000,None,2481000,-21748000,2466000,-1089000,1422000,None,260000,-6044000
2019-12-31,USD,-3096000,1753000,-9331000,-5793000,15402000,13837000,-2199000,785000,360000,-5788000,-10294000,582000,992000,None,634000,7866000,2623000,772000,442000,4708000,None,-5788000
2019-09-30,USD,5713514,0,-9331000,-478000,15402000,10318805,-2199000,785000,5715000,11271125,-4784556,-2708000,1614714,None,5407000,3516164,-3076936,913000,14592690,None,None,11247763
2019-06-30,USD,-3780514,2801237,-3780514,-478000,277614,2008195,-161319,2623725,1782352,3617875,5387556,None,2033286,-115000,-126317,2374836,-4254064,-1204951,3596310,None,None,3615237
2019-03-31,USD,-46672,1594001,-258178,97882,-9211113,-10374114,-1102129,2950473,3661678,9029361,19661653,None,7686070,-9835,-60872,9605714,-1241819,15999975,309388,None,-18368,9010993
2018-12-31,USD,836510,-3769546,4830082,-14969307,7342892,6662680,-52133,-2732108,-2316867,-2103760,-13596522,None,2232598,-9835,-680212,-10044373,744034,-11279655,18962879,None,109160,-1994600
2018-09-30,USD,-1295438,-679226,-20859072,-50000,18474942,20567947,1896788,2695346,-1426990,-136830,154295,None,1826905,-8786,196217,-1350283,519833,1581285,19513634,None,2814,-134016
2018-06-30,USD,-2981975,3942185,-6716648,-3275098,-7262851,-7309902,-82753,-3840516,3282111,690384,14716934,None,1495401,-47051,-47051,11319597,29564,11434823,459575,None,2072,692456
2018-03-31,USD,-3955228,605235,-7800870,1122708,13195159,13203797,-248730,3161042,1462701,-3175140,-8578067,None,934902,0,8638,-10981211,-279062,-10040768,4968350,None,-6710,-3181850
2017-12-31,USD,265355,-2423431,-6722674,620710,12947205,12099205,-1100000,254023,-714441,6640689,1264158,None,815590,0,252000,4223000,4065000,1978599,6988029,None,-14520,6626169
2017-09-30,USD,-704124,1176722,-8473344,0,-13569219,-1248977,-1004115,540311,478467,-541738,9180583,None,0,0,0,4901000,236911,8702116,7769220,None,11833,-529905
2017-06-30,USD,-30476,-1047556,-3418610,-2898139,17002765,4682523,-1004115,31959,1229880,-880598,-2144511,None,0,0,0,1896441,1071687,-3374391,489995,None,6057,-874541
2017-03-31,USD,7750,5765000,-890392,-69718,15812749,-1052837,-1252845,-636865,300088,1175259,3118488,None,1796845,0,0,-7845801,-5524446,2818400,828424,None,-33784,1141475
2016-12-31,USD,526915,1298000,-621438,-541386,12094374,-3054041,None,-36964,1665292,-569850,3080456,None,0,0,0,8569464,1350470,1415164,606967,None,25173,-569850
2016-09-30,USD,2458085,3802000,-1956008,-4022622,37047314,9160821,None,None,1084000,-1790299,-8995112,None,0,0,7917009,6084943,8362763,-10074926,391471,None,12063,-1778236
2016-06-30,USD,290482,2609000,-232498,-3411,12047913,3634395,None,None,-7989380,-1356029,-4757926,None,0,0,0,5704755,710000,3231454,519569,None,-19450,-1375479
2016-03-31,USD,-1030763,1825000,-1255273,-29494,22146108,1848826,7000,893522,-1746163,819584,226031,None,1107207,0,1712935,-877993,-1530289,1972194,195016,None,14908,834492
2015-12-31,USD,-5087129,None,-1652842,244667,-4231640,-4224212,7428,None,2446200,1092439,6969493,None,0,0,0,383000,0,-2510253,1564488,None,-12985,1079454
2015-09-30,USD,2934077,2959000,-1087102,0,-3599656,-3599656,None,None,3793960,-4152889,533869,-3260091,0,0,0,0,0,-10405,732929,None,None,-4152889
2015-06-30,USD,-1070456,718000,-1270789,19163,-18704,-18704,None,None,-736040,-5804369,-4514876,-3778836,0,0,0,0,0,5024,219496,None,None,-5804369
